,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Even in an emergency I wouldn't feel like panicking.,-0.16102616022786684,0.13409490606291133,0.05102575930553516,0.16904951881583183,-0.008326568334332072,0.036898006059033046,-0.13963648849256713,-0.08112490174209033,-0.017345464595136133,0.2686147168729444,-0.06903200561741475,0.004139012918507595,0.07585257086263851,-0.005195552987201803,-0.1256947248690408,0.03326164124594845,0.20959807821908297,0.022188703169204994,-0.0915857968407944,-0.08545605583373136,0.11130859511312037,0.06304710948349548,-0.08154847515676535,-0.1874781054276558,0.07758911979312187,0.18544490537037975,0.09089586009528478,-0.15061428220388534,0.046533028598487014,-0.09764819462771426
"Even when people make a lot of mistakes, I rarely say anything negative.",0.0022429563735682344,0.05570608010168002,0.07826248085327567,0.17249378347323305,0.06648841774780677,-0.08697635692953805,0.21050489130519273,0.052813077920527,0.16723785712591963,0.0033100888880028202,0.027050160219902232,-0.11215783308461141,0.15244461587153627,0.038657362406202815,-0.0046302897015954685,0.18349220068366198,0.015597046126179572,-0.07433482995660294,-0.06300550942066906,-0.06981180434076928,0.06712360328272979,-0.07838728594719778,-0.17372873942616696,-0.12387017411120604,-0.08083535087525019,0.16447948388845302,-0.035820504374930354,-0.01769395318539854,-0.1830372071629138,0.1082972872660184
Having a lot of money is not especially important to me.,-0.1069619301006166,0.12783002808615604,-0.09661505532780129,0.05621721964949628,0.0014051841722569213,0.12035814650999614,0.02211968144213134,-0.06821189061595222,-0.12234637602382412,-0.07960625653246839,-0.014665369415560589,0.05170122148617188,-0.11515946484306781,-0.02279200268778371,0.07053998468903815,-0.1012788491867462,0.10687766675219926,-0.09437058550519983,-0.013770518292013763,0.020814448339378122,-0.15492428186165846,-0.002726777437037457,-0.07102887515729855,0.06487310490764135,0.009912371405805153,0.08213849068743853,0.1427521433195565,-0.16718549631984125,0.06041870864635944,0.09773039188357369
"I always try to be accurate in my work, even at the expense of time.",-0.052809549747678354,-0.019295968485418386,-0.016271004604013116,0.06293982813824103,-0.0127948793812429,0.051996552098130706,0.04207861932953833,0.0497908647115678,-0.01721679283685863,0.09575864126784235,-0.06661276156052878,0.0843471599481133,0.0745623450747538,-0.020979471934419083,-0.08025607757462302,0.07307587313629323,0.10429458531393732,0.0065209369975898785,0.12589320770156828,-0.048882341376326695,0.18188025914302977,0.12167811456884492,0.15734417500722553,-0.1277680359880025,0.07846881006659491,-0.00979149448333793,0.052770801580194045,-0.07639069917265079,-0.11286521648595284,0.017503653144547417
I am an ordinary person who is no better than others.,0.04382247957843552,-0.03344546993409472,0.15693421332095286,0.14793138258405295,0.00043958799574484516,-0.036690159080722644,0.10613607842002835,0.02139627203249898,0.0524332760833895,0.06170335743745446,0.0917908022438629,-0.01651972233421231,-0.14216288292359677,0.07077869385810012,-0.07672728243804916,0.2880306950912084,0.008923192596164637,0.0687208986161698,0.10426559329068498,-0.22691981790762367,-0.10611247851262415,0.2591519215693846,0.04556914861304671,0.09933505583363289,0.17836430825099758,0.06275684948953238,-0.06685269000525058,-0.08836227152946882,-0.01604338970545768,-0.021485968013858717
I am energetic nearly all the time.,-0.016618937539314354,-0.017148898678786103,-0.21349964713024813,0.12020990582886212,0.06603094403754539,-0.1498407758128759,-0.017121635574769156,-0.1575001018441935,0.09221024551764184,0.10622241498035942,0.00020492238827832558,-0.06488882259676941,0.11823675788730638,-0.11416829340291641,-0.03200162010799959,-0.25733452959878456,-0.10899907330636795,0.17103473288691606,-0.009332036056790958,-0.12149027914450719,-0.019752534026883973,0.17442739379998598,0.04384128705044264,-0.026909813345928728,-0.043649593785745615,0.01483033856512473,-0.1578936892942892,-0.009343241365385477,0.0617175606492601,0.13872429046858828
I am usually quite flexible in my opinions when people disagree with me.,-0.024126651897361448,0.0028183651477491196,-0.008987694545785319,-0.009553128491681894,0.06849946349611903,-0.0960586368044766,0.004352165616075623,-0.021157922558126947,-0.09010931613356156,-0.06042026597974601,0.1003809836790734,0.0171352243748698,-0.08653050987068195,0.04723982624851642,0.12375914979787928,-0.03532351732157895,0.15238842430087832,-0.08162504359749098,-0.07076226884775377,-0.013491470502514284,0.055154963608800595,-0.07870052114611968,-0.19769996307560112,0.042892780498817,0.029351366789943694,-0.10293658393511666,-0.011841083191954059,0.08003668672538607,0.19141792247901776,0.04829805485263244
"I avoid making ""small talk"" with people.",0.08079388843258765,0.06309321829895648,0.18798165110608323,0.04759380473046311,0.032748671750908134,0.1355157786046679,-0.14916056928097002,0.05194116191255705,0.06847650604100314,-0.054630588004700505,-0.04533468926222401,0.06299871460975234,0.09627606779319792,0.03789789768127843,-0.02247746355037253,0.04353943269856239,0.14711582789012342,0.053756757397753076,-0.013200121255222384,-0.07150411341638904,-0.003693974561579096,-0.014495394044235025,-0.037585838620561016,-0.005575329781133247,-0.004335454924232336,0.13837377540091597,0.0678018891339116,0.12358542918435192,0.01740660522985478,0.0018329246934463666
I can handle difficult situations without needing emotional support from anyone else.,-0.12670556173142605,0.20140513650145173,-0.07344400424330304,0.2753866502198592,0.19632322030132524,0.21345412550173162,-0.007718133348147747,0.008097822261905523,-0.09439887527653362,0.0853712671933567,0.012620638198175294,0.10494354954629632,-0.09666523882811309,-0.001093526068202852,-0.11677259748174948,-0.11765259800671587,-0.1517199946435129,-0.005800202512338664,0.04639691974256291,0.09069561023896176,0.04224470534025725,0.002807973635281923,-0.04788431798467151,0.12480303688292436,0.045744563262500364,-0.10476670806300982,-0.17446444692917393,0.0020329347793987995,0.059007932745460005,0.12501319363399868
I clean my office or home quite frequently.,0.11930386001080531,-0.1491589424699952,0.14551718952090362,0.09521807596581995,0.10591998250722581,0.08059832656208128,0.04773019614331444,0.032725573370010905,0.02032361600731763,0.04401242599412682,-0.11674357722295213,-0.13479650181460487,0.04547469389976149,0.02641965793813761,-0.06425465947611117,0.173565083381043,-0.10816854780269179,-0.02926968449872188,-0.019266676293839054,0.07127053413579287,-0.1898011051141611,-6.125422030376181e-06,-0.16094227750819676,-0.11081683778404561,-0.21286602185582215,0.0006227908584806134,-0.011161521928918722,0.12533337241622067,-0.08061568780384037,-0.10530256536939889
