,F1,F2
I couldn’t seem to experience any positive feeling at all,0.8653330840641704,-0.1982969913238113
"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)",0.5977058759651686,0.06888603369797631
I experienced trembling (e.g. in the hands),0.824041012683034,-0.12133488978427451
I felt I was close to panic,0.7471012150634986,0.0018196592479628488
I felt I wasn’t worth much as a person,0.6638120794740255,0.019283911315417873
I felt down-hearted and blue,0.7707457552233687,0.08414919776006778
I felt scared without any good reason,0.7737682884105422,0.038684705243339876
I felt that I had nothing to look forward to,0.7001516830306362,0.10911500545148889
I felt that I was rather touchy,0.38273315044489664,0.5339523726220873
I felt that I was using a lot of nervous energy,0.08423963377191247,0.6933712700860415
I felt that life was meaningless,0.4887771216398876,0.1864899323552641
I found it difficult to relax,0.7963086758429267,0.21448465878040637
I found it difficult to work up the initiative to do things,0.5395888895900788,0.302194387303152
I found it hard to wind down,0.6652237763895091,0.4512542159523413
I found myself getting agitated,-0.2639419138524304,0.7250075471503774
I tended to over-react to situations,0.6338621291161388,0.1918448873542779
I was aware of dryness of my mouth,0.8769721107725817,-0.31273780881277363
"I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)",0.7612300243594828,-0.24562802284356888
I was intolerant of anything that kept me from getting on with what I was doing,0.3789379318076134,0.2915857661724372
I was unable to become enthusiastic about anything,0.8732277105418577,-0.09219953707416567
I was worried about situations in which I might panic and make a fool of myself,0.7432414269832011,0.34532844031519633
