,F1,F2
"Although I am religious, I don’t let it affect my daily life. ",-0.16570546702505015,0.75345211367098
"Although I believe in my religion, many other things are more important. ",0.1950449505409642,0.19669924598806543
I enjoy reading about my religion. ,0.7199852991958164,0.03404256562851524
I go to church because it helps me to make friends. ,0.09606687534296497,0.9070990606993761
I go to church mainly because I like seeing people I know there. ,-0.07209868433042123,0.8138406792796162
I go to church mostly to spend time with my friends. ,0.2722608360962162,0.5681483431827858
I have often had a strong sense of God’s presence. ,0.6206408737260591,0.20304673644094925
I pray mainly to gain relief and protection. ,0.629784788727947,0.13447677137660605
I try hard to live all my life according to my religious beliefs. ,0.5223165826773993,0.23186555074040568
It doesn’t much matter what I believe so long as I am good. ,-0.16871774675904483,0.4111624212202576
It is important to me to spend time in private thought and prayer. ,0.7963145725933156,-0.16795104048336573
My whole approach to life is based on my religion. ,0.3486011274990357,0.4910291250232284
Prayer is peace and happiness. ,0.39034400681843767,0.0661746615527605
What religion offers me most is comfort in times of trouble and sorrow. ,0.5990488123405137,-0.11229146180425943
