,F1,F2,F3
Before making a major trip‚ I consult with most members of my family and many friends,0.01418304405178063,0.035464696695711624,0.6434781791427497
Children should be taught to place duty before pleasure,0.5259545153720744,0.05982066952742036,0.24229561282207027
Children should feel honored if their parents receive a distinguished award,0.37991380155199045,0.21937136051494133,-0.15146591543674745
Competition is law of nature,0.26069743038650217,-0.09503775352053062,0.47501777454340444
I am a unique individual,0.07246017657962266,0.5800090398124629,0.33391829454604216
I enjoy being unique and different from the others in many ways,-0.059536218959231994,0.6050363041620166,0.1345597957553649
I enjoy working in situations involving competition with others,0.3136897429954209,0.6757642804715371,0.1550491070261584
I feel good when I cooperate with others,0.5923882076289935,0.38341293620071165,-0.34985215795205105
I hate to disagree with others in my group,0.41299927618029053,0.0441062826051935,-0.19590669630451654
I like my privacy,0.2109278284966793,0.29883745158910585,0.22356450105463382
I like sharing little things with my neighbors,0.29272115440042457,0.07177542642120294,0.5771346939626912
I often do my own thing,-0.020781820373115628,0.9100062111681189,-0.020725642920296883
I prefer to be direct and forthright when I talk with people,0.6323120779922994,0.19588492925884818,0.12659203166110553
I think cooperation in workplace is more important than competition,0.5637083419340579,-0.1693781795149612,-0.06175398981410478
I think it is important everyone has equal access to healthcare,0.44723159860368517,-0.15851035243312736,0.05384543905488412
I usually sacrifice my self-interest for the benefit of my group,0.8717134766952099,0.004249452535732969,-0.2258480591548973
I would do what would please my family,0.5455095355996564,0.10143594076342029,0.07844128806384573
I would sacrifice an activity that I enjoy very much if my family did not approve of it,0.5603529601911014,-0.4357808430066806,0.3011188600492037
If a co-worker gets a prize I would feel proud,0.07069707227858608,0.8121246934807222,0.030095488772670993
If a relative were in financial difficulty‚ I would help within my means,0.7889950784558524,-0.014603851931223039,0.20796803314254494
It annoys me when others people perform better than I do,-0.23587802820047515,0.5924137096878892,0.19153275489786845
It is important for me that I do my job better than the others,-0.07666105851768333,0.3522764844409987,0.6851585339377091
It is important for me to maintain harmony within my group,0.7170634539984188,0.12720841998783955,0.052460580941868236
My happiness depends very much on the happiness of those around me,0.2953374291748793,0.46011672883714655,-0.28050049332046284
One should live one’s life independently of others,-0.04152172454592269,0.4315163961998438,0.5171062747889209
Some people emphasize winning; I am not one of them,0.681428781427155,-0.2631328139664072,-0.022270176241484942
The wellbeing of my coworkers is important to me,0.7476569606720086,0.2533220155169336,-0.21996109388637233
To me pleasure is spending time with others,0.6780985765146089,-0.06399744148826796,0.1700376803794879
We should keep our aging parents with us at home,0.4179918980077459,-0.005513237073378572,0.5355746231320339
What happens to me is my own doing,-0.026903233600370665,0.6110292954411859,0.004095110359194622
When I succeeded‚ it is usually because of my abilities,0.5545701875067853,-0.17814389894182048,0.45890976550254486
When another person does better than I do‚ I get tense and aroused,-0.04536778485604407,0.6318660184735421,0.09693660595324476
Winning is everything,-0.20163568637449963,0.17658954361027973,0.6527698423043797
Without competition it is impossible to have a good society,-0.41752784324458475,0.2028011213592706,0.5051335364843288
