,F1
All groups should be given an equal chance in life.,-0.34568933036284266
Group equality should be our ideal.,-0.10772673290978747
If certain groups stayed in their place‚ we would have fewer problems.,0.4474093908575961
In getting what you want‚ it is sometimes necessary to use force against other groups.,0.7197384797918341
Increased social equality.,-0.041857039180741955
Inferior groups should stay in their place.,0.7673531146250949
It would be good if groups could be equal.,-0.34446871016220404
It’s OK if some groups have more of a chance in life than others.,0.5024216927593391
It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,0.6927304161696289
No one group should dominate in society,-0.6301904769462249
Some groups of people are simply inferior to other groups.,0.5598642398863325
Sometimes other groups must be kept in their place.,0.7507002971946491
To get ahead in life‚ it is sometimes necessary to step on other groups.,0.8544305212740594
We should do what we can to equalize conditions for different groups.,-0.0050867554651585645
We should strive to make incomes as equal as possible.,0.2629477765133561
We would have fewer problems if we treated people more equally.,-0.36788007092497504
