,F1,F2
I am preoccupied with what I think and feel about what I have experienced.,0.7537197846788514,-0.15629597268945117
I continually think how horrible the situation has been.,0.8539606897667106,-0.02592128654298938
I dwell upon the feelings the situation has evoked in me.,0.7912773622971201,0.03533198981199929
I feel that I am the one to blame for it.,0.7861631764949183,0.26490560943015423
I feel that I am the one who is responsible for what has happened.,0.5744129910246659,0.09499798102949182
I feel that basically the cause lies with others.,0.5285184670726155,0.1555989228565907
I feel that others are responsible for what has happened.,0.855611010195008,0.11713518068265198
I feel that others are to blame for it.,0.5770009504398073,-0.15376120739542687
I keep thinking about how terrible it is what I have experienced.,0.8341970302822476,-0.08742218254297705
I look for the positive sides to the matter.,-0.13442270833808198,0.5263093946873421
I often think about how I feel about what I have experienced.,0.6341504911600062,-0.14354102695411583
I often think that what I have experienced is much worse than what others have experienced.,0.7503733868713223,-0.2812522660581849
I often think that what I have experienced is the worst that can happen to a person.,0.8101336191400229,0.07633126825618979
I tell myself that there are worse things in life.,0.20612086516919986,0.5105152448631518
I think I must learn to live with it.,0.12097064554285758,0.4945758642905124
I think about a plan of what I can do best.,-0.4072636592772032,0.5216513455481765
I think about how I can best cope with the situation.,-0.264963613500592,0.6320155579748601
I think about how to change the situation.,0.06294398659013749,0.7168025279274536
I think about pleasant experiences.,0.5145623066308718,0.09074115541364203
I think about the mistakes I have made in this matter.,0.32860515748418995,0.3130035818887741
I think about the mistakes others have made in this matter.,0.5073574444877132,0.04031928451226286
I think about what I can do best.,-0.238538580417128,0.45682469586385105
I think of nicer things than what I have experienced.,0.4433905866921642,0.5351737332652551
I think of pleasant things that have nothing to do with it.,0.6489418196441953,-0.045907350223312174
I think of something nice instead of what has happened.,0.5055066518920465,-0.07768544736073474
I think that I can become a stronger person as a result of what has happened.,0.06623472339671078,0.49694658494384303
I think that I cannot change anything about it.,0.8054163497748011,0.012535685666787066
I think that I have to accept that this has happened.,-0.22246572428111158,0.5466275401788949
I think that I have to accept the situation.,-0.14461988972716228,0.484027663876377
I think that basically the cause lies within myself.,0.3062147868759192,0.6307749183435091
I think that it could have all been much worse.,-0.015259369696523155,0.6740372297457097
I think that it hasn’t been too bad compared to other things.,0.22006357475041982,0.08608910575650547
I think that other people go through much worse experiences.,0.06226448176379052,0.8034079780522275
I think that the situation also has its positive sides.,-0.03455036701642108,0.6704233682279693
I want to understand why I feel the way I do about what I have experienced.,0.38922680748116173,0.6142612169444153
think I can learn something from the situation.,-0.44586762626480614,0.6607831325677872
