,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
Barely noticeable visual details rarely catch my attention.,-0.1035664720051523,0.18256443803842654,0.010933226027050274,-0.07849083966069476,0.10826168841870346,-0.0677785564603786,0.22670950178924232,-0.09024244740201823,-0.204030132246667,0.03562079014325441,0.19675506224881217,0.09981092842480184,0.19492164939731513,0.3480916914614973,0.21855867059598963,-0.007428605809502689,0.07538587094037753,0.23447663544389147,0.03702600742134464,-0.10506126659898882,0.08480213407501626,0.014545606616181145,0.14148749442282268,0.10182841478479854,-0.004682615377167962,0.10546910173827777
Colorful flashing lights bother me.,0.12456668373460718,0.12713404757773103,-0.07258903275677586,0.011709312380573895,0.05758469298250688,-0.17871508669472772,-0.027925477747012612,0.2577641481587883,0.09628236043528038,-0.0869333142493169,-0.013034736210747518,0.1258306846744939,0.07608032376726419,0.05406720048135921,0.17439721778837938,0.019100409862221588,0.1216094718639353,-0.05626656096998595,-0.011131378387106379,-0.17865420362498374,0.05132998591033399,0.06889959700888558,-0.043273530590007415,0.15567946934930402,0.07300237668118864,0.1513438835394069
Creative ideas sometimes present themselves to me without effort.,0.033487889413409425,-0.14241815588694723,0.14738185477176696,0.15606449573196118,-0.05669268820523132,-0.051212093831867214,0.06849512366057146,-0.09697566813344206,0.10583481885907738,0.14902566554724944,-0.01775463684335872,0.0023132117962548055,0.15967785712866014,0.1531245329154764,0.12415330167176371,-0.0032033516065244796,-0.11585334803438838,-0.20768171848307979,-0.06753939178345973,-0.039095536650705545,0.01794806782096873,0.029850058467483783,-0.08309123329611709,0.021710456434470005,0.1328584829041009,-0.06676914308806205
"Even when I feel energized, I can usually sit still without much trouble if it's necessary.",-0.029561871224327893,0.0032691242445173512,0.18385708442941354,-0.026353450569861485,-0.0692591930695059,0.06057224752078488,-0.10423440816774768,0.002025883762858452,-0.01642585889953095,0.019291618382433665,0.14106920950642018,0.048281727274787106,0.16652933504891967,0.3005990236893136,-0.266650230911939,0.07157261118303257,0.08150603366482677,0.19789296932424552,0.016804162535178684,0.15399190336898147,0.016123471433670728,-0.02180995629183641,-0.18904405856047785,0.299323026144216,-0.04679559545619463,0.01363004312251375
I am often aware how the color and lighting of a room affects my mood.,0.17734476342820477,-0.03989772771598481,0.09807833756479195,0.1227571420249937,0.11092728670168098,-0.14266065870591293,-0.1776310952833589,-0.05270478250539123,0.051651106973036376,0.05151326480519627,-0.03581860604158797,-0.09491077037327689,-0.10084652964730724,0.08349331759841135,0.08363683163875175,0.0741684613768978,0.013072767469950156,0.02779948497470585,0.00947849202597591,0.05664229022733531,0.045294969719637174,0.030501938411517986,0.07490489621857165,-0.015060099314392488,0.03009752806223928,0.04603963559106891
I am often aware of how the weather affects my mood.,0.161271507130854,0.028384292632255857,0.09839112508987777,0.14648464490548604,0.23871452341227642,-0.16104209891712282,-0.04399123723720964,0.13332435728657213,0.06589357830130588,-0.0778660391940806,0.14970321562908567,-0.09361800777273815,-0.12242605257892611,-0.054668729689215156,-0.03711212969420355,0.05689706323782205,0.2770917769390081,-0.11330345450207333,-0.11525533325315662,-0.04254539786446509,0.058660758291490755,0.009102354234973253,0.012402851211208243,-0.09214010253731011,-0.21259749221946506,-0.04135519140280628
I am often aware of the sounds of birds in my vicinity.,0.1653515586422568,0.05791751699222397,0.10355150247036732,-0.03161109476483262,0.013922891566059388,-0.1259667273631135,-0.19415032238204688,0.0026529478164020164,0.018724034497805377,0.021679210505475534,-0.010221681715860789,0.06267539192040321,-0.1050300191273661,0.14634282130460619,-0.08930601974317821,0.22521264638753374,0.05619698684031101,0.008969545183910648,0.1411365858821189,-0.1172161382684322,0.016938629694121868,0.07430754801440016,0.11696613242815031,-0.16638508115100356,0.06724034042206962,0.003677343503243435
I am often bothered by light that is too bright.,0.14138432559759737,0.11274027163930997,0.0426461588881029,-0.07660397563633407,-0.005346571604969737,-0.22608353502219558,-0.20080075523166366,0.1044053266325523,-0.13028301977273615,-0.06266698198722666,-0.08773656192060789,-0.07579225816373121,0.11171009170926259,0.09880097714793255,-0.09193204460285066,-0.1368224009683093,-0.13323673703307246,-0.005065493203757709,0.1649946363028833,0.03914804861611002,0.07699823611961021,-0.1545801712229343,0.020708868079698534,-0.029796464739468457,-0.0995341490144576,-0.004724541631931827
I am often late for appointments.,0.09173920625134283,0.08614403951195797,-0.12457089185464355,0.16993989971717924,-0.1336397154498325,-0.08544705131647522,0.16787951624069328,-0.03418748497788641,0.17367574575895903,-0.06982878117750183,-0.15837589936810195,0.0691220480861307,-0.12845317191739414,0.16436430534713467,0.04142440574727497,0.1203319369005064,-0.22126306463651088,0.05022638523790271,-0.2578585101620117,-0.12829188643279638,-0.11557768336991572,0.12570757106543295,-0.07493727180458212,0.03585234487370798,-0.13030997048860757,0.07794192136223335
I am rarely aware of textures of things I hold.,-0.10721324857407777,0.13869782037554465,0.20694106330998963,0.13788116846859272,0.1300497509525787,0.024733756804569518,0.17248576266382076,-0.1124909813372174,-0.07279398447793027,0.1023630463739552,-0.055545335569187435,0.3575446495488917,-0.1898453263863548,-0.15551917102845011,-0.04102204781684249,0.12425061430845516,-0.12545712787533794,-0.09090067173010577,0.26175333235431586,-0.022923538426707444,0.18734043069904152,-0.11560246625380392,-0.10898415647915422,0.04593813521173029,0.039500295132149824,0.014530431067673147
