,PC1,PC2,PC3
Almost anything is possible for me if I really want it.,0.1756766152906204,-0.09466116251974092,0.22360679774997855
Bad economic conditions are caused by world events that are beyond our control.,0.07276763664517587,0.22853226238516236,-0.22360679774997796
Bad luck has sometimes prevented me from achieving things.,0.2484442519357961,0.13387109986542176,1.2034879228312262e-17
"By taking an active part in political and social affairs, we the people can influence world events.",0.17567661529062045,-0.09466116251974131,0.223606797749979
I can learn almost anything if I set my mind to it.,0.17567661529062034,-0.09466116251974113,-0.22360679774997916
I can usually achieve what I want if I work hard for it.,0.17567661529062034,-0.09466116251974113,-0.22360679774997916
I can usually develop a personal relationship with someone I find appealing.,0.17567661529062045,-0.09466116251974131,0.223606797749979
I find it easy to play an important part in most group situations.,0.17567661529062034,-0.09466116251974113,-0.22360679774997916
I find it pointless to keep working on something that's too difficult for me.,0.07276763664517555,0.22853226238516328,-0.22360679774997924
I have no trouble making and keeping friends.,0.17567661529062045,-0.09466116251974131,0.223606797749979
I prefer games involving some luck over games requiring pure skill.,-0.17567661529062034,0.09466116251974113,0.22360679774997916
I prefer to concentrate my energy on other things rather than on solving the world's problems.,-0.17567661529062045,0.09466116251974131,-0.223606797749979
I usually do not set goals because I have a hard time following through on them.,0.17567661529062045,-0.09466116251974131,0.223606797749979
I'm not good at guiding the course of a conversation with several others.,0.14553527329035126,0.4570645247703261,-2.184448800008224e-19
"In my personal relationships, the other person usually has more control than I do.",0.07276763664517555,0.22853226238516328,-0.22360679774997924
"In the long run, we the voters are responsible for bad government on a national as well as a local level.",0.24844425193579603,0.13387109986542187,-8.027835262010621e-17
Most of what happens in my career is beyond my control.,0.24844425193579603,0.13387109986542187,-8.027835262010621e-17
My major accomplishments are entirely due to my hard work and ability.,0.24844425193579603,0.13387109986542187,-8.027835262010621e-17
"Once I make plans, I am almost certain to make them work.",0.17567661529062045,-0.09466116251974131,0.223606797749979
One of the major reasons we have wars is because people don't take enough interest in politics.,0.10290897864544475,-0.3231934249049043,-6.9214965493466615e-18
The average citizen can have an influence on government decisions.,-0.24844425193579603,-0.13387109986542187,8.027835262010621e-17
"There is nothing we, as consumers, can do to keep the cost of living from going higher.",0.14553527329035135,0.45706452477032583,0.44721359549995826
"When I need assistance with something, I often find it difficult to get others to help.",0.07276763664517555,0.22853226238516328,-0.22360679774997924
With enough effort we can wipe out political corruption.,0.5270298458718611,-0.28398348755922354,-0.22360679774997935
