,PC1,PC2,PC3
I always declare everything at customs.,-0.20307790368812909,0.3757199827366334,-0.07423855554896558
I always know why I like things.,-0.01642548935308752,0.09723735046040587,-0.08703146229629175
"I always obey laws, even if I’m unlikely to get caught.",0.135801842556885,0.25531558533211457,-0.060029890339299646
I am a completely rational person.,0.01611874860395903,0.05505477589652394,-0.07254559399977867
I am fully in control of my own fate.,-0.18971914442066304,0.17145596803678242,0.012305018973931159
I am not a safe driver when I exceed the speed limit.,-0.08167869859653627,0.2906214197376191,0.15719335656747663
I am very confident of my judgments.,0.01787108542690039,0.03498218694773583,-0.016753207019828853
I don’t always know the reasons why I do the things I do.,-0.06548593921511808,0.03868365495215634,0.1419675384825763
I don’t care to know what other people really think of me.,0.04861908881635736,-0.03186823616929787,0.12378324135405191
I don’t gossip about other people’s business.,0.16440330125850705,0.22834163301477647,0.018616548272826324
I have done things that I don’t tell other people about.,-0.1741721665236555,0.12343924835218406,-0.28116520478347645
I have never damaged a library book or store merchandise without reporting it.,0.15465517073579013,0.3714396222936465,0.023558777312234706
I have never dropped litter on the street.,0.12278256928143545,0.20202491828769598,0.15642777650695286
I have not always been honest with myself.,-0.1187902372104918,0.15033333062632628,-0.12299544983802782
I have received too much change from a salesperson without telling him or her.,-0.09282788178278802,-0.07092385243358858,0.08226502111311308
I have said something bad about a friend behind his or her back.,-0.17942396809178965,-0.08676985605280661,0.15171325394970628
I have some pretty awful habits.,-0.17120983927522798,0.07819096368415432,-0.05927340051510065
I have sometimes doubted my ability as a lover.,-0.20998264506548642,0.029581769647507635,0.00637478568060392
I have taken sick-leave from work or school even though I wasn’t really sick.,-0.12616033121016987,-0.0880163341717455,0.06162877004514898
I never cover up my mistakes.,0.22075348375934523,0.13112374321692175,0.1502897083292713
I never read sexy books or magazines.,0.22373913472166285,0.13997143561643138,0.469014660401464
I never regret my decisions.,0.053129690735217054,-0.2771487765114503,0.2873746858681268
I never swear.,0.2650864306167972,0.07594957824643203,0.2513012328192441
I never take things that don’t belong to me.,0.12613002270058937,0.23036983049376022,0.018250985012267098
I rarely appreciate criticism.,-0.09680745143535201,-0.09556117209939982,0.35948883617424304
I sometimes drive faster than the speed limit.,-0.20700697909634008,0.1181190545225068,0.0408295600681116
I sometimes lose out on things because I can’t make up my mind soon enough.,-0.20047324653822532,0.03834088409179774,0.19465581157835746
I sometimes tell lies if I have to.,-0.20024516811274212,0.1540476237628303,0.0195769571329701
I sometimes try to get even rather than forgive and forget.,-0.1555054036066874,-0.02069279560030247,0.08875776680009627
It would be hard for me to break any of my bad habits.,-0.18091930985756727,0.04592460077293538,0.08715390444307275
It’s all right with me if some people happen to dislike me.,0.08477699478057542,0.16805012051353937,-0.1357154173876219
It’s hard for me to shut off a disturbing thought.,-0.2521256620130343,0.031144321686034187,0.1973682722028615
My first impressions of people usually turn out to be right.,-0.07739286483561714,-0.00410847479605854,-0.17874087432035504
My parents were not always fair when they punished me.,-0.15576166752266327,0.005773032616428109,0.17151589301675174
Once I’ve made up my mind other people can seldom change my opinion.,-0.2293851572838866,0.05916160384607735,0.01650115428113678
The reason I vote is because my vote can make a difference.,-0.17392729470035953,0.12777442477937598,0.20119638228126663
There have been occasions when I have taken advantage of someone.,-0.1540211129648264,0.05641737785194736,0.06342923572130789
"When I hear people talking privately, I avoid listening.",0.04743598946611094,0.3021019417977818,0.043817505454063974
When I was young I sometimes stole things.,-0.05177706738707328,0.025177649211035987,0.1101986898455369
"When my emotions are aroused, it biases my thinking.",-0.2445481255900215,0.009357911565675184,0.0994111611444457
