,F1,F2
I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,0.38063032295940546,0.09367941726838266
I find satisfaction in deliberating hard and for long hours.,-0.2945276898390963,0.34312272610119005
I like tasks that require little thought once I've learned them.,0.5909415173736438,0.4325819292495294
I like to have the responsibility of handling a situation that requires a lot of thinking.,-0.3608325536202511,0.2612557478175876
I only think as hard as I have to.,0.3109558357485348,0.009645669025699851
I prefer my life to be filled with puzzles that I must solve.,-0.029536907439737487,0.7368967000311053
"I prefer to think about small, daily projects to long-term ones.",0.4917800740986515,0.3245811935304835
I really enjoy a task that involves coming up with new solutions to problems.,-0.28065502452636465,0.3262262893649928
I try to anticipate and avoid situations where there is likely a chance I will have to think in depth about something.,0.5365072551457888,-0.02856768846405082
I usually end up deliberating about issues even when they do not affect me personally.,0.20234194600923863,0.5840874402539504
"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",-0.3240896280557033,0.42267364924734674
I would prefer complex to simple problems.,-0.03681268860934841,0.6168276541048955
I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,0.6120508883726418,-0.019655311419516548
It's enough for me that something gets the job done; I don't care how or why it works.,0.6993726500976408,-0.2083124093618369
Learning new ways to think doesn't excite me very much.,0.7868236751282293,-0.17843036579763855
The idea of relying on thought to make my way to the top appeals to me.,-0.2312002184749056,0.5561091911812961
The notion of thinking abstractly is appealing to me.,-0.11331075761944029,0.6393816340398472
Thinking is not my idea of fun.,0.8537257844163062,0.0508297294417743
