,F1,F2,F3,F4
A distaste for hard work usually reflects a weakness of character,-0.026455819905531464,-0.03666003376486269,0.9347848633800859,0.09234073937853399
Any man who is able and willing to work hard has a good chance of succeeding,0.15697092725209985,0.18090832237957452,0.38245171834647085,-0.33527671314341995
Hard work offers little guarantee of success,-0.26169354269364364,0.49284703269209273,0.18084290479761186,-0.12282228957200764
I feel uneasy when there is little work for me to do,0.4205937276388861,-0.1100233616223278,0.06459786313310886,0.039810077364141626
I often feel I would be more successful if I sacrificed certain pleasures,0.45275546082428986,0.20278593214770643,0.3504601650316145,-0.04631350704006729
If one works hard enough he is likely to make a good life for himself,0.4817535103240416,-0.0051027060644702185,0.08986214294842512,-0.08219649558527627
Life would be more meaningful if we had more leisure time,-0.04370102271929618,0.8573085582322009,-0.010753082729181173,0.07387769170300815
Life would have very little meaning if we never had to suffer,-0.0935805080156599,0.452416273701192,0.22835130193967304,-0.08127890056552953
"Money acquired easily, g., through gambling or speculation, is usually spent unwisely.",0.30349570095399203,0.3841913704918739,0.006595992541570211,-0.5803727590893992
Most people spend too much time in unprofitable amusement.,0.555387497044419,0.30855242311186554,-0.054445397476445494,0.2698165870244253
Most people who do not succeed in life are just plain lazy,0.23269691881372873,0.12211300021562171,0.28521840885249716,0.6694505994849483
Our society would have fewer problems if people had less leisure time.,-0.07905931467602251,0.11877630615185485,0.3829352392900782,0.5422086944512648
People should have more leisure time to spend in relaxation,0.4203508422054783,-0.1208996941869968,0.17214436243192474,0.05010368144256055
People who fail at a job have usually not tried hard enough,0.08884718416443277,0.43938876945625477,-0.12780946649043065,0.5275734518603782
The credit card is a ticket to careless spending,0.1449910898151275,0.47486609039128624,-0.31101647555596695,-0.09416510332742946
The most difficult college courses usually turn out to be the most rewarding,0.39973568100074364,-0.08566099493295708,0.2610286945359551,-0.33190140594283124
The person who can approach an unpleasant task with enthusiasm is the person who gets ahead,0.7342427380225505,-0.14408939667671475,-0.13096896400041283,-0.05542248533556912
The self-made man is likely to be more ethical than the man born to wealth,-0.09015047751794202,0.08120194986765067,0.3134695790565501,-0.20255783595735527
There are few satisfactions equal to the realization that one has done his [her] best at a job,0.4298023233176233,-0.06522942951846222,-0.3283139863346915,0.19602200689955238
