,PC1,PC2,PC3,PC4
Difficulty making decisions,0.15955643141745585,-0.09168432683904112,-0.25359260501612735,0.23379033741773175
Faintness or dizziness,0.09666917591779989,0.21222777696411682,-0.14826529968130964,-0.007019188513074565
Feeling afraid in open spaces,0.03888871300340291,0.09487947859747375,0.2482315074716177,0.023290328685395434
"Feeling afraid to travel on buses, subways, or trains",0.08246653943630171,0.2379563513002414,-0.14245365530485518,-0.00591936567041515
Feeling blocked in getting things done,0.15327838516563969,-0.0818781264106363,0.12766621867842803,0.42519937396579566
Feeling blue,0.15707279869159868,-0.059129903504873293,-0.00586752211523095,-0.029367967245124138
Feeling easily annoyed or irritated,0.16432188166352366,-0.06767276198575634,0.20056727783982334,0.013326659256012452
Feeling fearful,0.15932918414482003,0.003502487844808449,0.10398346452920232,-0.11323295500829833
Feeling hopeless about the future,0.18856925374419167,0.03045487511938567,-0.058682041663463816,-0.044673570418167094
Feeling inferior to others,0.1290186388040527,-0.09177449766589253,0.1720774160673627,-0.016595227806319807
Feeling lonely,0.1533284132383346,-0.07009002993379024,-0.003254715484455592,0.10675298014780775
Feeling lonely even when you are with people,0.1662700968598329,0.03603986530471501,0.3789468358572445,-0.13732989255168393
Feeling nervous when you are left alone,0.12658836246177427,-0.059610820796975494,-0.025901930312067313,-0.17066809671273842
Feeling no interest in things,0.18717736015351824,0.0006853561029116647,-0.15420861530848815,-0.09896879535841865
Feeling of guilt,0.1053757456611429,-0.11713199049585848,0.039658619473883695,-0.21849370567380907
Feeling others are to blame for most of your troubles,0.1087136684844907,0.07997826728752896,-0.05502793182889326,-0.2198176006141807
Feeling so restless you couldn’t sit still,0.1222122632536175,0.018207075970123672,-0.0420309069409886,-0.08423611117057549
Feeling tense or keyed up,0.25213631100070005,-0.14609616584799623,-0.10820632129145205,-0.16302585061671412
Feeling that most people cannot be trusted,0.14291877323204544,-0.23087682008970312,0.053672624505755634,-0.1275320889175951
Feeling that people are unfriendly or dislike you,0.10132297129010685,-0.06347188882999094,0.004215853126470111,0.10612466373114382
Feeling that people will take advantage of you if you let them,0.1338699227178929,0.12234970432181114,-0.0045652908537392595,0.17569576593027889
Feeling that you are watched or talked about by others,0.14637444696963672,0.4233435525468905,0.369424292397549,0.08884016332043437
Feeling uneasy in crowds,0.17694905826659896,0.06200927713777,-0.1261752311399903,0.17200951394173286
Feeling very self-conscious with others,0.1904823146182374,0.03801602763523139,-0.07357803940400486,0.17731095380233186
Feeling weak in parts of your body,0.053908387572022674,0.0011521836873714774,0.00010224823475249445,-0.1211950560895925
Feelings of worthlessness,0.13026871268124957,0.010157216839728738,0.1457795512109291,-0.15258938539381117
Getting into frequent arguments,0.044031060695559954,-0.01070334513880884,0.013377242146378823,-0.11985164894450763
"Having to avoid certain things, places, or activities because they frighten you",0.07464545076449276,-0.018968922525298942,-0.025049184470629177,0.042739010518503616
Having to check and double check what you do,0.21756962841891128,-0.09387847962693294,-0.10710973512895172,0.13993761909592545
"Having urges to beat, injure, or harm someone",0.017357682891171566,0.028429033299445634,-0.005139997044842044,-0.023922489495286605
Having urges to break or smash things,0.03471536578234313,0.05685806659889127,-0.010279994089684087,-0.04784497899057321
Hot or cold spells,0.072335375848706,0.18706660083293997,-0.10010910058141212,-0.027868733275563436
Nervousness or shakiness inside,0.137946897428937,-0.02326729774663055,-0.006014353977902408,-0.20167490976785596
Never feeling close to another person,0.2530717722266112,-0.30181765629921686,-0.007564070121229033,-0.14789929994712897
Numbness or tingling in parts of your body,0.07772328443183987,0.17633747176769116,-0.11256504121127286,0.026171579846832
Others not giving you proper credit for your achievements,0.2038278627408451,0.10206308928132475,0.12890407595498102,-0.016479154746757426
Pains in the heart or chest,0.06669764475369723,0.1069198289361387,-0.06771875581921798,-0.013373048721253583
Poor appetite,0.11142176293258438,0.16727710220061934,-0.10614933728162404,-0.014643404979531344
Spells of terror or panic,0.12982130855799998,0.15188889115479434,-0.09316221768135166,0.00992107731854553
Suddenly scared for no reason,0.03459295459129147,0.009467522797179082,0.003913973261036884,-0.02321972386342595
Temper outbursts that you could not control,0.13903302060240325,0.2939864297690787,-0.16782785640063005,-0.04124178199681704
The idea that someone else can control your thoughts,0.07647455593832658,0.041805036722262386,-0.015944075523746416,-0.2604516625542953
The idea that something is wrong with your mind,0.14061925471749961,-0.075852070950863,-0.03968844785814281,-0.25143545474233403
The idea that you should be punished for your sins,0.13903302060240325,0.2939864297690787,-0.16782785640063005,-0.04124178199681704
Thoughts of death or dying,0.05188474203134014,0.012611403469877925,-0.008605753890745669,-0.01100826304661834
Trouble concentrating,0.26792726250815063,-0.06442952059115334,0.0227570621726126,0.160582949434647
Trouble falling asleep,0.1209168809538027,0.07676274166222512,-0.08404171496176507,0.08272435515834586
Trouble getting your breath,0.01958653086537402,0.015383975919555414,-0.009132428326832231,-0.038888282147202156
Trouble remembering things,0.1540980743872089,-0.24828656956816722,-0.13123405554914233,0.05807416922620553
Your feelings being easily hurt,0.14765865544002224,0.04393881767916974,0.4497196641657613,0.12421048052623719
Your mind going blank,0.12843546365423938,-0.2233719989700663,-0.03898227292772459,0.30351858694229294
