,PC1,PC2
Almost anything is possible for me if I really want it.,0.3708710813791403,0.13254345787662739
Bad economic conditions are caused by world events that are beyond our control.,0.012032152711267534,0.14138839194857053
Bad luck has sometimes prevented me from achieving things.,-0.020061459597620523,0.16596180825770923
"By taking an active part in political and social affairs, we the people can influence world events.",0.01823503438797443,0.11032254405996648
I can learn almost anything if I set my mind to it.,0.20704141533949583,0.11378539243194548
I can usually achieve what I want if I work hard for it.,0.04938257744794327,0.13120270452039656
I can usually develop a personal relationship with someone I find appealing.,0.23329568063209735,0.3256192651298682
I can usually steer a conversation toward the topics I want to talk about.,0.347997316320504,0.09651212073156346
I find it easy to play an important part in most group situations.,0.01089646329955279,0.20168098199280798
I find it pointless to keep working on something that's too difficult for me.,0.1093906617402066,-0.15925721356560957
I have no trouble making and keeping friends.,0.18021697139810433,0.3497603658796641
I often find it hard to get my point of view across to others.,0.1488725000018784,0.11759189706519307
I prefer games involving some luck over games requiring pure skill.,0.16227599620956598,0.12768401575712324
I prefer to concentrate my energy on other things rather than on solving the world's problems.,0.08405193814839383,0.22379150566988995
I usually do not set goals because I have a hard time following through on them.,0.18307556267452543,-0.09892605598820618
I'm not good at guiding the course of a conversation with several others.,-0.11231402449042224,-0.2598439598609235
"If there's someone I want to meet, I can usually arrange it.",0.390257405089618,0.0069492110285118485
"In attempting to smooth over a disagreement, I sometimes make it worse.",-0.09275811801657191,0.11436523428117586
"In my personal relationships, the other person usually has more control than I do.",-0.22484949897940237,0.2495043864186192
"In the long run, we the voters are responsible for bad government on a national as well as a local level.",-0.004751274280561841,0.1668356203931805
It is difficult for us to have much control over the things politicians do in office.,-0.12970737785806113,0.23063970274488985
It is impossible to have any real influence over what big businesses do.,-0.0024750777104895283,0.0062870491423703745
Most of what happens in my career is beyond my control.,-0.24815301303975476,0.22351540932212552
My major accomplishments are entirely due to my hard work and ability.,0.3649766422619508,-0.315660197854033
"Once I make plans, I am almost certain to make them work.",0.1066010542175925,0.16242968846316821
One of the major reasons we have wars is because people don't take enough interest in politics.,0.10262227897922717,-0.011733950091963631
The average citizen can have an influence on government decisions.,-0.05107738724293413,0.11710409934398665
"There is nothing we, as consumers, can do to keep the cost of living from going higher.",0.07728865513132813,-0.21024206601313555
"When I need assistance with something, I often find it difficult to get others to help.",0.1557086099230161,-0.053874939482725856
With enough effort we can wipe out political corruption.,0.12907376184343858,-0.19479839248755018
