,F1,F2,F3
"A ""woman's place"" should be wherever she wants to be. The days when women are submissive to their husbands and social conventions belong strictly in the past.",-0.11199578962097881,-0.009042149371004192,0.6203252691656067
Atheists and others who have rebelled against the established religions are no doubt every bit as good and virtuous as those who attend church regularly.,-0.060180841528358904,0.09405924946033843,0.3535345707254152
"Everyone should have their own lifestyle, religious beliefs, and sexual preferences, even if it makes them different from everyone else.",0.26665822733334066,-0.04743081158211558,0.7757695696958754
Gays and lesbians are just as healthy and moral as anybody else.,-0.28282412756322844,-0.2623972503700032,0.6676742415004651
"God's laws about abortion, pornography and marriage must be strictly followed before it is too late, and those who break them must be strongly punished.",-0.12256218623282929,0.7092246080466709,0.1253327840783748
"Homosexuals and feminists should be praised for being brave enough to defy ""traditional family values.""",-0.057641381460295744,0.23243818873324035,0.2941440976636943
It is always better to trust the judgement of the proper authorities in government and religion than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.,0.42176324035261653,0.16307161817091803,-0.14231137223293006
Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ways and sinfulness that are ruining us.,0.7290609631100008,0.08792805303279311,-0.1373057253674803
"Our country needs free thinkers who have the courage to defy traditional ways, even if this upsets many people.",-0.06715555213541861,0.32190901431366703,0.6479432853906901
Our country will be destroyed someday if we do not smash the perversions eating away at our moral fiber and traditional beliefs.,0.42953457461521777,0.4354219720875823,0.0028350977639510374
"Our country will be great if we honor the ways of our forefathers, do what the authorities tell us to do, and get rid of the ""rotten apples"" who are ruining everything.",0.7852374484935588,-0.072955903965149,0.03857525389409319
"Some of the best people in our country are those who are challenging our government, criticizing religion, and ignoring the ""normal way things are supposed to be done.""",0.1230550614245332,-0.0227328490175016,0.14611055633658152
"The ""old-fashioned ways"" and the ""old-fashioned values"" still show the best way to live.",0.6137768171904141,0.11650253877057189,-0.2269144851493284
"The established authorities generally turn out to be right about things, while the radicals and protestors are usually just ""loud mouths"" showing off their ignorance.",0.4324390051714892,0.18390571594678862,-0.36686202584814304
"The only way our country can get through the crisis ahead is to get back to our traditional values, put some tough leaders in power, and silence the troublemakers spreading bad ideas.",0.543560983154199,0.4213756956076123,0.10091170731477578
"There are many radical, immoral people in our country today, who are trying to ruin it for their own godless purposes, whom the authorities should put out of action.",0.21105965857768558,0.4796732554401219,-0.1589389987623558
There is absolutely nothing wrong with nudist camps.,0.036559465242042906,0.02859705992305239,-0.10488516710737315
"There is no ""one right way"" to live life; everybody has to create their own way.",0.11855403297034638,0.06820796867517052,0.7410139130631921
This country would work a lot better if certain groups of troublemakers would just shut up and accept their group's traditional place in society.,0.09526210638032447,0.8081493156840992,-0.07019115058578486
"What our country really needs is a strong, determined leader who will crush evil, and take us back to our true path.",0.8782017559466737,0.05988168892551828,0.15823871068570294
Women should have to promise to obey their husbands when they get married.,0.24106369380691106,0.7871378709699605,0.024222562503999647
"You have to admire those who challenged the law and the majority's view by protesting for women's abortion rights, for animal rights, or to abolish school prayer.",0.5768255557930752,-0.6489897291958678,0.11003869384632198
