,F1,F2,F3
I control my emotions by changing the way I think about the situation I’m in.,0.8780497579340718,-0.11106733467427106,0.14348531537998924
I control my emotions by not expressing them.,0.392075189746894,0.41135160206783244,-0.37042822537786174
I keep my emotions to myself.,-0.15395583922450257,0.7663140642823733,0.2376126223967198
"When I am feeling negative emotions, I make sure not to express them.",0.04089489517660831,0.7874588486707735,-0.045631055877681265
"When I am feeling positive emotions, I am careful not to express them.",0.09450266705994083,0.27898011049354465,-0.1278171384196356
"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.",0.6199420458004355,0.1484483141317543,-0.12515008846719866
"When I want to feel less negative emotion, I change the way I’m thinking about the situation.",0.35540633332226335,0.12617747130037557,0.24004617265303738
"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",0.09992363108300953,-0.018956320118857273,0.5889993868706791
"When I want to feel more positive emotion, I change the way I’m thinking about the situation.the situation.",0.37052408575312623,-0.16314634654607482,0.12353502817813278
"When I’m faced with a stressful situation, I make myself think about it in a way that helps me stay calm.",0.08848362650525474,0.10830516626564685,0.8668992693754941
