,F1
I am aware of the way my mind works when I am thinking through a problem,-0.19982835647969152
I am constantly aware of my thinking,-0.22907081489015693
I cannot ignore my worrying thoughts,-0.7775831663242815
I constantly examine my thoughts,-0.3752860807820792
I could make myself sick with worrying,-0.7362383275581468
I do not trust my memory,-0.6391449974861761
I have a poor memory,-0.2765490672489726
I have little confidence in my memory for actions,-0.5392325746152216
I have little confidence in my memory for places,-0.29725874662247087
I have little confidence in my memory for words and names,-0.5512243497414709
I monitor my thoughts,0.0824325747532979
I need to worry in order to remain organised,-0.7153530216988603
I need to worry in order to work well,-0.5513823515892192
I pay close attention to the way my mind works,0.21588683265573602
I should be in control of my thoughts all of the time,-0.7236791724818498
I think a lot about my thoughts,0.13684623603380883
I will be punished for not controlling certain thoughts,-0.5495585182101415
"If I could not control my thoughts, I would not be able to function",-0.3993715393043502
"If I did not control a worrying thought and then it happened, it would be my fault",-0.6934758073427906
It is bad to think certain thoughts,-0.6072410766694822
My memory can mislead me at times,0.12098503321214402
My worrying could make me go mad,-0.7019303370266645
My worrying is dangerous for me,-0.6797064971858366
"My worrying thoughts persist, no matter how I try to stop them",-0.789122424138877
Not being able to control my thoughts is a sign of weakness,-0.40281862911544214
"When I start worrying, I cannot stop",-0.6524203271497447
Worrying helps me cope,-0.7404934102595255
Worrying helps me to avoid problems in the future,-0.604060775563071
Worrying helps me to get things sorted out in my mind,-0.7297692602783331
Worrying helps me to solve problems,-0.6969212018940609
