,F1,F2,F3
Chastity is an important and valuable virtue.,-0.19573432017438305,0.4467706065053632,0.34934026530373
Compassion for those who are suffering is the most crucial virtue,-0.20434948460165675,0.528801519441006,0.28774953634080197
I am proud of my country’s history,0.612968759444844,-0.03663575795576391,0.2836275494475342
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,0.3895031568425117,0.6313407475814015,0.03713667728949971
I would call some acts wrong on the grounds that they are unnatural,0.19818646355869496,0.16225076643862235,0.6779631628746632
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",-0.42197108120778587,0.4269135235428701,0.05872348376829329
It can never be right to kill a human being,0.27498675384788107,0.1231305928490853,0.14995482270432497
It is better to do good than to do bad.,0.18943788246420432,0.7998684611400706,0.07417740341572673
It is more important to be a team player than to express oneself,-0.20043650373991959,0.4934325732031656,-0.2778103521366706
Justice is the most important requirement for a society.,0.2596765516167387,0.27131741985568153,-0.32354834140826294
Men and women each have different roles to play in society.,0.1448077612224968,0.21916545618020702,0.6188313585502658
One of the worst things a person could do is hurt a defenseless animal.,0.06784358697624718,0.7525577767292633,-0.026688516912504248
"People should be loyal to their family members, even when they have done something wrong.",0.033220091110888944,-0.08985624005497204,0.6433453975263986
"People should not do things that are disgusting, even if no one is harmed.",0.5559549675882836,0.21772778673283055,0.28908366536059243
Respect for authority is something all children need to learn.,0.13090683639481404,0.736585328422342,0.013105270403009956
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",-0.3123197617525007,0.6204439632253319,-0.18161508465785986
Whether or not an action caused chaos or disorder,0.18062273113028185,0.08689211412718004,-0.6895453794714709
Whether or not some people were treated differently than others,0.07809041831362823,0.2720457648144804,-0.507714353304619
Whether or not someone acted in a way that God would approve of,0.47862559386694253,-0.031159463705393735,0.07224738197155438
Whether or not someone acted unfairly,0.03897128100558926,0.3441865985166734,-0.47146848891174514
Whether or not someone cared for someone weak or vulnerable,-0.034219090257994085,0.5661004879084798,-0.13900176076762458
Whether or not someone conformed to the traditions of society,0.8313020428438717,0.16580865601762518,0.01768328242661111
Whether or not someone did something disgusting,0.648929892242722,0.19161438977522746,-0.15429054196772066
Whether or not someone did something to betray his or her group,0.7800667482490382,-0.14722970997252077,-0.08716010417391072
Whether or not someone showed a lack of loyalty,0.6041403844831235,0.08597088193504307,-0.020171872816563522
Whether or not someone showed a lack of respect for authority,0.6732873192370766,0.03387724341600939,-0.19780317541055994
Whether or not someone suffered emotionally,-0.08735738412490107,0.46379388753628914,-0.27923893369933894
Whether or not someone violated standards of purity and decency,0.2896053280133257,0.37831295003945237,0.06715311070521665
Whether or not someone was cruel,-0.19606744886892694,0.5793567427401595,-0.039258812009213565
Whether or not someone was denied his or her rights,0.06576608240983484,0.2926200341475204,-0.36686449930907944
Whether or not someone was good at math,0.4874671999804125,-0.1309742968838038,0.20682631635787213
Whether or not someone’s action showed love for his or her country,0.6507198161408297,-0.14133144965888567,0.16970478063914032
