,F1,F2
I am attentive to my feelings,0.2360971782692179,0.5304961997822241
I am clear about my feelings,-0.21247274130502025,0.7786663949922465
I am confused about how I feel,0.8814401361320886,-0.045549053119589546
I care about what I am feeling,0.48153567124097935,0.3889647071209907
I experience my emotions as overwhelming and out of control,0.80811251362113,-0.013418687960600188
I have difficulty making sense out of my feelings,0.8207224083547461,0.07677980982373102
I have no idea how I am feeling,0.340683965765666,-0.12684694363364643
I know exactly how I am feeling,0.1730297329207923,0.6676679026718547
I pay attention to how I feel,0.11026628669015721,0.7139745390779717
When I’m upset I take time to figure out what I’m really feeling,-0.06061895758553161,0.7355004400473667
"When I’m upset, I acknowledge my emotions",-0.042588666341382087,0.860893243453741
"When I’m upset, I become angry with myself for feeling that way",0.834569245705038,-0.0767439206846831
"When I’m upset, I become embarrassed for feeling that way",0.735192888845961,0.00738840168295032
"When I’m upset, I become irritated with myself for feeling that way",0.40939412920419055,0.40668098854023654
"When I’m upset, I become out of control",0.7860683383281221,-0.053063587706300944
"When I’m upset, I believe that I will remain that way for a long time",0.5618980972204736,-0.1167592637411235
"When I’m upset, I believe that I’ll end up feeling very depressed",0.7040067077628441,0.23443890062556394
"When I’m upset, I believe that my feelings are valid and important",-0.09679612487993862,0.49786382767974713
"When I’m upset, I believe that there is nothing I can do to make myself feel better",0.6734936623827111,-0.25336034170415767
"When I’m upset, I believe that wallowing in it is all I can do",0.8099189466910435,-0.2361528815975822
"When I’m upset, I can still get things done",-0.5010723855462513,0.22516360160726256
"When I’m upset, I feel ashamed with myself for feeling that way",0.8079737271146874,0.04796616448900996
"When I’m upset, I feel guilty for feeling that way",0.6558356641853497,0.25081546170601837
"When I’m upset, I feel like I am weak",0.6499273442636544,-0.012810335794986433
"When I’m upset, I feel like I can remain in control of my behaviours",-0.7333577860790897,0.09911826479198675
"When I’m upset, I feel out of control",0.8366409752555248,0.07557040881302904
"When I’m upset, I have difficulty concentrating",0.6015890179636303,0.2516459112683511
"When I’m upset, I have difficulty controlling my behaviours",0.8979690976894307,-0.13847281048217108
"When I’m upset, I have difficulty focusing on other things",0.4837074789713516,0.4898366914755621
"When I’m upset, I have difficulty getting work done",0.6891212511437621,0.20055082191692003
"When I’m upset, I have difficulty thinking about anything else",0.5814030590926685,0.30860207673437867
"When I’m upset, I know that I can find a way to eventually feel better",-0.17168993797807283,0.21680619883611876
"When I’m upset, I lose control over my behaviours",0.8411682083247519,-0.11625541224789349
"When I’m upset, I start to feel very bad about myself",0.5364575236470723,0.2220094548879264
"When I’m upset, it takes me a long time to feel better",0.7667645573117022,0.03468121895326867
"When I’m upset, my emotions feel overwhelming",0.8070774325182056,0.09448936619099285
