,F1,F2,F3
"At a party, I let others keep the jokes and stories going.",0.049444231364670896,0.041819243233033404,0.47704994595655953
"At parties and social gatherings, I do not attempt to do or say things that others will like.",0.3718003915463383,0.19021790705418773,0.38857456177480304
"Even if I am not enjoying myself, I often pretend to be having a good time.",0.4978492542610439,0.13016973129849305,0.14986024882230004
I am not particularly good at making other people like me.,0.23192589533080324,0.003885322651200069,0.6118383631882046
I can look anyone in the eye and tell a lie with a straight face (if for a right end).,0.6738716313825069,0.11564476361506772,0.1290840491111357
I can make impromptu speeches even on topics about which I have almost no information.,0.5934951807247906,-0.27167923793582355,0.11668035812891174
I can only argue for ideas which I already believe.,0.5662217168194078,-0.4683782366799841,-0.0872366565970353
I feel a bit awkward in company and do not show up quite as well as I should.,0.4160782110899162,0.21898483716754769,0.23228239021832556
I find it hard to imitate the behavior of other people.,0.2892068691704931,0.18676103057988716,0.3023670337138509
I guess I put on a show to impress or entertain people.,0.7424633204080497,0.19102833715773399,-0.1266168716618297
I have considered being an entertainer.,0.6411163947203546,-0.32972677195293626,-0.06692217045307018
I have never been good at games like charades or improvisational acting.,-0.22054169426733425,-0.038862364136053346,0.6846861487275202
I have trouble changing my behavior to suit different people and different situations.,0.5745526317562886,-0.030632114430565707,0.2616904519469875
I laugh more when I watch a comedy with others than when alone.,0.24547133112628244,0.5146307705317947,-0.16649851259077772
I may deceive people by being friendly when I really dislike them.,0.5476719725654082,0.28373220310368746,-0.07925112281851676
"I rarely seek the advice of my friends to choose movies, books, or music.",-0.16568636453906693,-0.10877418357337519,0.4400501193507728
I sometimes appear to others to be experiencing deeper emotions than I actually am.,0.24649076382333737,0.22377631899051417,0.16715037168087934
I would not change my opinions (or the way I do things) in order to please someone else or win their favor.,-0.12351385973011067,0.6406280601733153,0.2246002840043031
I would probably make a good actor.,0.30933155759955877,0.2975196663287672,-0.11122404983388529
I'm not always the person I appear to be.,0.12366541747669907,0.6268993354723855,0.18027831121251325
"In different situations and with different people, I often act like very different persons.",0.36440923622972327,0.16868822541114378,-0.35508752377219466
"In groups of people, I am rarely the center of attention.",0.1376703910185824,-0.16125336934071172,0.49567374254800356
"In order to get along and be liked, I tend to be what people expect me to be rather than anything else.",0.180026399285821,0.24972668583960747,0.4889042786131248
"My behavior is usually an expression of my true inner feelings, attitudes, and beliefs.",-0.03181259903967815,0.7678895693491818,-0.1547270420157342
"When I am uncertain how to act in a social situation, I look to the behavior of others for cues.",0.3354678968744007,0.5007208658670003,-0.0672956192870026
