,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
A strategy I use to help me remember written material is imagining what the writing looks like,0.25457715675730713,0.018648133741199176,0.050606716536477823,0.08971814444830717,-0.02508413908012904,0.15413700857704818,-0.26025833837257695,0.11671783365466733,-0.01503063573332045,-0.10294832520133862,0.07239738336946126,0.10261859297228829
I can close my eyes and easily picture a scene that I have experienced,0.29314859800547893,0.011910401089634471,0.0425446414311827,0.12233788697125948,-0.014877294098319888,-0.33626798152594295,-0.1148020676582298,-0.19500981369793213,-0.007891918744794937,-0.07439887468003648,0.40977847839456655,0.13646338061834096
I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly,-0.1416658778320647,0.31547973196096774,0.11458210875184559,0.22741827986866525,0.129284911032609,-0.25681064660826847,0.27118480515531573,0.3472080046977808,-0.017012352401195866,-0.185625622784688,0.10149933730199381,-0.15572410833053485
I can easily imagine and mentally rotate three-dimensional geometric figures,-0.14394268409011693,-0.07622195362781549,-0.14422618329428552,0.2746088746205785,0.16538233907809835,0.1572149972488148,0.0015712518113239217,0.07854846251777652,0.15463457025486285,-0.17565830323531584,0.18105626673671765,0.16406714830955124
"I can easily imagine someone clearly talking, and then imagine the same voice with a heavy cold",-0.02089134267915692,-0.16037019657597668,0.052928087701314325,0.145963834786706,-0.1003865552390469,0.1359237627837005,-0.034914357291364474,0.12524363050975196,-0.04046391902878395,-0.23549329267858118,-0.2288453187354132,-0.026685026281519766
I can easily imagine the sound of a trumpet getting louder,-0.0694527537993998,0.005440080740296415,-0.04672964254237584,0.2080688484305357,-0.012035187662142562,0.0005517584561193558,-0.0018380255477490294,0.03483487714226206,-0.014809167925787969,-0.08777997292308946,-0.323592264064716,0.18055593122393057
I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated,0.16921367626993766,-0.22566387093847334,-0.012447697093393396,-0.28460776980165325,-0.0053348894995096,0.05661902517237314,-0.06553946315742898,0.32662402730554846,-0.30952304876571035,0.04566635933794805,0.20853566735530776,0.3166093996534187
I hear a running summary of everything I am doing in my head,-0.0820263005207561,0.06391102854138797,0.5816778102758059,-0.12023282523342581,-0.0985606065738753,-0.04123903128177771,0.11116515563476678,0.035959373973489486,0.05787059018111531,0.348353972352011,-0.0015884495370076554,0.36373487095092116
"I hear words in my ""mind’s ear"" when I think",0.015720886022955204,-0.12175479559069544,0.2769726193068345,0.2994605161174145,-0.1367506607588589,-0.2056425347299831,0.010969553040579214,-0.12295141570238316,0.10136161151046089,0.02026253977667131,-0.029088718286522923,-0.12887301858198313
I like to give myself some down time to talk through thoughts in my mind,-0.0028396220071123207,-0.1536965737099118,0.0918328819273583,-0.0794505413003823,0.04136213040206303,-0.030671822442353676,-0.0584272252675057,-0.23201813555363826,0.20783797744844235,-0.013454246521783316,0.0019390622655363712,0.12480898825291681
I often enjoy the use of mental pictures to reminisce,0.24101171606287392,-0.07371587095976682,-0.095397578025086,0.12822289977853954,-0.091129705717781,0.0610343264968742,-0.014673477784788638,0.22978492175806617,-0.14294663624194612,0.27843247245684627,-0.03527537426859358,-0.07067606963674862
I often talk to myself internally while watching TV,0.0014365064093978047,-0.30254838867238576,0.26952848615514785,-0.04848454030270963,0.34609906676908164,-0.0036055284642497317,-0.04004399648766586,0.17846509512099798,-0.07157233751277943,0.04091614117641525,0.09225166611372723,0.061803565374676
I often use mental images or pictures to help me remember things,0.30686857242026194,-0.10959863010947998,0.02078015334995156,0.002007361562498536,0.09523199490897014,-0.14186127558155703,0.005200363984131937,-0.11458266550867637,0.10073239317396519,0.02937616760432161,0.12231213006522083,-0.08094412585915231
I rarely vocalize thoughts in my mind,-0.26824138618323745,0.16991886807327747,0.026185794154444112,-0.12496679867780557,0.1767847309390854,0.26396887579926004,0.09055666231312232,0.005235629784686896,-0.22807810878739623,0.014016947879642187,0.3756466035983607,-0.20247666945855475
I rehearse in my mind how someone might respond to a text message before I send it,-0.07982058584029685,0.1853814267914919,0.23295967411443608,0.06242585833670749,0.2375440476650525,-0.21777655190680828,-0.03552236275438001,-0.05831255984095815,-0.2962369554633552,-0.09368503350870523,-0.13290739406041324,0.18813692698314496
"I see words in my ""mind’s eye"" when I think",0.1486532235453128,0.38278639602934295,0.093564230858683,0.26927681446286966,-0.08977732836440552,0.12471299559676229,0.04506378830569732,-0.23957443480162385,-0.35668172139813087,0.0759579640125159,-0.09395181383957212,0.009482131641949132
I tend to think things through verbally when I am relaxing,0.16539213657651286,0.018452887706889475,-0.014104318409317545,0.1599798699631124,0.3224909292184597,0.27482987289287514,0.010755231823602404,-0.12737639139921617,-0.08031267534270982,0.37943346145185813,0.0185401886693037,-0.1713382096436204
I think I have a large vocabulary in my native language compared to others,-0.11050908551422947,-0.049115068061115146,-0.02721854056900014,0.1748702588838517,-0.12520828824804403,-0.0436274146843552,0.06040798174647691,0.19133578320939815,-0.10337832302140966,0.1950412696947374,0.11108664589000883,-0.07355043978087672
I think about problems in my mind in the form of a conversation with myself,-0.031936034611509706,-0.12871905570159892,0.16455667596125845,0.09503814572226936,-0.03189807999051267,-0.06751635680406197,0.0633257279007423,0.11707283286212955,-0.11271274900374934,0.029722975721004314,-0.009567647082727402,-0.052429843450486714
"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had",0.012476058407009136,-0.2821335500525286,0.18691150644673152,0.12850888098868277,0.42804924428926655,-0.0625427169163309,0.088450761250427,-0.0886146905701592,-0.08637618619209263,-0.3265559828204606,-0.024974252541306682,0.0031396357429402952
"If I am walking somewhere by myself, I often have a silent conversation with myself",-0.06360494481653646,-0.16020398899767962,0.05308785273661418,0.026492939816070857,-0.16713077922616634,-0.012496607436946357,0.2260379136099057,0.1329153250836246,0.10617007473294375,0.04946194470348164,0.17552205698161769,-0.21243194343054336
If I imagine my memories visually they are more often static than moving,-0.10915643075691209,-0.040794150936961586,0.1945758097762438,-0.012998189579493292,-0.10829609924205215,0.05794318824190304,-0.14246035990367226,-0.11341683145553182,-0.054828572663137405,-0.05689314210663004,0.37302475693386294,-0.26213014581111477
If I talk to myself in my head it is usually accompanied by visual imagery,0.22170432328781978,0.1808025674854541,0.1810130621043188,0.12959247256666273,0.10137115458805508,-0.128555735217832,-0.21085353448463492,0.10250507084175328,0.06683197955900114,0.08189283187344625,-0.12257929451733952,-0.15357674912101735
"In school, I had no problems with geometry",-0.062043291124403856,-0.3261250649835572,-0.007232881267169381,0.29437207762240486,0.18391778313090604,0.11254209759665212,-0.19889345511404993,-0.01629687421835804,0.11842287893955285,0.13727963451304354,-0.08514063960969652,-0.19304141173476141
It is easy for me to imagine the sensation of licking a brick,-0.23181535905072675,-0.16106715756632362,-0.03276235289246684,0.3385927082369798,-0.20307184104324968,0.10850873229082637,0.2937370353480376,-0.2263456963115517,0.08583476318908119,0.12548684710352417,0.137543835945616,0.3765755239101279
My inner speech helps my imagination,-0.04936425609494415,-0.026615501506746443,0.10324780058850225,0.0505428760036272,-0.1752424385157909,-0.036449298387806306,-0.025980591438414538,0.055840073083547534,-0.17134819124905618,-0.15222044927872497,0.026286257870418994,-0.23072068452678302
My memories are mainly visual in nature,0.13606086979110285,0.08412811652419737,-0.11215756482312503,0.15686547448745644,0.20922707492411843,0.21824643372326563,0.3694206365352956,-0.03333673042899241,-0.009358412317966391,-0.01946315671960875,0.12503832176877874,0.12515249772199036
My memories often involve conversations I’ve had,-0.06774018752835156,-0.08952574989206752,0.12168652919486517,0.17063466571116617,-0.10659236073588332,0.15414278606757612,-0.21354017101531625,0.13173639074333465,-0.059794124653638814,0.23812168146489412,-0.07612604906337478,-0.03095383877054864
My mental images are very vivid and photographic,0.2702168803750554,-0.03601086171270691,0.1762671705293899,-0.026770155892512377,-0.0679906851987876,0.3771808989555193,0.10795501190858256,-0.21232875715606744,-0.20777209075881492,-0.173226781934798,-0.026152681464120007,0.013605684276286065
The old saying “A picture is worth a thousand words” is certainly true for me,-0.08618112433640479,-0.01998282862337481,-0.01717355770943468,0.11821963724393532,-0.11577588003998987,0.13514934859364117,-0.16876041082316773,0.24051436057426126,-0.17505914226044253,-0.2588282948904975,0.008395209172025011,0.2052925580230271
"When I am introduced to someone for the first time, I imagine what their name would look like when written down",0.08106578400937771,0.33275912070966257,0.04563595390926339,0.08130714828056444,0.20683404794027674,0.1824105322875321,-0.12273530387933916,0.31462812818437597,0.4355448253728054,0.04611303469016243,0.050567252419718364,0.16092931762854726
"When I hear someone talking, I see words written down in my mind",-0.12450317955126244,0.13438188869077206,0.34200754010414436,-0.03999155321757686,-0.15547649975525316,0.3494180890664336,-0.25708775272537093,-0.0923782482116818,0.24086372743149892,-0.23513188603018054,0.09645617268682585,-0.05763468234163072
"When I read, I tend to hear a voice in my ""mind’s ear""",0.31283834285749773,-0.098565179593094,0.19210428085845488,-0.15579653972581073,-0.10608007145299253,0.16367455866238162,0.4476487611890175,0.1378257715126285,0.14131217033154686,-0.18404534476848405,-0.2321386604022864,-0.1557660398419216
"When I think about someone I know well, I instantly see their face in my mind",0.2601661589922952,-0.016986345364784848,-0.11256245158628042,0.26077874464458134,-0.233388733448223,-0.059437179452130326,-0.10213352009910122,0.06573525001925125,-0.05579054975806059,-0.1601427908142169,0.1908781483518394,0.08125024622054933
"When thinking about a social problem, I often talk it through in my head",-0.06799426161507519,-0.08274974552816018,0.08918815365685417,0.09009077034029721,-0.08836881480892861,0.0005842852333371316,0.0787328244240473,0.17422944909391566,-0.11522959207814912,0.07601341968450227,-0.01550876579787198,-0.05910405169417381
When traveling to get to somewhere I tend to think more visually than verbally,0.23072248080107235,0.04299551981111155,0.06047610145840138,0.05226063802608553,-0.09233949005733391,-0.0062184256094551405,0.18013903250585905,0.12866956703378343,0.22355662056347836,0.009074069241183083,0.2004280366854996,-0.0012059125278494978
