,F1,F2,F3
A distaste for hard work usually reflects a weakness of character,0.007080903018964296,0.005619148306257607,0.876625802120369
Any man who is able and willing to work hard has a good chance of succeeding,0.10453080138965573,0.6706236587630136,0.008075982915660624
Hard work offers little guarantee of success,0.43273671918273715,-0.20677101650546512,-0.3848792706423759
I feel uneasy when there is little work for me to do,0.6949130065487039,-0.060844398192576706,-0.16519713388878962
I often feel I would be more successful if I sacrificed certain pleasures,0.3385305807494935,0.030080304270244915,0.23446638860637986
If one works hard enough he is likely to make a good life for himself,0.004896672132260598,0.7320088571238575,-0.05829136400275415
Life would be more meaningful if we had more leisure time,0.24579941524932747,0.4154807113664362,-0.0007389977905469155
Life would have very little meaning if we never had to suffer,0.40531697003176786,0.16544177048152015,0.039035323604017985
"Money acquired easily, g., through gambling or speculation, is usually spent unwisely.",0.31147752814663515,0.43324602078663704,0.028555844909300694
Most people spend too much time in unprofitable amusement.,0.7415074906221945,0.12405076942453469,0.0898973530267036
Most people who do not succeed in life are just plain lazy,0.44676584173290124,-0.35291211999113425,0.36283626849749584
Our society would have fewer problems if people had less leisure time.,0.21898282155442053,-0.004346355809868509,-0.228805483571171
People should have more leisure time to spend in relaxation,-0.16688673295552287,0.599511387773753,0.18818745667789843
People who fail at a job have usually not tried hard enough,0.5559447466662202,0.0520072338547171,0.13889713880486468
The credit card is a ticket to careless spending,0.24268411901814974,0.040932414902075456,0.2973612780576712
The most difficult college courses usually turn out to be the most rewarding,0.18066697583078467,0.26136999646218895,-0.29901249618014963
The person who can approach an unpleasant task with enthusiasm is the person who gets ahead,0.3929216046086674,0.10853542231730155,-0.13267225118659687
The self-made man is likely to be more ethical than the man born to wealth,0.17496703199829944,-0.11566003560370086,0.3417485567815442
There are few satisfactions equal to the realization that one has done his [her] best at a job,0.030913121569645437,0.5798342085268154,-0.05885006517141919
