,F1
Difficulty in breathing,0.8622697894525072
Dizzy or lightheaded,0.8251149406461058
Face flushed,0.6950421725084249
Faint / lightheaded,0.6665869489536663
Fear of dying,0.8599241541364434
Fear of losing control,0.838594745344383
Fear of worst happening,0.5596255395148263
Feeling hot,0.6892420052606318
Feeling of choking,0.6570632863488989
Handstrembling,0.8054775300764607
Heart pounding/racing,0.7021517981566776
Hot/cold sweats,0.8187330133451189
Indigestion,0.6884795551307551
Nervous,0.636043473102595
Scared,0.635305337524541
Shaky / unsteady,0.6676082426598883
Terrified or afraid,0.7295551240693416
Unable to relax,0.39667368752132987
Unsteady,0.5529455162833204
Wobbliness in legs,0.7461050698550741
