,F1,F2
Even when it might be to my advantage‚ I have difficulty putting up a good front.,-0.2916146279567962,0.3015080172084543
I am often able to read people’s true emotions correctly through their eyes.,0.6059060989028037,0.20700874082667253
I can usually tell when I’ve said something inappropriate by reading it in the listener’s eyes.,-0.046441290823586896,0.809353525619363
I can usually tell when others consider a joke to be in bad taste‚ even though they may laugh convincingly.,0.6181132279255226,0.29671163209200363
I have found that I can adjust my behaviour to meet the requirements of any situation I find myself in.,-0.3576863701850814,-0.039408063513318985
I have the ability to control the way I come across to people‚ depending on the impression I wish to give them.,0.805715698438487,-0.14209175921622583
I have trouble changing my behavior to suit different people and different situations.,-0.28547917400438766,0.7743145811438744
If someone is lying to me‚ I usually know it at once from that person’s manner of expression.,0.26309095578747577,0.6611709992510476
In conversations‚ I am sensitive to even the slightest change in the facial expression of the person I’m conversing with.,0.3056362546879736,0.5236687849702402
In social situations‚ I have the ability to alter my behavior if I feel that something else is called for.,0.8857735371758895,-0.09481861379589039
My powers of intuition are quite good when it comes to understanding others’ emotions and motives.,0.5424278582165434,0.3738039611162428
Once I know what the situation calls for‚ it’s easy for me to regulate my actions accordingly.,0.2760133453696005,-0.13824965082337823
When I feel that the image I am portraying isn’t working I can readily change it to something that does.,0.5947822834456327,-0.18406485735962325
