,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Assumes the best about people.,0.001914407084223635,0.06474216442316127,-0.04585432593976585,-0.00846315572278697,0.11764661122818387,0.05112520288187915,-0.02187623955558511,0.011956077842150845,0.2569016664883923,0.014142753771341221,0.012377937510132941,-0.08564287974617998,0.008942120235364392,-0.06322247796077535
"Avoids intellectual, philosophical discussions.",0.24101046085773303,0.058596345839187845,-0.01677608770041287,0.151722357521903,-0.07801639044183328,0.033908862213240805,0.032104512893145934,0.16218384932331162,0.1323850510637955,0.09737823018499886,-0.19445162999397336,0.05141332942222285,-0.21510195576717334,0.060814174405217664
Can be cold and uncaring.,0.05991467520671681,0.3033008414566704,0.010293448054026766,-0.024936880060495326,0.013051082712475376,0.33900948893072846,-0.004897004265498786,-0.1417043286338145,0.10574751038645194,0.027108109640666123,0.006010416972755395,0.19227376329298687,-0.030906898150318343,-0.03312156140941572
Can be somewhat careless.,0.05531822062076131,0.21855535220563324,0.1029804414573145,0.03744160349073572,0.10688331066434545,0.1716569429949052,0.0747149410894894,-0.2782833713661399,0.23090059904059185,-0.23690993855177772,0.05293594389774384,0.14392826921602583,-0.03470548127483325,0.36139679673290076
Can be tense.,0.16232120886292384,-0.027033677907700837,0.10329675282480622,-0.20685601896480554,0.056736096096804134,0.037324331062633664,-0.14086967372371922,0.040395983985009654,-0.24112311153865626,-0.1391933362699188,-0.3591725629844849,-0.2446159922918638,-0.031187472718698817,0.16788309615287791
Feels little sympathy for others.,0.16013985101914543,0.33932231887100484,0.39547183425217486,-0.035044226730455263,0.1919765980491672,0.06405222501422966,-0.08941663357710013,-0.04193006671747168,-0.1951557727974903,0.20474394060591766,0.025885913945881536,0.051688100785283166,-0.17346401679215037,-0.19548525049978335
"Feels secure, comfortable with self.",-0.006062271676085393,-0.01490840540251459,-0.11548850223879864,0.0005363491611539983,0.07200726682382852,-0.04452859561627892,0.062006595660679786,-0.03351778099859375,0.11051504875321641,0.14956708834495147,-0.01567492434903839,-0.0742414910081651,0.021898332662539884,-0.07473213831380221
Finds it hard to influence people.,0.12666277449383034,-0.02076415188637354,-0.10512387599613365,0.30554701676843027,-0.04272578103038013,-0.14210335090393195,-0.08263350323190768,0.17522129976901016,0.1645406180462736,-0.0827514390011833,-0.25139081735189484,-0.17556242842157543,-0.07635564638998264,-0.2634033426659819
Has a forgiving nature.,-0.07646124483888715,0.07808909604253766,-0.22067800930098858,0.06827190601389382,0.04792298284657054,0.06590609025443173,-0.12371500880613262,-0.119659724631518,-0.0746293423847959,-0.0945688448579291,-0.03656107403007813,-0.13018652299278452,0.08526468718798172,0.2335738703320137
Has an assertive personality.,0.08812809390936789,-0.07237279156571508,0.006588029745694474,0.07256089487833142,0.24071801696787046,0.008469785907957161,-0.03689126741250881,0.030353271144912375,-0.12399129760831101,-0.016360769401639053,0.03132409833680258,-0.07660122695790636,-0.22401773015718407,0.024334089919120755
Has difficulty getting started on tasks.,0.2774154882992831,-0.012657617935439668,-0.08989038981049001,0.03329322720630415,-0.10470505258740226,0.13664183681825748,-0.10449302451900938,-0.20089138841021964,0.0019580168299753176,-0.0018486957863000641,0.20146308998057946,-0.11910627131597708,0.06054003488451823,0.02706325301247192
Has difficulty imagining things.,0.1924174304471416,0.0162814413886707,0.032102833681526666,0.35926500918354914,-0.006603070803202216,-0.1483612104849884,-0.033982278844255226,-0.013382862707022602,-0.10516169049486557,0.14857303054843152,-0.05283998237084242,0.07043078416345064,0.3093423169387822,0.08081595097462145
Has few artistic interests.,0.0691058967263473,0.26807970596114356,0.11268584074907848,0.31834921108810155,-0.013841246117662187,-0.3328380852391282,-0.12689578665679302,0.03071128765541034,0.19721240204603535,0.029917607281608666,0.161560343720528,-0.24619957651267207,-0.0694396698047086,0.06963092453830519
Has little creativity.,0.14398081908925592,0.0817000028040946,0.13705293446568578,-0.08335502732839041,0.09902557581543421,-0.13710116670482597,-0.36640644756769125,-0.062474955845932684,0.05574749961724873,-0.13502926160650586,-0.22415719302089687,0.21442844477208786,0.09154196047825519,-0.15059361232373197
Has little interest in abstract ideas.,0.28700625677128644,0.006248459989197902,-0.14101344122600987,0.33923817436380593,0.03503839021510248,0.26124949623674937,0.07479468565435299,-0.03183729383206385,-0.10321360562814083,0.03273049749458151,0.26124147949521725,0.04790048038633408,0.2139668046206527,-0.25338103414055535
"Is compassionate, has a soft heart.",0.026318499199173884,0.028250695301840403,-0.12614261099925703,-0.08551865872215125,0.1483933600236536,-0.033564942789224735,0.3254556161365721,0.08484559193394908,0.11477990424668233,0.025582716201162564,0.017288925006760825,-0.019223641174170178,0.04077785189563842,0.21269757566644806
"Is complex, a deep thinker.",0.006918960549852266,-0.0011149754754522497,-0.06361638062112542,0.04784961358258821,0.0204305437407798,0.07926335008506971,-0.09871193164739245,0.109482804162948,0.1140340940364955,0.1353018927702188,0.14587980488102442,0.06207219208622107,0.0569234492236943,0.17278891694242834
Is curious about many different things.,-0.022503730695093992,-0.012368190384730283,0.03917564285152447,-0.028557473212052712,0.03106580051445764,-0.08218218114515785,-0.04191432666277359,0.08943364502202283,-0.040875891985133805,0.05709247287550767,0.05285323236455919,0.12092474108827046,-0.0690103092733975,0.05854241084671427
"Is dependable, steady.",-0.03150099277569914,0.0009113424393588161,-0.0777776947571382,-0.025174546716319524,0.08424746251361828,0.029321899847663268,-0.14095408278211644,0.051310140455839245,0.09657917344122757,0.28893954415020523,0.12111392278572111,0.040633594946616385,0.06515812696793502,0.15167674625032532
