,F1,F2
Chastity is an important and valuable virtue.,0.5833297393693629,0.33592748258080934
Compassion for those who are suffering is the most crucial virtue,0.22696605929009345,0.6110807606851738
I am proud of my country’s history,0.4318642854861464,-0.25693554579486166
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,0.5979626910618074,0.07112023408998207
I would call some acts wrong on the grounds that they are unnatural,0.2882573549977955,-0.48938070143843937
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",0.318624868930531,0.3532269323038207
It can never be right to kill a human being,0.6596455975563988,0.18321376513421622
It is better to do good than to do bad.,-0.20777034706540706,0.3470592158004912
It is more important to be a team player than to express oneself,0.22200205553454747,0.45637423690519613
Justice is the most important requirement for a society.,0.08567021050272311,0.288470371766114
Men and women each have different roles to play in society.,0.5475929471533383,-0.04913824592610882
One of the worst things a person could do is hurt a defenseless animal.,-0.13363026040543866,0.27383825537870476
"People should be loyal to their family members, even when they have done something wrong.",0.34635729121593223,-0.15568234687565302
"People should not do things that are disgusting, even if no one is harmed.",0.5292637973716622,0.10834410737139709
Respect for authority is something all children need to learn.,0.4220782472282285,0.25390529146224505
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",-0.0681132468756248,0.680657374187445
Whether or not an action caused chaos or disorder,0.1401601299353068,0.25527483222514463
Whether or not some people were treated differently than others,0.03485673086549512,0.5040100464681965
Whether or not someone acted in a way that God would approve of,0.7717577239554073,-0.17014163124168005
Whether or not someone acted unfairly,-0.529319054643553,0.14913454639574875
Whether or not someone cared for someone weak or vulnerable,-0.5539558516355552,0.021563065351971073
Whether or not someone conformed to the traditions of society,0.6162965069953823,0.08718509865981447
Whether or not someone did something disgusting,0.7440705067949138,-0.16963076846480726
Whether or not someone did something to betray his or her group,0.4567983163763264,0.13870517811541017
Whether or not someone showed a lack of loyalty,0.4761633820388576,0.20277040218206102
Whether or not someone showed a lack of respect for authority,0.7056973090653347,0.08538752474483223
Whether or not someone suffered emotionally,-0.48641665092771413,0.3319444168996369
Whether or not someone violated standards of purity and decency,0.7139531387006564,-0.06747918120434158
Whether or not someone was cruel,-0.3737403302665394,0.3922652017178473
Whether or not someone was denied his or her rights,-0.42342635451332156,0.5025167921403606
Whether or not someone was good at math,0.5272573989340399,0.27685816114149675
Whether or not someone’s action showed love for his or her country,0.7418188827146193,-0.014497481682725454
