,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
I am free to express my ideas and opinions on the job.,0.011199620752406714,-0.12162982063525407,0.18294204699978697,-0.022166363595140473,-0.1635401127850216,-0.22425739563864996,-0.23112653569760147,-0.20307190882498782,-0.13685578414709487,-0.017380877516703953
I consider the people I regularly interact with to be my friends.,0.27104471714519784,0.024245388095555265,-0.11754706900139193,0.09373184920625743,0.07070277976549966,0.04068585514377032,0.1401069858503477,-0.03489244468432462,0.0007602183610938146,-0.3145074284589139
I consider the people I work with to be my friends.,0.25683340014126255,0.05744329033442652,0.027890275248786057,-0.09383303551085889,0.08144082125412558,0.020477454833136025,-0.04949874698910344,0.05570767796272732,-0.07696300495565363,0.07420069896527333
I do not feel very competent when I am at work.,0.09217679529274996,0.1752242665105026,0.04086867513418088,0.10735218581395317,-0.060282975743143175,-0.15446190452857889,0.033874443768088125,0.08474678035909344,-0.035259612442314014,0.22058299061587022
I feel like I am free to decide for myself how to live my life.,0.24348553314685945,-0.05516359083656491,-0.14008631220867274,-0.2214953116346119,-0.10357304856907296,0.22416171405686924,0.0862164430166775,-0.09386771795546131,0.002751233439672096,0.33956284991888913
I feel like I can make a lot of inputs to deciding how my job gets done.,0.1589089869409454,-0.055431367974215856,0.10961336051580374,-0.1385278243599879,-0.29014954442365837,-0.076287042543349,-0.09223304553552261,-0.010348799466727732,-0.27571760766609327,0.08236763432355601
I feel like I can pretty much be myself at work.,0.050506536043610724,-0.2508294358681402,0.03381108794695323,0.08508882016082464,0.009631500562521211,-0.08179047005529513,0.11378802823255821,0.03925307243917989,-0.16632979888333374,0.018418341922481207
I feel like I can pretty much be myself in my daily situations.,0.09149525946230701,-0.21909911843728622,0.0022495676503819784,0.0063641784063695195,-0.05412070840070082,-0.20648272138458057,0.11563396563884124,0.19505235705641866,0.01501264541616154,0.11399644808219472
I feel pressured at work.,0.22355425521128336,0.10586124451846918,0.1374937793994621,0.0007732538305204942,0.005995061087159706,-0.04739172834553752,0.07311010357758993,-0.26686536934818794,-0.15098708613755493,-0.1392887580251165
I feel pressured in my life.,0.23088780404658335,0.046758558540312196,0.10206113306646201,-0.03024813052863256,0.0012151013854611054,0.14530714959810231,0.05238065727230203,0.10475419451022949,-0.00964528550395228,-0.16459808787597302
I generally feel free to express my ideas and opinions.,0.008382340609519619,-0.124452034612796,0.05011730795961081,-0.06782288882721495,-0.040444304664438276,-0.12429668208296654,0.05029280458944575,-0.11610843817052355,0.033488356580828625,0.01188069758898938
