,F1,F2,F3
I am attentive to my feelings,-0.25143037880791935,0.17146814143260491,0.334084228544854
I am clear about my feelings,-0.6936185704471403,0.17554014114597521,0.44901433514288974
I am confused about how I feel,0.4518689686633042,0.3994130675001485,-0.04554972173874287
I care about what I am feeling,0.2714584522221718,-0.28914123585426205,0.24407685523042114
I experience my emotions as overwhelming and out of control,0.7741777500303479,0.14012929560600884,-0.005659608192838288
I have difficulty making sense out of my feelings,0.02854508781803698,0.8064635044204101,-0.06334958115072743
I have no idea how I am feeling,-0.05330037605776542,0.7049096359488405,-0.17504672004259597
I know exactly how I am feeling,0.22497069219082758,-0.06804875981828261,0.19701387827890535
I pay attention to how I feel,-0.44036240932071724,-0.01258641958369699,0.22267747899295737
When I’m upset I take time to figure out what I’m really feeling,-0.26189804332242284,0.6241034802951292,0.13220851494821292
"When I’m upset, I acknowledge my emotions",0.20214349872325016,-0.30849311329137125,0.6427175063219208
"When I’m upset, I become angry with myself for feeling that way",0.6360499352563431,0.2058426410496956,0.2489997911367798
"When I’m upset, I become embarrassed for feeling that way",0.4890137003553701,0.3336474106012032,0.3131292497505018
"When I’m upset, I become irritated with myself for feeling that way",0.18334359357877597,0.34882415025468594,0.24632503300985106
"When I’m upset, I become out of control",0.8724038395261708,-0.2335257475072178,-0.06918176175338614
"When I’m upset, I believe that I will remain that way for a long time",0.7368769311545704,-0.03218934605584839,0.3772170544598165
"When I’m upset, I believe that I’ll end up feeling very depressed",0.7555551188990355,0.21926959407912863,0.00834183453686319
"When I’m upset, I believe that my feelings are valid and important",-0.38977818368598943,0.034285411539645864,0.35719149337695316
"When I’m upset, I believe that there is nothing I can do to make myself feel better",0.6149750027234578,0.4170076523244761,-0.045079829819305105
"When I’m upset, I believe that wallowing in it is all I can do",0.3609603922730154,0.5516905651715471,-0.07269021462200517
"When I’m upset, I can still get things done",0.015004596215539262,-0.04573689671196841,0.4777302632756884
"When I’m upset, I feel ashamed with myself for feeling that way",0.18750875318274351,0.5268068231390702,0.34670506995933725
"When I’m upset, I feel guilty for feeling that way",0.8040588001156709,-0.042270542644381764,0.2280236479923608
"When I’m upset, I feel like I am weak",0.10910806314230913,0.43060908820901395,-0.015839625190527944
"When I’m upset, I feel like I can remain in control of my behaviours",-0.223518976330666,0.015946117768469277,0.18543902447432065
"When I’m upset, I feel out of control",0.29143698661602074,0.2690483507553517,-0.027092331774994864
"When I’m upset, I have difficulty concentrating",-0.2576843103712547,-0.0125738038382154,0.2086783794809861
"When I’m upset, I have difficulty controlling my behaviours",0.8030750548840956,0.06778319156640247,0.037132264606632284
"When I’m upset, I have difficulty focusing on other things",-0.2469562651994821,-0.05139552512664463,0.35784747810033235
"When I’m upset, I have difficulty getting work done",0.02994694742034717,-0.15427986738505625,0.4793702924350771
"When I’m upset, I have difficulty thinking about anything else",0.05680128501575302,0.17822168393409257,0.25472774141374377
"When I’m upset, I know that I can find a way to eventually feel better",-0.5387769252569652,0.23598344355916168,0.29203964537915905
"When I’m upset, I lose control over my behaviours",0.5467409171926532,0.3131353644759413,-0.09341076342696747
"When I’m upset, I start to feel very bad about myself",0.2536858801901531,0.29212721484312376,0.2384444743945875
"When I’m upset, it takes me a long time to feel better",0.17097539730332292,0.19677518565471486,0.48215489323247657
"When I’m upset, my emotions feel overwhelming",0.28757254246488334,0.45418987456989257,0.05305516354303163
