,F1,F2
I am nervous when partners get too close to me.,0.6501091077599374,-0.062223172596707725
I am very comfortable being close to romantic partners.,0.3597265402686915,0.6444579890519333
I do not often worry about being abandoned.,-0.4012566162838183,0.03362698235964367
I don't feel comfortable opening up to romantic partners.,0.464846528463492,-0.4299842219892412
I feel comfortable depending on romantic partners.,0.24354345060789637,0.5425439409523406
I feel comfortable sharing my private thoughts and feelings with my partner,-0.11073354667930495,0.7230567837862382
I find it difficult to allow myself to depend on romantic partners.,0.5933214777520649,-0.27641124149106355
I find it easy to depend on romantic partners.,0.4106307554933362,0.5037126621019483
I find it relatively easy to get close to my partner.,-0.14050922978738783,0.6609182518425094
I find that my partner(s) don't want to get as close as I would like.,0.5850970745663984,-0.23257419139319907
I get uncomfortable when a romantic partner wants to be very close.,0.45201776428579876,-0.26211769416250685
I often wish that my partner's feelings for me were as strong as my feelings for him or her.,0.6163550599539707,0.3856499690784427
I often worry that my partner doesn't really love me.,0.7937210644438341,-0.022163552792693754
I often worry that my partner will not want to stay with me.,0.6281187103183872,0.0355731780712854
I prefer not to be too close to romantic partners.,0.21741689065745573,-0.5978090720460771
I prefer not to show a partner how I feel deep down.,0.4888664303785235,-0.4630601437487317
I rarely worry about my partner leaving me.,-0.30929404742076866,-0.02105927306109067
I talk things over with my partner.,0.017565516954449308,0.5110789589823985
I tell my partner just about everything.,-0.23611090696562298,0.4524757703469745
I usually discuss my problems and concerns with my partner.,0.5510040944117963,0.5069191914781456
I worry a lot about my relationships.,0.6619488212168485,0.10401709968139057
I worry that I won't measure up to other people.,0.7926510320397512,0.056030801125535226
I worry that romantic partners won’t care about me as much as I care about them.,0.6758532453484929,0.14679501500553235
I'm afraid that I will lose my partner's love.,0.8609808154845046,0.018789589190098453
"I'm afraid that once a romantic partner gets to know me, he or she won't like who I really am.",0.8309999392021433,-0.17373347703417982
It helps to turn to my romantic partner in times of need.,-0.1969195921208877,0.585987954161556
It makes me mad that I don't get the affection and support I need from my partner.,0.7455959510643639,-0.055554197319284536
It's easy for me to be affectionate with my partner.,-0.11911088886735378,0.7711112355336617
It's not difficult for me to get close to my partner.,0.2980735708199139,0.6756920978019008
My desire to be very close sometimes scares people away.,0.6375215806382566,0.26671073728376654
My partner only seems to notice me when I’m angry.,0.49870399440504154,-0.3237079639091605
My partner really understands me and my needs,0.23898188740477572,0.31394378833716535
My romantic partner makes me doubt myself.,0.6108175116025446,-0.25503438465268474
Sometimes romantic partners change their feelings about me for no apparent reason.,0.6061446539786771,0.3085314337658498
"When I show my feelings for romantic partners, I'm afraid they will not feel the same about me.",0.716771518898506,0.08374513075237967
"When my partner is out of sight, I worry that he or she might become interested in someone else.",0.6033970714927864,-0.12351963338355304
