,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Assumes the best about people.,0.043951230971481126,0.08338227963019046,0.13560596236853634,-0.18304770156226433,0.04485252530020273,-0.0628207629216622,0.1239634446358149,0.0484261093043343,0.08655085342106657,0.14439281489057593,0.016412140730791197
"Avoids intellectual, philosophical discussions.",0.19064365632066538,-0.14751467412494432,0.008846777590526702,-0.08788474121133245,-0.21530483611086298,0.3818075949787786,0.025758278746968177,0.08022533780460539,0.0660016528845116,0.26100908659223127,-0.2534662616052396
Can be cold and uncaring.,0.32579775093667473,-0.04870448390379012,0.03516271809258453,-0.09521598369138515,-0.12399922352822815,-0.1449864498232549,0.055022635436614314,-0.08584304123752032,0.051252958939832845,0.04953280432762197,-0.14278351407402873
Can be somewhat careless.,0.23779476593146714,-0.09334669578850951,0.15120396819493634,0.10795054841195728,-0.16149336513732354,0.12804307265447468,-0.003474044895412809,0.0932008133653415,-0.1311767436249916,-0.11496747350209882,-0.2856960249093523
Can be tense.,-0.0092185765527957,0.03040525190854587,0.20172589518407924,0.017961603573264942,0.12837205117876088,0.21352412161916015,0.11744685371172389,0.036844019555756474,0.2735433330641198,-0.3608374689877205,0.05892013943703514
Feels little sympathy for others.,0.04594944917694673,0.0341053179355105,0.031240974180150288,-0.028871575502331933,0.06196519296825674,-0.02374391143521576,-0.028844800167377338,0.059078314766933426,-0.0348548080082209,0.04158312100029817,0.16277637410534815
"Feels secure, comfortable with self.",0.023621530395525767,0.15625847463151346,8.742333627469873e-05,0.006187415828403722,-0.08737271976296045,-0.004329169620283457,0.05534095335638867,0.025963623023111337,-0.1081245331952383,0.15658565281768022,0.06385205879598599
Finds it hard to influence people.,0.11823572345531799,0.12957521826611504,-0.22788328622303497,0.12486305133735603,-0.012066029601710604,0.3028943366929848,0.022277777288098086,-0.3514147896380251,0.14860814196188318,-0.13829777479989358,0.13285834411290529
Has a forgiving nature.,0.057332081899783005,0.04783656471172628,-0.005550851798701466,-0.08873670048587834,-0.09537783493659513,0.024433323246092487,0.013943197705933913,0.005313391980605625,-0.09144661978994194,0.08884187943289945,-0.021824277817131477
Has an assertive personality.,0.08739537212489422,0.14375253235875043,0.11946393286901115,-0.10731774615934853,0.026746239521137957,0.03437390962597808,0.00922965243919889,-0.008996754178152655,0.16979313985303474,-0.19051927835313795,-0.1967975617684194
