,F1,F2
"At a party, I let others keep the jokes and stories going.",0.5264565535715184,0.08772251734437282
"At parties and social gatherings, I do not attempt to do or say things that others will like.",0.053458107496283165,0.6735846256568826
"Even if I am not enjoying myself, I often pretend to be having a good time.",0.10930982445206688,0.39344561588096294
I am not particularly good at making other people like me.,-0.10811778102380118,0.32535402076553827
I can look anyone in the eye and tell a lie with a straight face (if for a right end).,0.03892481750666354,0.3197016210206361
I can make impromptu speeches even on topics about which I have almost no information.,0.6497206919840586,0.011654067584193918
I can only argue for ideas which I already believe.,-0.28871065902614856,0.41262156182165005
I feel a bit awkward in company and do not show up quite as well as I should.,0.21843170764013783,0.726200056195336
I find it hard to imitate the behavior of other people.,-0.25042183946555613,0.44135003467180556
I guess I put on a show to impress or entertain people.,0.26572748566230875,0.384876885956703
I have considered being an entertainer.,-0.12499809415604196,0.49475145730363884
I have never been good at games like charades or improvisational acting.,-0.04154548892431369,0.2508903011280816
I have trouble changing my behavior to suit different people and different situations.,-0.13993808263733226,0.45724654334119036
I laugh more when I watch a comedy with others than when alone.,0.1173336739666362,0.5238218127114606
I may deceive people by being friendly when I really dislike them.,-0.42295763290879496,0.4665284840429247
"I rarely seek the advice of my friends to choose movies, books, or music.",0.669361037909619,-0.16294785784029026
I sometimes appear to others to be experiencing deeper emotions than I actually am.,0.7925912355049514,0.08179204688738897
I would not change my opinions (or the way I do things) in order to please someone else or win their favor.,-0.06995839281080797,0.48797862256550173
I would probably make a good actor.,0.31578315019928793,-0.2090474738807067
I'm not always the person I appear to be.,0.43240319171030056,-0.2076713986772797
"In different situations and with different people, I often act like very different persons.",0.7968469399737035,0.14432915717633218
"In groups of people, I am rarely the center of attention.",0.3674732843098162,-0.1663517686442686
"In order to get along and be liked, I tend to be what people expect me to be rather than anything else.",0.7215249062616113,-0.10571690798806638
"My behavior is usually an expression of my true inner feelings, attitudes, and beliefs.",-0.023395457174524827,0.06576517880245032
"When I am uncertain how to act in a social situation, I look to the behavior of others for cues.",0.7326129994462252,0.08852920512304623
