,F1,F2
A distaste for hard work usually reflects a weakness of character,0.601786738921349,0.07399788027722726
Any man who is able and willing to work hard has a good chance of succeeding,0.18135740872070508,0.6008638903208643
Hard work offers little guarantee of success,0.1497862671915527,-0.2264155840594842
I feel uneasy when there is little work for me to do,0.45195553493225865,0.29516685807566456
I often feel I would be more successful if I sacrificed certain pleasures,0.05489026998892701,0.6312525337656026
If one works hard enough he is likely to make a good life for himself,-0.0600840274230335,0.5380796421111899
Life would be more meaningful if we had more leisure time,0.4761549619709569,-0.2575862543032473
Life would have very little meaning if we never had to suffer,0.26624339550255954,0.4459536718955841
"Money acquired easily, g., through gambling or speculation, is usually spent unwisely.",0.22635965329871113,0.14224881610300152
Most people spend too much time in unprofitable amusement.,0.12138357750519552,0.5387596131714781
Most people who do not succeed in life are just plain lazy,0.8229706072489578,-0.03381872254022911
Our society would have fewer problems if people had less leisure time.,0.7869265585992,-0.051100444353640806
People should have more leisure time to spend in relaxation,-0.4483640739064591,0.49114163894524043
People who fail at a job have usually not tried hard enough,0.7438228026349426,-0.05069524675484657
The credit card is a ticket to careless spending,0.23878152248328569,0.15897544261273747
The most difficult college courses usually turn out to be the most rewarding,-0.1933986049777202,0.5722203385221972
The person who can approach an unpleasant task with enthusiasm is the person who gets ahead,-0.056517104274097604,0.5238191110754233
The self-made man is likely to be more ethical than the man born to wealth,0.8209202250112537,0.1517670309790671
There are few satisfactions equal to the realization that one has done his [her] best at a job,0.04550506914159795,0.5441170731081264
