,PC1,PC2
I always declare everything at customs.,0.21058086607977433,0.3225746209679783
I always know why I like things.,-0.023916487225739358,0.09284236783920433
"I always obey laws, even if I’m unlikely to get caught.",0.12376691994846603,-0.06690812225481745
I am a completely rational person.,0.01041894734892835,0.09798181954936178
I am fully in control of my own fate.,-0.06336289230664027,0.2644920751741445
I am not a safe driver when I exceed the speed limit.,0.29454358037714634,0.07166396077274616
I am very confident of my judgments.,-0.011316345911720666,-0.07845723612721534
I don’t always know the reasons why I do the things I do.,0.15019220288345073,0.029169087390085335
I don’t care to know what other people really think of me.,0.10227020297702771,-0.17012448577568445
I don’t gossip about other people’s business.,0.2681543120008373,-0.14797662100998082
I have done things that I don’t tell other people about.,0.21729707490492461,0.1383871726189038
I have never damaged a library book or store merchandise without reporting it.,0.3852615163872738,0.04485822548193494
I have never dropped litter on the street.,0.3489050014248074,0.1512556216646015
I have not always been honest with myself.,0.06417089221130055,0.21903000392952734
I have received too much change from a salesperson without telling him or her.,0.04426319720320747,0.031699169695454145
I have said something bad about a friend behind his or her back.,0.004474014090557629,0.15697125491013542
I have some pretty awful habits.,0.07674697388266456,0.13735723818674378
I have sometimes doubted my ability as a lover.,0.1406020584286944,0.2421864846429651
I have taken sick-leave from work or school even though I wasn’t really sick.,0.009111490044239536,0.07952047834733544
I never cover up my mistakes.,0.19891176185725853,-0.05698894418007484
I never read sexy books or magazines.,0.23543928563602912,-0.18949452090145927
I never regret my decisions.,0.2354712298123664,-0.06682650958559795
I never swear.,0.26996263143960136,-0.16628404770781535
I never take things that don’t belong to me.,0.16871693239877888,-0.05258698853154228
I rarely appreciate criticism.,-0.08156256830854358,0.1428379793537496
I sometimes drive faster than the speed limit.,0.005329054091106077,0.09239186344099064
I sometimes lose out on things because I can’t make up my mind soon enough.,-0.03660148505705648,0.17541292738766565
I sometimes tell lies if I have to.,0.11055493997042229,0.12187851225814553
I sometimes try to get even rather than forgive and forget.,-0.02338092558883948,0.1691698860161612
It would be hard for me to break any of my bad habits.,0.15800086776123765,0.09991064578256348
It’s all right with me if some people happen to dislike me.,0.17638498601259311,-0.0619187968901186
It’s hard for me to shut off a disturbing thought.,-0.04200044166610044,0.23079617065311506
My first impressions of people usually turn out to be right.,0.05805544110910489,0.01576317778539311
My parents were not always fair when they punished me.,0.14580257160649857,0.06207613261907695
Once I’ve made up my mind other people can seldom change my opinion.,-0.08606048399082826,0.29938911795947576
The reason I vote is because my vote can make a difference.,-0.02383624205146568,0.165605104756438
There have been occasions when I have taken advantage of someone.,0.013966285060265659,0.11267664517881233
"When I hear people talking privately, I avoid listening.",0.16997854375291221,-0.19686312598145625
When I was young I sometimes stole things.,0.00020685053288862706,0.03804132802826827
"When my emotions are aroused, it biases my thinking.",0.050058348392249,0.34705178598051667
