,F1,F2
Compassion for those who are suffering is the most crucial virtue,0.2292408690973819,0.6601404465067591
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",-0.09856716903276432,0.7315053946551551
I am proud of my country’s history,0.6028964396269162,-0.2795074995502013
Respect for authority is something all children need to learn.,0.3105968546323274,0.29083819991092974
"People should not do things that are disgusting, even if no one is harmed.",0.6137265011640095,0.09522964369687566
It is better to do good than to do bad.,-0.0644848022159597,0.4721149037449353
One of the worst things a person could do is hurt a defenseless animal.,-0.16474566552951714,0.14298818936464994
Justice is the most important requirement for a society.,-0.04031900163917903,0.4414155893267632
"People should be loyal to their family members, even when they have done something wrong.",0.4622309901005512,-0.18468744548756647
Men and women each have different roles to play in society.,0.6348641789155609,-0.16922576828046657
I would call some acts wrong on the grounds that they are unnatural,0.45211913704805595,-0.46446698484980103
It can never be right to kill a human being,0.5606169286629331,0.22506284062947268
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,0.5408175678169775,0.13532289964996677
It is more important to be a team player than to express oneself,0.22464382952740883,0.3068506218297453
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",0.41412439544316065,0.24479850674985532
Chastity is an important and valuable virtue.,0.5183843320685645,0.2648678142920658
