,F1,F2,F3,F4
I am aware of the way my mind works when I am thinking through a problem,0.15882922732788468,0.759353811727672,0.07667336642140851,-0.08350274259736973
I am constantly aware of my thinking,0.487596836377815,0.2581183867546271,-0.0025345004016629085,-0.29154596371328756
I cannot ignore my worrying thoughts,0.6108497427630072,0.2185139535981029,-0.11933679471555528,0.04140990633691456
I constantly examine my thoughts,0.12385633458749858,0.8340329734979699,-0.07356534575763862,-0.14186486383711613
I could make myself sick with worrying,0.6644193661397425,0.16313284659637867,-0.1672254866991206,-0.07589381972062659
I do not trust my memory,-0.023751902942925215,0.19137770117317318,0.1835732280298168,0.7104238057049987
I have a poor memory,0.3973613066457291,-0.22814797120829053,0.24951807519317126,0.58911642278683
I have little confidence in my memory for actions,-0.08357164059453251,-0.10655427465955072,0.022053232380278877,0.588606297859021
I have little confidence in my memory for places,-0.023733097084753563,-0.04903940252638234,-0.2104987288300715,0.7629426131093697
I have little confidence in my memory for words and names,0.3669251247788399,-0.003376560187800719,-0.4853455108325586,0.4378433396508826
I monitor my thoughts,0.004078872847737567,0.8620930315748343,-0.11224974062611455,0.21770904941865585
I need to worry in order to remain organised,0.6730367530082771,-0.005381221389489536,0.2647821878548762,-0.14713700536247257
I need to worry in order to work well,0.493886231743644,-0.002472510994834171,-0.266680275025307,-0.003053877795572329
I pay close attention to the way my mind works,-0.07258286993392675,0.770368974068769,0.06420838206211583,-0.17957770285705127
I should be in control of my thoughts all of the time,0.17755680408381863,0.38920746810024026,0.3372294205751831,0.10464202225167135
I think a lot about my thoughts,-0.0274052465363853,0.6884232368643363,0.1377342394951782,0.15020571944062294
I will be punished for not controlling certain thoughts,0.20939869826541796,-0.06819649688646608,0.7705129991740733,-0.1613055975438926
"If I could not control my thoughts, I would not be able to function",-0.389201857233904,0.15286770553248447,0.526010747590073,-0.02772329280452204
"If I did not control a worrying thought and then it happened, it would be my fault",0.7717809138399904,0.01459559807702601,0.15969633879325543,0.032827869758772076
It is bad to think certain thoughts,0.3309183285760703,0.12803212374232448,0.43244759757037043,0.15231262542759852
My memory can mislead me at times,-0.336950440415158,0.25407968053589985,0.42596388032029336,0.45708968008671746
My worrying could make me go mad,0.40177412042420396,-0.25963896912983775,-0.12743449207778929,0.09977585434036479
My worrying is dangerous for me,0.8341198222924228,0.05903295571875556,-0.010502599507501511,0.15796899247633958
"My worrying thoughts persist, no matter how I try to stop them",0.4203920388839218,0.280159081663142,-0.20516830581552487,0.29487166056742303
Not being able to control my thoughts is a sign of weakness,0.703700547345962,-0.13483807901743058,0.23113841626186982,-0.10941408800735117
"When I start worrying, I cannot stop",0.7063308239993867,0.21935252431355465,-0.005484993877638037,0.012544543352395016
Worrying helps me cope,0.332890720987585,0.06061868839700898,0.559654339140891,0.15253361876189056
Worrying helps me to avoid problems in the future,0.10905435222334312,-0.04471989718607755,0.6838956431338127,0.29197434203642536
Worrying helps me to get things sorted out in my mind,0.5078059166677149,0.0805503475794054,0.30627516458370474,-0.013928085101531816
Worrying helps me to solve problems,0.3929546009974845,-0.16600337042458554,0.2798365362305768,0.17738973165814198
