,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
Even in an emergency I wouldn't feel like panicking.,-0.1151867981167099,0.12123594747224538,0.14210044174164585,0.24562483774186797,0.0034282292692949636,-0.027862373743345072,-0.03075555652274407,-0.17394496059534056,0.17492393257211053,-0.15494566654726286,0.03272968613726172,0.045605341424048956,-0.2737164155738,-0.03489317537419924,0.24038440911933523,-0.10329334449861374,0.1061755111211543,0.021445193842538138,-0.0397589737683578,-0.025538436641434372,0.034602644058487744,-0.07448159489913332,0.014547246258923702,0.06336286124492498,0.09344978896204237,0.12746207977756185,-0.03524439272071707,0.015626975409512318,-0.0007857951509966161,-0.13833630172907724,-0.13192608401901226,-0.10900278500508619,0.003383706942922275,0.16194688610503183,0.0010133073456957131
"Even when people make a lot of mistakes, I rarely say anything negative.",-0.12141436803146614,0.12933897611412745,-0.029546284743698168,0.010277450606050188,0.06808600857036953,-0.06689685301524496,0.12137553172424659,-0.07738289035461444,0.0008335605870517934,-0.026586562428099134,0.0006229244223715571,0.0565816045555236,0.07935708820604193,-0.13305749386091498,0.12451334479061305,-0.043910816518240435,0.1553905095137702,-0.05611954715596718,-0.02950379054733039,0.18974188497415426,0.04621217296577902,-0.09549554935548661,0.016909976228927898,-0.04630175026878836,0.018846073961407743,-0.09013402948953951,0.23162320826784777,0.041889994895235164,-0.01276857036243482,-0.04104419734219549,-0.019844605325012876,-0.007342435141894356,-0.061788257952878185,0.01061075961170209,-0.0557777773064625
Having a lot of money is not especially important to me.,-0.13980450521240634,0.16416356519335826,0.0574856561150072,0.03667379519528274,0.05129225875010868,0.013565548536252156,-0.0016186722569727528,0.0353418258176606,-0.09425500202628534,0.05365823611518717,0.281313964989277,0.061235850703251285,-0.09362510217932027,0.07753021587429626,0.010459661248510924,-0.011206198423368256,0.06488806173650546,-0.05100517703510816,-0.189841609404157,0.05689592567974643,0.0741506665811793,-0.008210406592913062,-0.03862133967645011,-0.20805760680322055,-0.02131322400432782,-0.1825324463109799,-0.09348845547120511,-0.041121397016336395,-0.01573458469729347,-0.07981718082369123,0.1775175912810847,0.08954495267118397,0.10700877062001864,-0.01578962810171859,0.05144720871384744
"I always try to be accurate in my work, even at the expense of time.",-0.04943069077840279,0.018327078696333748,-0.047925434413209844,0.03369290769754877,0.03913967363968512,0.08878868312146623,0.05686906999638797,0.013053585635040454,-0.09920279308341098,0.009249381187482995,-0.0757955421975016,-0.00014149460260330814,0.050845196001466746,-0.13581356537371275,0.03535854741152406,0.04643358436833306,0.023077323063705087,-0.03527634607676272,-0.11732182239014435,0.13046815283416288,-0.05178904842040104,0.10035468460478368,0.09166338349656752,-0.004074811983683196,0.12781897868431621,-0.08210038543964783,-0.007949937244681208,-0.1093362000483093,-0.03177544702972167,-0.09910289581816717,-0.08659510131402913,-0.020003075917121062,-0.1734205505510204,-0.07165792911591398,-0.003437575451876456
I am an ordinary person who is no better than others.,-0.002023351669482765,0.0689308815861977,-0.055470640036259344,0.09075666678995026,-0.09856142457412924,0.04565236246626972,0.03951451782804931,0.09274759158382269,0.03525161425347526,-0.24497317595637882,0.10502251940260227,0.07600324330672809,0.1468660757311732,-0.13311029321856238,0.09514802104050492,0.2030063573757162,-0.09006399066160105,0.03281173352752908,0.043269657571453186,-0.1736909291205037,-0.13200325805720675,0.09707980983692065,-0.12794279834678196,0.0064356332994494085,0.11259326949167087,0.09010762394759132,0.18879558682577122,-0.13139164669606743,-0.16042754582388669,-0.0008612739616335182,0.03310602428616616,-0.029596311453561615,0.04030989687652111,0.20186502638332288,-0.05034453332649613
I am energetic nearly all the time.,0.02127669493037673,0.21137443899728361,-0.12098899183125965,-0.07843527820209366,-0.1219850558024113,-0.16604287849399293,-0.18280405160539587,0.06642196064659421,-0.05569133597131798,-0.07632331223681407,-0.049753513375519275,-0.13742395472688218,0.0458965962323608,0.02415797496924031,0.028231604247804094,-0.11165577812827901,-0.016990073461526017,-0.021264728394367056,-0.13591723494077437,-0.015550217833674974,0.04404033480872479,-0.016279194050630413,0.16468068543580616,0.02016253651599159,-0.07507923834127028,0.2310858069974177,0.0966434397366618,0.14036977592250469,0.2644466883042636,-0.1425982440869209,-0.03389899139212908,-0.12028269422719709,-0.22596571544043967,0.13212020519506906,-0.18810118715251326
I am usually quite flexible in my opinions when people disagree with me.,-0.060811597407409775,0.07107717348369977,-0.015414228563920761,-0.007060626447876488,0.01828553092722268,0.02619934155829782,0.00013288357565839601,-0.043804226725734835,0.051994231228847984,-0.05595387602114033,0.004308336356131725,0.06492849691663044,0.16436261011974723,-0.0931317146179832,-0.012846233333379843,0.09366964362121799,-0.009345487922046931,0.007835295680579061,0.001699438464298191,-0.0012665289121332462,-0.111634102317291,-0.05508188302725253,0.1508178998841073,-0.027798064529258006,-0.11125460315941607,-0.0018805155552120872,0.15956278934999932,0.017762112697508988,0.02043093341649721,0.03241044652436867,0.11740769216811806,0.1018215244772496,-0.03258970496120721,-0.07208800616584951,-0.11158686947804745
"I avoid making ""small talk"" with people.",0.005330864013049617,0.12654202822478602,0.1762292003317691,0.11634987292861376,0.13111553438068635,-0.016203227960843992,0.07505124826504184,0.012248812389249485,0.05676686966374276,0.3071551816731092,0.14372326186949283,-0.17151016176178738,-0.15539681556962207,-0.1625825845115315,-0.15742857795660856,-0.0365318494063487,-0.09649489522862782,0.040018529150296946,0.07300710002471716,-0.02182613376299325,0.07989624059955826,-0.06697866965081678,-0.1334405088781934,-0.17651236547531346,0.0763368928330861,0.01768637161092124,-0.07049366325033064,0.22802825888161413,-0.039339645067824135,0.22019130183485996,0.1274339946747611,0.03246979599565633,-0.17955828875495444,0.20464610750698367,0.04145523676198457
I can handle difficult situations without needing emotional support from anyone else.,-0.07413854351606952,0.11006570420108994,0.13720159092854267,-0.16291049820890272,0.08253405893894429,0.03706458953021026,-0.15803081459905224,0.06873202277140388,0.1423812317009788,0.08802115136775489,0.031065977030196156,-0.051395233228204176,0.07515533218631275,-0.15142055169006333,-0.11344994700321054,0.05289076835105881,-0.0203761451869386,0.049535783864753255,0.043088576417439316,0.08965062632944877,0.13391177663504267,0.10544696530820521,0.24118660626083116,0.020574651356210144,-0.011753225494977074,-0.13074292553436712,0.03870430352861883,0.045502391237943675,-0.009041718632717608,-0.12997963813353597,-0.1248955425098877,-0.06138716439347995,0.10290113707314541,0.17191463891764977,-0.11874673480207029
I clean my office or home quite frequently.,0.10826196657183791,0.05770757734522885,-0.1969054662840831,0.045049329275132347,0.10366541884304667,-0.20858983257163563,0.037074964280968147,-0.07189987291000247,0.05240843171881929,0.13423288403620623,-0.003756434282400703,-0.2059351496049,0.0838356232362727,0.3047634176083987,-0.1757717630264542,0.07590091507990818,0.029300347209394645,0.05679723148744928,-0.21420399196303677,0.036854472273302595,0.045639392633811025,0.13522824456255425,-0.03911442636275033,-0.019290820896334576,-0.08178524004977898,0.054341535373438415,0.034198980980043286,-0.0098460670119438,-0.13570948942127897,-0.17367210220208265,-0.054026494909731715,-0.11320893528759712,0.020754304906030356,-0.025610074756147683,0.07964730256153965
I do only the minimum amount of work needed to get by.,0.07607618984422124,0.030263699037260648,0.09107041023631966,-0.15102984385832022,0.12873777648508006,-0.024486035786548004,0.06528346156564595,-0.139954712302572,-0.016917063528987048,-0.07489050805410379,-0.04748976769604148,0.017289268011045147,0.07123712270877301,-0.257750534111617,0.08310545086082026,0.09956929909607094,-0.12033711894033992,0.09346805690850729,-0.06720787254341365,0.0776684245824002,0.10772803406251584,0.10547303013217199,0.11564839738576377,-0.08476819883777967,-0.025081175768234303,-0.07328359134895399,0.022807220516708873,0.06918284038193472,-0.09384832265253157,-0.12103851201555714,0.2158326003681207,-0.05641771144214547,0.06086260938361558,-0.005164312961397611,0.15953614408860947
I don't think of myself as the artistic or creative type.,0.058693073117292945,0.007491145628721465,0.08668579704309105,0.0864206408329987,0.0564298712262313,0.08382912790429824,0.08022610988055862,-0.00963231179554235,-0.008293164859429526,-0.1271251830256456,0.07112758785746816,-0.08978558167952905,0.1541170617570838,0.010184086861501114,0.03492983401806578,0.0823554321105574,0.03533154036101376,-0.0717868379904475,0.1487351785394718,-0.06021642979575357,0.03175391928121938,-0.08196667858338438,0.09841909738114835,-0.017079899936368527,-0.025170415752547196,0.2272388179689174,-0.04884330987201631,0.21215249714735998,-0.015870103435412924,0.0225847616287479,-0.00827934395901026,0.09146927790898525,-0.0654293897731969,-0.06659414240440648,-0.027625046983801662
I don’t allow my impulses to govern my behavior.,-0.023464661517141373,0.1380038818912729,0.15348433506689874,0.08415143175632937,-0.10982834095797119,-0.002314041899336721,0.06792847716727225,-0.018964460021452564,0.0769877238687864,-0.15585901769011237,-0.057527681717074015,-0.018812257173801406,-0.05582855141370007,0.12480572298697841,0.02756277841450536,0.060426317953478706,0.02089555803095804,-0.09964945370059787,-0.0028695696859260367,-0.04071816032629025,-0.009285214759740314,0.08684271449281825,0.0914550768745787,0.019163878761417844,0.06960505749588734,-0.15713767597200248,-0.07020535655356239,0.01714688998714817,0.13247100252204397,0.10489903345229284,0.1626270987410835,-0.0355765554988883,0.1530618950290138,0.07497151667916599,-0.17463162067591023
I don’t mind doing jobs that involve dangerous work.,-0.07150636398200562,0.17588281195803662,0.03849868537966323,0.1180542391797429,0.19721136192090022,-0.06636526620545842,-0.07709654722259238,0.014516018216274669,-0.22038992213098704,-0.08895618997977633,-0.24057396050199784,-0.026593943015340852,-0.18336482062501844,-0.026850204664613953,0.06439717496151222,0.010041885331611395,-0.10506833011748005,-0.07472710203475337,-0.18817292638564817,0.3342853977381135,-0.13451491773847463,-0.05490651857426643,0.18112170921421186,-0.08332155235939896,-0.0040883620110687925,0.1378582061280517,-0.0775874608955525,-0.15212991171467224,-0.11731956273734209,0.0881016189516741,0.08397081505904004,0.07825167082613473,0.04804192539930774,-0.012812655450758569,-0.023824229165074148
I enjoy having lots of people around to talk with.,-0.009841240250199793,0.1242760984188264,-0.1034062199684923,0.05305933698383274,-0.07199762986119072,-0.1852612279111767,-0.022236499824149266,-0.04441623869585511,-0.04762280873584638,-0.04943969623956589,-0.005479900638984054,0.08392608483402358,-0.03555797887865223,0.015673477836521958,-0.03391919763768259,0.02355764267264661,-0.07961075638778241,-0.18159377610813268,0.07721768345353974,-0.00680400326843796,-0.03616950047448239,0.015951178506228753,-0.01706713655566627,-0.0081122071223358,0.005109193676880576,0.09614204990219792,0.09710158426961914,-0.017992454306400205,0.07561837141277963,0.010221960842529612,0.05409000373538664,-0.07304255526660981,-0.0008645957630962139,-0.048885498619594556,0.33981339989679343
I enjoy looking at maps of different places.,0.04645465198576206,0.06239897874077049,-0.1744209487456818,0.009578102073699322,0.05746923471788054,0.04688196510021654,0.05839486574807006,0.056566688601940016,0.27116276476240625,0.12191003576325303,-0.23510555095868216,0.002152742351772299,0.08402704324722739,0.017118706303289564,0.011508347698657544,-0.035753191581916206,0.053503636337357253,-0.10558901546474724,0.15564407975766412,0.10713653381521594,0.07401299531254339,0.013481755967068982,0.07199262446371477,-0.06496714981942962,0.01576388562457609,0.03834832070954009,-0.07518520846579765,0.030025157356053895,-0.16615595436657485,-0.05103238859220114,0.10652162100626338,0.05850226107226198,-0.13955784509920957,-0.019949916089549144,0.11508289873889194
