,F1,F2,F3
	I calm myself down by talking silently to myself,0.4724640530381163,0.1111375531483838,-0.5528795456496616
"I evaluate my behavior using my inner speech. For example I say to myself, “that was good” or “that was stupid”",0.10626144869716951,0.43842673349525835,0.6039824601389879
I experience the voices of other people asking me questions in my head.,-0.18696307009712962,0.60654086805788,-0.2741786650855086
"I hear other people's actual voices in my head, saying things that they actually once said to me.",-0.13780221856916453,0.48795813633279345,0.2777362930400602
"I hear other people's actual voices in my head, saying things that they have never said to me before.",-0.7004564978530112,0.37255807803149255,-0.10573505162765487
I hear other people's voices nagging me in my head.,-0.21942144099157554,0.5777417770693107,-0.32185639300072716
"I hear the voice of another person in my head. For example, when I have done something foolish I hear my mother's voice criticising me in my mind.",-0.011680509124829295,0.7539466846485552,0.1104424565482507
I talk back and forward to myself in my mind about things.,0.2228861114249352,0.1584605505452857,0.5986404653477836
I talk silently to myself telling myself not to do things.,0.33884857744355057,0.08057235666937791,0.3295018452444343
I talk silently to myself telling myself to do things.,0.7822677610583069,0.15587310353829623,0.027788973167962916
I talk to myself silently in an encouraging way.,0.5627595182886644,0.23836791837662596,0.12787501872613655
"I think in inner speech about what I have done, and whether it was right or not.",0.4155985476873544,0.10780828903614087,0.3400375148204838
I think to myself in words using brief phrases and single words rather than full sentences.,0.19488998800220414,0.1288340547430598,0.3437119081970501
I think to myself in words using full sentences.,0.43727808227707665,0.19715358845480518,0.26925295908352725
"If I were to write down my thoughts on paper, they would read like a normal grammatical sentence.",0.6885602874266062,-0.253687315995493,-0.23923306703770178
In my head I talk to myself a critical way.,-0.045010121852495664,0.5221048332179055,0.3009372192460445
My inner speech contributes to me feeling down and depressed,0.016228867338781,0.6271461836146247,0.019130547907378656
"My thinking in words is like a speech or a monologue, rather than a conversation",-0.10600916748719981,0.2501074843935647,0.4732831347387362
"My thinking in words is more like a dialog with myself, rather than my own thoughts in a monolog.",-0.26577755506127027,0.3373365873081875,0.3557761993015373
"My thinking in words is shortened compared to my normal out-loud speech. For example, rather than saying to myself things like ‘I need to go to the shops’, I will just say ‘shops’ to myself in my head.",0.4260334889315004,-0.005269517557376816,0.576835521010704
"My thinking to myself in words is like shorthand notes, rather than full, proper, grammatical English.",-0.0562681068381425,-0.18188436091228957,0.7665505776076406
What I say in my inner speech makes me feel anxious,0.2976147269416446,0.6628154553832969,-0.029334197770709287
"When I am talking to myself about things in my mind, it is like I am going back and forward asking myself questions and then answering them.",-0.3057837868593655,0.2741298940167652,0.3584097335638607
"When I am talking to myself about things in my mind, it is like I am having a conversation with myself.",0.49701806319139186,-0.17009905930797298,0.18446670924474387
"When I think to myself in words about upsetting things, I can easily change topics in my mind and talk to myself about other things",0.44117498615261624,0.13557074703199537,-0.4170451737840775
"When angry, my inner speech can help calm me down.",0.29542951624525066,0.1661923480685767,0.04772254092151238
