,F1
"Although I am religious, I don’t let it affect my daily life. ",0.4959351458537693
"Although I believe in my religion, many other things are more important. ",0.6153457111050215
I enjoy reading about my religion. ,0.6845920386368565
I go to church because it helps me to make friends. ,0.7338972073183472
I go to church mainly because I like seeing people I know there. ,0.7618959511366732
I go to church mostly to spend time with my friends. ,0.5684049881619434
I have often had a strong sense of God’s presence. ,0.6009192433025268
I pray mainly to gain relief and protection. ,0.4815567085808536
I try hard to live all my life according to my religious beliefs. ,0.49448458576060494
It doesn’t much matter what I believe so long as I am good. ,0.004928619719202079
It is important to me to spend time in private thought and prayer. ,0.5472954149073328
My whole approach to life is based on my religion. ,0.7771887818993808
Prayer is peace and happiness. ,0.3197227125890899
What religion offers me most is comfort in times of trouble and sorrow. ,0.6654835375806912
