,F1
All groups should be given an equal chance in life.,0.8119928848545912
Group equality should be our ideal.,0.5568176383216372
If certain groups stayed in their place‚ we would have fewer problems.,-0.8029329402612907
In getting what you want‚ it is sometimes necessary to use force against other groups.,-0.6991086318932561
Increased social equality.,0.6177025149040689
Inferior groups should stay in their place.,-0.5963766672415152
It would be good if groups could be equal.,0.8221448803785785
It’s OK if some groups have more of a chance in life than others.,-0.7963185511564116
It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,-0.8039336704549725
No one group should dominate in society,0.46684033252445545
Some groups of people are simply inferior to other groups.,-0.7030152233269374
Sometimes other groups must be kept in their place.,-0.8511172561128815
To get ahead in life‚ it is sometimes necessary to step on other groups.,-0.75971088488039
We should do what we can to equalize conditions for different groups.,0.5425867318338232
We should strive to make incomes as equal as possible.,0.034042431350303985
We would have fewer problems if we treated people more equally.,0.6582147558889212
