,F1,F2
A good woman should be set on a pedestal by her man.,0.26476017849451305,0.48225779900717347
Every man ought to have a woman whom he adores.,0.49201640162813776,0.07148062332723007
Feminists are making entirely reasonable demands of men.,-0.12131569433354752,0.40947316522305593
Feminists are not seeking for women to have more power than men.,-0.2900400010215806,0.12578194593111428
"In a disaster, women ought not necessarily to be rescued before men.",0.16481562090937726,-0.2811635820419041
"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality"".",0.7648605193022151,0.01359654446863987
Many women have a quality of purity that few men possess.,0.12029617938648957,0.6079132974282273
Men are complete without women.,0.5532817512433534,-0.3448800207629108
Men should be willing to sacrifice their own well being in order to provide financially for the women in their lives.,0.6678271721714907,0.04970130045668257
Most women fail to appreciate fully all that men do for them.,0.47206566564487606,0.3148627602748579
Most women interpret innocent remarks or acts as being sexist.,-0.2902188162818845,0.6673150250934905
"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",0.04269549922711959,0.47840795637334677
"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",0.7317872087423888,0.011010199827134769
People are often truly happy in life without being romantically involved with a member of the other sex.,0.01717572062074935,-0.36655472453734167
There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,0.5663478708417641,-0.16681677823373758
"When women lose to men in a fair competition, they typically complain about being discriminated against.",0.6800486811580946,0.12431274575411382
Women are too easily offended.,0.08495250066626835,0.7347829608221252
Women exaggerate problems they have at work.,0.46080187260153127,0.26583448914427216
Women seek to gain power by getting control over men.,0.09806351473687952,0.6299294921802062
Women should be cherished and protected by men.,0.2139749192074074,-0.08820435224208868
"Women, as compared to men, tend to have a more refined sense of culture and good taste.",0.4093613573145174,0.36770677555723436
"Women, compared to men, tend to have a superior moral sensibility.",0.0735532526488474,0.6228057416694615
