,F1,F2,F3
I am preoccupied with what I think and feel about what I have experienced.,0.07765752941023313,0.48305538466809517,0.3304976014637411
I continually think how horrible the situation has been.,0.07198120740239089,0.15218689074037145,0.7760082994987831
I dwell upon the feelings the situation has evoked in me.,0.3081765895642353,0.6853791630460024,0.03594058584352628
I feel that I am the one to blame for it.,-0.019950926765173262,-0.08249898129607011,0.6393912567633667
I feel that I am the one who is responsible for what has happened.,0.36752082403943814,0.42209106429986126,0.15955240068879203
I feel that basically the cause lies with others.,0.10851623929678401,0.724366181087638,-0.0246490608512088
I feel that others are responsible for what has happened.,-0.007361281955032359,0.3583695155145788,0.2208813099527452
I feel that others are to blame for it.,0.07233408031434173,0.5559503687797958,0.08595575432511797
I keep thinking about how terrible it is what I have experienced.,0.10453920328899854,0.4367472488925357,0.4111967982471661
I look for the positive sides to the matter.,0.5769096205412856,-0.06970006498338129,0.02095067155690164
I often think about how I feel about what I have experienced.,0.525805176303595,0.1255621106812009,0.10290551605739075
I often think that what I have experienced is much worse than what others have experienced.,-0.24063962806348665,0.531476281887336,0.11663484345806953
I often think that what I have experienced is the worst that can happen to a person.,-0.07058492143183052,0.283290126751374,0.30874355302882805
I tell myself that there are worse things in life.,0.6447964343035769,-0.15128259639857053,-0.1535564261305476
I think I must learn to live with it.,0.47446000642977315,0.39695932003595663,-0.2702179910840177
I think about a plan of what I can do best.,0.29669760710161935,-0.6311508834718004,0.2582892848302433
I think about how I can best cope with the situation.,0.40246778422844665,-0.3002500509274795,-0.08626385354627614
I think about how to change the situation.,0.15530894861234845,0.2989452744266762,-0.4074089491086078
I think about pleasant experiences.,0.4145984648139953,0.01082647769596417,0.13970223568039442
I think about the mistakes I have made in this matter.,0.49963840648966934,0.21884911015131941,0.09388085828865264
I think about the mistakes others have made in this matter.,-0.18645267480275296,0.5484157928207077,-0.0661712113561271
I think about what I can do best.,0.4379118238055859,0.03165776499158854,-0.00013517848031078996
I think of nicer things than what I have experienced.,-0.00948825106726583,0.32446533981736414,0.5317303821063594
I think of pleasant things that have nothing to do with it.,0.6253770490194582,0.1868643545906193,-0.05793460644127592
I think of something nice instead of what has happened.,0.4839543458825435,0.0036846319375901057,0.2650584293852971
I think that I can become a stronger person as a result of what has happened.,0.5227304915640729,0.2138637255247611,-0.0636715198008221
I think that I cannot change anything about it.,0.03822481063109934,-0.32458564216857366,0.6023865576001524
I think that I have to accept that this has happened.,0.34589193725975265,0.025385891764486048,-0.33386536750832957
I think that I have to accept the situation.,0.35466274163538913,0.301107606599148,-0.37614724002229405
I think that basically the cause lies within myself.,0.018650832016667517,0.4204265305711672,-0.009044500234089207
I think that it could have all been much worse.,0.5356903713366078,-0.24186443791329632,0.22471549803731738
I think that it hasn’t been too bad compared to other things.,0.49600635468676696,0.03946120263492524,0.3045317081848208
I think that other people go through much worse experiences.,0.3226809619284866,0.05663607352307379,0.21373669035994844
I think that the situation also has its positive sides.,0.44791122003808087,0.1288145467113294,0.25445749331229267
I want to understand why I feel the way I do about what I have experienced.,0.569993802133502,0.18143079307648122,-0.40826811424382026
think I can learn something from the situation.,0.8150672758480895,-0.0961997251623179,0.03437020301442437
