,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Barely noticeable visual details rarely catch my attention.,0.10090787030048949,0.10809100195591972,-0.02172020325771079,0.4446651429441445,-0.006676300965342605,-0.04986389045169769,0.1660602280060422,-0.10732949371491186,0.028070591666763414,-0.021206274561767435,-0.034713540960929504,0.01625680974920901,0.3381041253367947,-0.1906985118159946,0.11926351051154074,-0.12837603968435365,0.036600561420135194,0.18540334874749562,-0.05020582688613127,0.3060859370904596,-0.08475748774206167,-0.15828740563039004,-0.09924546210125454
Colorful flashing lights bother me.,0.13871577987621814,0.028921769157041435,-0.19721479434067485,-0.021110630826496335,-0.15617722099685274,-0.048557797725901235,0.0024888499173538795,0.03900179178933566,-0.15512868309822617,-0.08679348031173632,0.18813032482394543,0.1617093380889265,0.1471010029071218,0.17227418502170522,-0.2355327149530857,-0.08976243245725683,-0.1545136526858805,0.0749222172552505,0.03862750325216973,0.10513097591292445,-0.02546303519441907,-0.14422718002695223,0.050633726745874665
Creative ideas sometimes present themselves to me without effort.,0.1111614918536,-0.07191455614126917,0.11723739002122106,-0.13568519943883506,0.07976275055326568,-0.02363749291275403,-0.043209795155586664,-0.09109632173925737,-0.00017439673260664755,0.09133065164287649,0.01833861166622321,0.02970883422684243,0.009986565861254293,0.1150728351953018,-0.02724685797406579,-0.008294358301531428,0.1905517291019143,0.08515960813294096,0.010175722998440785,0.09362790924853717,0.005771916111195667,-0.19674093280427216,0.1797920558406562
"Even when I feel energized, I can usually sit still without much trouble if it's necessary.",0.1239472912652355,-0.05656541728159738,0.009736086034885896,0.0944853111611931,-0.04214222283321649,-0.06750574683582596,-0.08921066926977722,-0.04773027631517459,0.012369987190439484,0.1721062775171086,-0.06966450515744048,0.06058364007153004,-0.009598415923704428,-0.03295084106961885,-0.04082972701754952,0.05278603545500899,0.06231638610808587,0.007474032821943577,-0.025362441392609104,-0.13091149032979602,-0.06997530245012173,0.18008640992669914,-0.08664735721484178
I am often aware how the color and lighting of a room affects my mood.,0.1265426077548201,-0.0017257174953014692,0.07305530975398199,0.0896288204312744,0.0007358684112281872,0.0048820977346419915,-0.07567011840875214,-0.054617545532680375,-0.11008648990308198,-0.044973106256671586,-0.05731567134778458,0.15754715046841675,0.009201361124120972,0.10965588819278925,-0.027556116219247365,0.10614930602366444,-0.005653845696156564,0.08494624846580957,0.02139340836672418,0.05694691832359789,0.07351461672532132,0.12562715028774463,0.0545094890152273
I am often aware of how the weather affects my mood.,0.12019618046879368,-0.02518484695196292,0.08756884066096031,-0.0014778087450506613,-0.09914556626914468,-0.032394792577358694,-0.08635060335046939,-0.008104528582664802,-0.11164227883153652,0.0714584403865259,-0.10479068374948766,0.11484917488648315,-0.06123069938523531,0.0837875323865901,0.04349851672975337,-0.03969726213133247,-0.13448031580496764,-0.02385018144949435,0.09282373907056007,0.07279504722926046,0.027428999919790517,-0.03643845638837558,-0.02654465841088163
I am often aware of the sounds of birds in my vicinity.,0.12509390410844332,0.07772134064703412,0.03855772634438677,-0.05977707364819232,0.16551086121952785,0.0058148653848014535,0.023273037836471368,-0.028123146783936716,-0.14136365379088048,-0.16887011393640763,0.05030622463708478,-0.16144721852503066,-0.032045583716306475,-0.02283460517031478,-0.07317779110546394,0.0738678598762954,-0.04869442363189688,0.06432987747043285,0.0052198047620925295,-0.15984888005816006,0.03377263567213235,-0.08446700187529123,-0.11302589783037069
I am often bothered by light that is too bright.,0.13841414141653982,0.06668932563410368,0.039733731524664334,0.07270580897326125,-0.17190597390127962,-0.09273000027507833,0.05425737411890815,0.06953576907275998,-0.08424332341028896,-0.12485130331251766,-0.02869938832014924,-0.029974177452752503,-0.049433635695032084,-0.05261300726731082,-0.186354152282024,-0.07464807612683509,0.08900034189291813,-0.14156779086142104,-0.2680037065557617,0.0034647428428807307,-0.04023926913313826,0.39468078298922943,0.08871572844064227
I am often late for appointments.,-0.015185329222533626,0.11206190685563037,-0.03513163140327718,-0.11054297685639115,-0.0803888324489186,0.01444649364538408,0.11865316024455777,0.13376764307469943,0.10019067157845317,0.12648326502412102,0.10461305470491074,-0.1270854643064115,0.06283367547657122,0.1533079885827911,-0.08937502925195424,0.024407273914413514,-0.0475062613598032,0.01642829948955892,0.395060381638764,-0.04376738513920648,-0.03137634249975922,0.027277283275059815,-0.09885253726238173
I am rarely aware of textures of things I hold.,0.0319320225513723,0.18907389179888742,-0.06878917896248797,0.16575245086624324,-0.009144960258896662,0.2879453569948651,0.1506033575952699,0.3538141439630407,0.04487353015573191,0.32664875153414,-0.19631006628374434,0.13266978344582434,0.1193207785600251,0.06980108913685391,-0.18582981197694032,-0.004933506417296547,0.05338041279560335,-0.01774212202645406,-0.09783382309895623,-0.2339350282880562,0.10894595730727892,-0.12634184843709506,-0.007736170232685727
I am usually a patient person.,0.0658787540354313,-0.060335640275759626,0.12525813391034454,-0.11065843889514505,0.04676106655559868,0.00012544290266515518,0.13370881110744484,-0.07675099256358794,-0.04233990516840855,0.009688476809427944,-0.004074765624110215,0.01143083931562052,0.08957969273101106,-0.0627781139199516,-0.024529699795886324,-0.04093118838596107,0.020119885033252762,-0.00870301791425657,-0.13501889757249746,-0.17445510940196188,-0.08850740761069907,-0.10738205381241755,0.03137982483464408
I become easily frightened.,0.0269368620702714,0.17521958081440772,-0.25676203018002525,-0.1496034072829234,0.08504193209873674,0.06144594893079921,0.09239365484289332,-0.01563396771027853,-0.012540688734337791,0.06013948942776728,-0.057219164625089636,-0.1483784484647631,-0.10595744554193183,-0.1516693391322319,0.0847008871287956,-0.15682067513265022,-0.20532817283192198,-0.12678333796891544,0.07148803409743282,-0.03228136857273499,-0.011075305667030867,0.07547851331691836,0.06584704343126382
