,F1,F2
"All in all, I am inclined to feel that I am a failure",-0.19316771199458563,0.6430557684762689
"At times, I think I am no good at all",0.08797778299370611,0.6427027902414899
I am able to do things as well as most other people,0.7735541153420283,-0.041502045437555556
I certainly feel useless at times,0.12070474564898603,0.6332517278407723
I feel I do not have much to be proud of,-0.08103134720606862,0.3802929333566388
I feel that I have a number of good qualities,0.7552515176994823,-0.053342058204894134
"I feel that I'm a person of worth, at least on an equal plane with others",0.5214411360118876,0.061633930416813
I take a positive attitude toward myself,0.5586823793756626,0.19302740409483116
I wish I could have more respect for mysel,0.0926039213926127,0.3365002391384272
"On the whole, I am satisfied with myself.",0.5643801499245636,0.047518967390955694
