,PC1
"I admit to myself that I can't deal with it, and quit trying.",-0.22360679774997871
I ask people who have had similar experiences what they did.,0.22360679774997894
I concentrate my efforts on doing something about it.,-0.22360679774997894
I daydream about things other than this.,-0.22360679774997894
"I do what has to be done, one step at a time.",-0.22360679774997894
"I drink alcohol or take drugs, in order to think about it less.",-0.22360679774997894
I feel a lot of emotional distress and I find myself expressing those feelings a lot.,-0.22360679774997894
I get upset and let my emotions out.,-0.22360679774997894
"I go to movies or watch TV, to think about it less.",-0.22360679774997894
I hold off doing anything about it until the situation permits.,-0.22360679774997894
I put my trust in God.,-0.22360679774997894
"I say to myself ""this isn't real.""",0.22360679774997894
I seek God's help.,-0.22360679774997894
I take additional action to try to get rid of the problem.,-0.22360679774997894
I think about how I might best handle the problem.,-0.22360679774997894
I think hard about what steps to take.,-0.22360679774997894
I try hard to prevent other things from interfering with my efforts at dealing with this.,-0.22360679774997894
I try to come up with a strategy about what to do.,-0.22360679774997894
I use alcohol or drugs to help me get through it.,-0.22360679774997894
I use alcohol or drugs to make myself feel better.,-0.22360679774997894
