,F1,F2
"Although I am religious, I don’t let it affect my daily life. ",-0.08992020869204725,0.8246236314800719
"Although I believe in my religion, many other things are more important. ",0.4812769505479573,-0.26144059865986813
I enjoy reading about my religion. ,0.15281275901974603,0.30002271346623177
I go to church because it helps me to make friends. ,0.457159074651522,0.1715190095998148
I go to church mainly because I like seeing people I know there. ,0.3950885952232967,0.3663990967244249
I go to church mostly to spend time with my friends. ,0.0163590702217653,0.7876784952701812
I have often had a strong sense of God’s presence. ,0.46647748868507005,-0.02426376237320161
I pray mainly to gain relief and protection. ,0.34989919712666173,0.07173916899168446
I try hard to live all my life according to my religious beliefs. ,0.7099288953944513,0.32359872779147025
It doesn’t much matter what I believe so long as I am good. ,0.253212955428237,-0.23729692407295783
It is important to me to spend time in private thought and prayer. ,0.7286203826907883,-0.0916191370926969
My whole approach to life is based on my religion. ,0.17810809760347146,0.5462392111161283
Prayer is peace and happiness. ,0.6676399572427242,-0.22500090519347168
What religion offers me most is comfort in times of trouble and sorrow. ,0.5327157107701104,-0.04702634634905192
