,PC1,PC2,PC3
"Even after I've made up my mind about something, I am always eager to consider a different opinion.",-0.08210884673890184,-0.1325222633661523,-0.0030938870864450196
"Even if I get a lot of time to make a decision, I still feel compelled to decide quickly.",0.14847575590030482,-0.06073743728466235,0.20192459123237264
"I almost always feel hurried to reach a decision, even when there is no reason to do so.",0.2917601844256951,0.15454504942254554,0.2001396887641055
I always see many possible solutions to problems I face.,-0.03631192799686239,-0.23081560373305926,-0.04601565137286012
I believe that orderliness and organization are among the most important characteristics of a good student.,0.04627844455056332,-0.05760612631016006,0.12095326752767421
I dislike it when a person's statement could mean many different things.,0.08510822579086434,-0.2253542499639566,-0.06153848882131366
I dislike questions which could be answered in many different ways.,0.20154624326521625,-0.004177784279194603,-0.2365140911407849
I dislike the routine aspects of my work (studies).,0.21393212563416625,-0.02953742197614781,-0.19610754698328547
I dislike unpredictable situations.,0.03284831373571273,-0.29673249196361656,0.04883464657283125
I do not usually consult many different opinions before forming my own view.,0.3309279740968642,-0.1213777096969976,-0.18399828105906751
I don't like situations that are uncertain.,0.17793291701376304,-0.16258402787902926,-0.23913601061603562
I don't like to be with people who are capable of unexpected actions.,0.10273166702358869,-0.1360074972685958,0.10821059783760541
I don't like to go into a situation without knowing what I can expect from it.,0.029360996142720884,-0.2430315858217725,-0.038559330207614685
I enjoy having a clear and structured mode of life.,-0.03476020959912257,-0.11765359200698469,-0.01090052935286407
I enjoy the uncertainty of going into a new situation without knowing what might happen.,0.10682680842603665,-0.1330328608287073,0.1588395402299294
I feel irritated when one person disagrees with what everyone else in a group believes.,0.213661995185685,0.07557953055982967,-0.002735734048743584
I feel uncomfortable when I don't understand the reason why an event occurred in my life.,0.13445300013683179,-0.15456850498729832,0.1290184505086319
I feel uncomfortable when someone's meaning or intention is unclear to me.,0.05804987090583564,-0.23215064383283088,0.02695531918077695
I find that a well ordered life with regular hours suits my temperament.,0.033274372436810785,-0.20996019339558733,0.07649761267906219
I find that establishing a consistent routine enables me to enjoy life more.,-0.02478541773522845,-0.08188850940682103,0.012847337761704923
I hate to change my plans at the last minute.,0.30479419657073475,0.054119657447006225,-0.1356814863684979
I like to have a place for everything and everything in its place.,0.0017760922236208247,-0.1261096688291585,0.03926885479587593
I like to have friends who are unpredictable.,0.1297052610205928,0.3035978597203316,0.1276550095451847
I like to know what people are thinking all the time.,0.033199368703399845,-0.05506741373781912,0.3459417322192324
I prefer interacting with people whose opinions are very different from my own.,-0.13735715837718904,-0.018707167336495304,0.15336995649884444
I prefer to socialize with familiar friends because I know what to expect from them.,0.0713191728381483,-0.20849667613901363,0.059622731347767174
I think it is fun to change my plans at the last moment.,0.15363410869012195,0.10587829892634569,0.04785619218494435
I think that I would learn best in a class that lacks clearly stated objectives and requirements.,0.03286644911727514,0.20793861571828917,0.0740989259888265
I think that having clear rules and order at work is essential for success.,0.03305425513125177,-0.13931441619947574,0.048501263750814434
I would quickly become impatient and irritated if I would not find a solution to a problem immediately.,0.31047089913222875,0.1358855925487522,0.14641384418406714
I would rather make a decision quickly than sleep over it.,0.1156729636030023,-0.1408597260385319,0.37370265340059633
I'd rather know bad news than stay in a state of uncertainty.,0.0008751226964199447,-0.014649387898550652,0.058893546840099155
"In most social conflicts, I can easily see which side is right and which is wrong.",0.22852192472084285,0.1330474238445697,0.07238206695254801
It's annoying to listen to someone who cannot seem to make up his or her line.,0.06895397705982954,-0.286316674224592,-0.0058222017395306615
My personal space is usually messy and disorganized.,0.26104751236279583,0.19452539996230142,0.15010972203541725
"When I am confronted with a problem, I'm dying to reach a solution very quickly.",0.11804913238260863,-0.1609800073925162,0.29613491181238377
"When I am confused about an important issue, I feel very upset.",0.30421874312509234,-0.12954677166173095,-0.2887029306330638
"When I have made a decision, I feel relieved.",0.1887450478460527,0.044265365127885155,-0.19102716021150237
"When considering most conflict situations, I can usually see how both sides could be right.",-0.03875833279329475,-0.08432939258322553,0.04269780932735048
"When dining out, I like to go to places where I have been before so that I know what to expect.",0.05319968678675921,-0.07533232234215569,0.22562016762909595
"When thinking about a problem, I consider as many different opinions on the issue as possible.",-0.10951286841179486,-0.09377149152312139,-0.055667213111185755
