,F1,F2
I couldn’t seem to experience any positive feeling at all,0.3108055221984044,-0.0538878790975554
"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)",0.32183294304418775,0.18894957149915925
I experienced trembling (e.g. in the hands),0.8374846955918351,-0.277346441926627
I felt I was close to panic,0.5927334732747932,0.19953581645360347
I felt I wasn’t worth much as a person,0.6398078996910093,0.08445234080037593
I felt down-hearted and blue,0.20220319579348267,0.5345437426813201
I felt scared without any good reason,0.523226470875792,0.5472131135070655
I felt that I had nothing to look forward to,0.6329680129054921,0.07514865134648069
I felt that I was rather touchy,0.45347274786527264,0.5349844080606962
I felt that I was using a lot of nervous energy,-0.1243992635496716,0.8734401268571148
I felt that life was meaningless,0.5900518812563871,0.15341526090568502
I found it difficult to relax,0.055131050697181924,0.38601372128289096
I found it difficult to work up the initiative to do things,0.570836564293326,0.053279385800464374
I found it hard to wind down,0.4098016022287633,0.177421133559972
I found myself getting agitated,-0.036213147287690366,0.7179132187757408
I tended to over-react to situations,0.16326798624240857,0.5036042068577559
I was aware of dryness of my mouth,0.7172448766343232,0.06642794880333455
"I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)",0.9224294532407179,-0.06368479331710744
I was intolerant of anything that kept me from getting on with what I was doing,0.09177811907586166,0.5963137440712555
I was unable to become enthusiastic about anything,0.19623991119799453,-0.012014143482646013
I was worried about situations in which I might panic and make a fool of myself,-0.08455717569256208,0.7891243468562416
