,F1,F2
I sometimes guide my actions using speech when I use unfamiliar equipment,0.42862802177842946,0.5372567789132171
I sometimes guide myself using speech when I'm driving an unfamiliar car,0.9423315890538498,-0.13320784469267596
I sometimes guide myself using speech when I'm searching through a newspaper,0.8648729886418024,-0.25764530868798396
I sometimes plan my actions out loud when I'm getting organized,0.17176954136929365,0.2411652607747264
I sometimes think out loud to myself when I need to remember a phone number,0.4000485379900274,0.4430427004540505
I sometimes think out loud to myself when I'm doing mental arithmetic,0.37548989888938317,0.4554623876545284
I sometimes think out loud to myself when I'm looking for a number in the phone book,0.8500164321659954,-0.12085513291581304
I sometimes think out loud to myself when I'm proofreading something I've written,0.5539375571176712,0.3212450722538866
I sometimes think out loud to myself when I'm searching for something I've misplaced,0.1978122733585155,0.6461833382624697
I sometimes think out loud to myself when I'm trying to clean up a mess in a big hurry,0.7172957591722492,0.14445352973262127
I sometimes think out loud to myself when I'm trying to organize pages of notes,0.14140696217055995,0.6803339042898492
I sometimes think out loud to myself when I'm trying to remember what to buy,-0.0012650163560771397,0.6776510566972311
I sometimes think out loud to myself when I'm trying to solve a puzzle,-0.22776222114607367,0.985361661181923
I sometimes think out loud to myself when I'm trying to write with a lot of distraction,0.7867398991001745,0.17100295381544295
I sometimes think out loud to myself when I'm working on a crossword puzzle,0.8000479498516946,0.11973852956688488
I sometimes verbalize my thoughts when I discover that I've locked my keys inside,0.3457924179414049,0.3856390803978015
I sometimes verbalize my thoughts when I'm deciding whether I've done a good job,0.5848880834144801,0.29540257834145806
I sometimes verbalize my thoughts when I'm feeling angry or upset about something,0.8382143097873067,-0.013545924195922439
I sometimes verbalize my thoughts when I'm feeling disappointed about something,0.6232531945363146,0.235214770430966
I sometimes verbalize my thoughts when I'm learning to use new computer software,0.34449329045034743,0.5296341495750675
I sometimes verbalize my thoughts when I'm memorizing something for an exam,0.7700521166905482,0.14142682120806152
I sometimes verbalize my thoughts when I'm playing a computer game or video game,0.7684970333639952,-0.0716846668513168
I sometimes verbalize my thoughts when I'm searching for a book in a library,0.473614306401886,0.380406193419589
I sometimes verbalize my thoughts when I'm searching for an unfamiliar room,0.751259650625229,-0.10305341307837287
I sometimes verbalize my thoughts when I'm trying not to get angry,0.7745097087129217,0.030165425607954304
I sometimes verbalize my thoughts when I'm trying to figure out why some machine isn't working,0.31001909555982,0.48922335397188194
I sometimes verbalize my thoughts when I'm working on a difficult problem,0.22011683371176344,0.40935395009794884
