,PC1,PC2,PC3,PC4,PC5
I am a steady person,0.05196030112769159,0.21862081766185634,-0.15974762264409817,0.09998868538213368,-0.015534546199230434
I am content,0.18669826147754454,0.05807551767392086,0.08835445555990418,0.19275970086764693,0.09164851933859172
I am happy.,0.21692616759892,0.0387265914626217,0.4947635838048185,-0.009996586737841913,0.3586628368954083
I am jittery,0.08685141391988438,-0.0764790631815488,-0.12040564793606798,-0.01118987540883737,-0.04797103506938922
I am presently worrying over possible misfortunes,0.20642030373254422,-0.09680410674169015,0.0160940386556665,0.19316266364942516,-0.0741187701599096
I am relaxed,0.11769752286685652,0.3438853374683175,0.13666064487294946,0.1405989948552039,-0.17904636213202574
I am tense,0.10358968196834961,-0.09344014890564986,0.07641814037605595,0.020427091053356473,-0.06957281308023773
I am worried,0.22763490791026406,-0.09230747366343116,-0.06376472532376265,-0.05387853202924853,-0.05182176741753597
"I am “calm, cool, and collected”",-0.011553581306845516,0.3196708599686419,0.1444437904446872,0.3035105739791015,-0.15706142834970596
I feel at ease,0.14055325558185386,0.2665813852662164,-0.13526421418544904,-0.006917897559864,-0.07983997208346347
I feel calm,0.1619176882791328,0.2264160993036932,-0.10263342374118362,-0.13723702434120597,0.4820685263871938
I feel comfortable,0.0036300973394899883,0.20035141325597905,-0.10341601202730427,0.006038266690042821,0.0184531478833534
I feel confused,0.18436170300447055,-0.12631741548640615,-0.08677180189951203,-0.1303124461431504,-0.017111732144084436
I feel content,0.14025988102993184,0.08780959236967008,0.39257004173977117,-0.05953087182625474,0.02280042084718403
I feel frightened,0.12281884817241828,-0.0738336860746605,-0.17196265151388557,0.08233745671956501,-0.038122156811194435
I feel inadequate,0.1326400792818858,-0.039229400644147955,0.053845542839883034,-0.14442101807818808,-0.11495784273107247
I feel indecisive,0.16381402964289923,-0.07051906234099029,0.07506111748151144,0.003790507509337397,-0.06739876822599747
I feel like a failure,0.10311979192926476,-0.0779868649571299,-0.0716744210454955,0.1238256173960595,0.016011441909675583
I feel nervous,0.19773166091283914,-0.13379735024167297,-0.04673197903775142,0.002141958957308113,-0.00746556527542611
I feel nervous and restless,0.19730680529974526,-0.13584913080554856,-0.12494602655598967,-0.0896384518779591,-0.039907145921225566
I feel pleasant,0.2293142892102959,0.0006595176768814116,0.08044528262428072,-0.13042295871137813,0.23604657811231297
I feel rested,0.29981939183078216,0.26499146968121284,0.1863807676217713,-0.18790468588378023,-0.42137945760270706
I feel satisfied,0.153900478947757,0.11300641583930567,-0.10715738691668421,-0.028420132599644772,0.143781280499127
I feel satisfied with myself,0.15506934870875114,0.21664578777678836,-0.1084292657382991,0.139048187674108,0.29361934358307107
I feel secure,0.1057370845863149,0.20012417765743604,-0.15196027175593077,-0.2442507085601933,0.0312690729824088
I feel self-confident,0.10597055414997955,0.147117829821166,-0.08977242654843214,-0.24165702541649467,-0.05180097634215991
I feel steady,0.08910702556055403,0.29802086558335633,-0.05951204078422467,-0.049939726748593274,-0.023589373619486077
I feel strained,0.13920785574885008,-0.12075309633386488,-0.039845901540901014,-0.06026818554736903,-0.03820360988524656
I feel that difficulties are piling up so that I cannot overcome them,0.17791640851373366,-0.11703663539429543,-0.08321506162502126,-0.022797614739863956,0.05263214300312917
I feel upset,0.1420396381476875,-0.10400541213801795,-0.18475094044228801,0.05178592585592976,-0.05139611765391354
I get in a state of tension or turmoil as I think over my recent concerns,0.20937312641416508,-0.11049620199419637,0.06194156967112576,-0.013667100079184135,0.0004789412079093001
I have disturbing thoughts.,0.2005429745207177,-0.0925451350095226,0.051153281959290225,0.030829216225587652,-0.08837572152635581
I lack self-confidence,0.12375068023235714,-0.015030407799496116,-0.051366270950656476,0.6816312638614166,-0.034910276334701375
I make decisions easily,0.015129828801143887,0.22058035742264945,-0.3480098788969624,-0.0729224726574312,-0.2313388658854838
I take disappointments so keenly that I can’t put them out of my mind,0.16831835619601185,-0.1535901028766471,-0.10123380932935837,-0.03427044222564343,-0.029411455622814366
I wish I could be as happy as others seem to be,0.20126553247045173,-0.1688440681189947,0.004886658306339342,-0.055532111651959176,-0.1625539649110236
I worry too much over something that really,0.1749512628761307,-0.0771503017684913,0.11500429076065133,0.05351450354239306,-0.189171850764504
Some unimportant thought runs through my mind and bothers me,0.17159263657542234,-0.08126159123891033,-0.06441527267290224,0.10632589931457181,0.07170480846756637
doesn’t matter,0.14360334089796006,-0.005731357107116633,-0.3095818401774856,0.14243163319813806,0.21822921984252366
