,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
I am free to express my ideas and opinions on the job.,0.1269762467028479,-0.03542603355962143,0.042452872842937306,0.21149981368569493,0.14874561215051807,-0.11694539262640292,-0.004802180461382144,-0.06986213764811999
I consider the people I regularly interact with to be my friends.,0.13554531779167123,0.16523581833281908,0.10899796424465451,-0.0139753954220308,-0.07658383768855262,-0.15217172509535135,0.36325650544205634,-0.07626091280193048
I consider the people I work with to be my friends.,0.003600190180814977,0.08110888664487437,-0.018183806060269064,0.17832259147887686,-0.26120856637841333,0.043823052954440125,0.057070892342390774,0.00473201072977588
I do not feel very competent when I am at work.,-0.03674891910978592,0.3447413369763168,0.10520646936550787,-0.06802141911111968,-0.3154247214142697,2.8525038046622875e-06,0.19246454413122493,-0.030076806036386988
I feel like I am free to decide for myself how to live my life.,0.12468806741907554,0.07768772089623283,-0.016327423181482746,-0.06650939032677838,0.2790956932052857,-0.20398028426944997,-0.00984149273789614,0.031475539774540706
I feel like I can make a lot of inputs to deciding how my job gets done.,0.07941356920728164,0.12122690731067653,-0.0311317689146291,0.17261695405354516,0.09922870403046657,0.04448428968298987,-0.03089819385319499,-0.09141739551801273
I feel like I can pretty much be myself at work.,0.09683280544272477,-0.03227152343528292,0.04422792940569642,0.23270176323878913,0.013078899645713515,0.04280225883557487,0.15983941703713772,-0.0949953605359774
I feel like I can pretty much be myself in my daily situations.,0.11087395955782922,0.04072736410555683,-0.1023025727124342,-0.014922894655262572,0.2536534222394632,0.0218756829596648,-0.04026717407638317,0.2680979579112127
I feel pressured at work.,0.19486478876874763,0.1691290878672763,0.15733809432842702,-0.1636389989781205,-0.11832265238443784,0.21677501396198826,0.12552926935649789,0.06380193506449089
I feel pressured in my life.,0.04350304158600176,0.09295234327923031,-0.20969930338771728,-0.022226591287211363,0.026154024382216978,0.130911970612534,-0.0926804490547917,-0.03764769188611625
I generally feel free to express my ideas and opinions.,0.17080525751616493,0.032964540752091084,0.005594065708146955,0.10821064039596522,0.18527620839108222,-0.024598567229887625,0.012884995504906432,0.15747359017542184
I get along with people I come into contact with.,0.1586422676841194,-0.009860379449183922,-0.008254061376269124,-0.04147905730267843,0.06450629669675387,0.017862332860009544,0.04048836944051905,-0.057086610113415565
I get along with people at work.,0.15479236034443972,-0.03108114847198525,0.003601399735072542,0.13211118623384968,0.08433232002096559,0.12190600697790518,-0.12417583285900632,-0.008174819016913533
I have been able to learn interesting new skills on my job.,0.14815335306929792,-0.051303380409275824,0.2137601408573599,0.0719989486773025,0.14800522834230836,0.06521683409449783,0.07985397282218476,-0.048331463623783405
I have been able to learn interesting new skills recently.,0.14764847559982155,0.07520531781881752,0.05104594637410746,-0.030672147227421623,0.13446393491783337,0.06220378010945189,0.12565375662733486,-0.05652177659277835
I often do not feel very capable.,0.05537271999315719,0.2935853071021914,0.06767379851299227,-0.06089830160156962,-0.09784847118793821,-0.13807662841057086,-0.08543231654622466,0.018673394084842143
I pretty much keep to myself and don't have a lot of social contacts.,-0.09199900670337953,0.1276264116517505,0.004778983963699378,0.0532379402485431,0.09731750097267303,-0.0610389641273518,0.08642456044677593,-0.2271531931301284
I pretty much keep to myself when I am at work.,0.07963608049062072,0.1254560897525294,0.3090073320360926,-0.22925382667422184,-0.14038770930570235,-0.17904631537453652,0.08777064703210652,0.07729484756206421
I really like the people I interact with.,0.13724975943938936,0.01773507509318652,0.11556181300516812,0.09396862008784344,-0.09356575622994616,-0.049667219465037445,0.04840740854263059,-0.0437001298692608
I really like the people I work with.,0.17540595173493173,-0.02789344544276233,0.03474123306488608,0.05759681290097116,0.20030610642886837,-0.10658819263003808,0.047833951457586274,-0.07408913918085192
"In my daily life, I frequently have to do what I am told.",0.13407088816109558,0.0775464953341038,0.17144186034698902,0.011058440602074131,0.03193477337519968,0.06408807420077638,-0.26813618200718636,0.0465677876779468
In my life I do not get much of a chance to show how capable I am.,-0.12754545210035215,0.14732921662625334,0.023796481944511696,-0.03804733258203267,0.08406555307529495,-0.04955832218299037,-0.17235391533614186,0.011948259405342165
Most days I feel a sense of accomplishment from what I do.,0.11557177642120259,0.06445123405376432,-0.022986454943437477,0.16894238551345686,-0.05103488567997659,0.08114120910989552,0.0592624985428815,-0.03432550428141038
Most days I feel a sense of accomplishment from working.,0.053291488531094715,-0.014941939681465745,0.14011064595367725,0.17574771309528425,0.060926485572779174,-0.006493204976517974,0.01987860722238761,-0.07998201925313796
My feelings are taken into consideration at work.,0.0511129379537103,0.026122501218460163,-0.052620976649853296,0.1381537201649397,-0.0774180174724639,-0.07658266376912207,0.059136699850461605,-0.026903174944592222
"Often, I do not feel very competent.",-0.09415033770913947,0.21215553815639623,0.1791783058094739,0.17998463774962287,-0.08116233751269933,-0.019683246557155677,-0.1023449822995009,-0.09103759088390559
On my job I do not get much of a chance to show how capable I am.,-0.04480004838444042,0.035831194114475336,0.28154674851864103,-0.06914983400392306,0.05529508082552624,0.04878751685228279,-0.13879743050653776,-0.14923419793100154
People I interact with on a daily basis tend to take my feelings into consideration.,0.0819121339923757,0.06247305742011806,-0.1095272351591047,0.17242233990669817,0.03577783296762093,0.2727548697724252,0.013213108047948657,-0.16094699301232718
People I know tell me I am good at what I do.,0.17811417534174961,0.05411198316525223,-0.004550868356547443,0.04176703049066193,-0.010376181871561758,0.10897593518177187,0.20723217061393928,0.072837975746411
People are generally pretty friendly towards me.,0.0824391289332403,-0.10538373466089186,0.14410099449918543,0.01781917737800953,0.12024916089533573,0.045498677850063,0.060629122783934036,-0.05343644325496753
People at work are pretty friendly towards me.,0.12190164366727756,0.046971749811670495,0.010672395699060016,0.10004914570564377,-0.010098368766555557,0.09770678999796724,0.023180639419660084,-0.02790750200792833
People at work care about me.,0.10407874113889704,0.011084664092936122,0.1389321576415573,0.17828688360131648,-0.07359407212881734,-0.045254366628661884,0.0916435013113978,-0.12770013327797597
People at work tell me I am good at what I do.,0.15205479434720592,0.1051967302427739,-0.10952864202679653,0.21979459544917354,0.10522321029675123,-0.048654679172761714,0.09854644224008449,-0.1625488590208241
People in my life care about me.,0.264839078893015,0.04880999199113564,-0.15892564496602093,0.15345465297915611,-0.023260851408634067,-0.19038803594791504,-0.1333541718275445,-0.019207660199776294
The people I interact with regularly do not seem to like me much.,-0.1521407760268634,0.19909371606227336,-0.05536405257353573,0.3096310106517768,0.0030295080380533758,0.3773240331790038,0.04723691676121611,0.4692095052819224
The people I work with do not seem to like me much.,-0.21061363646186226,0.16728414681114723,0.16439634775522305,0.2940458989166201,0.1421980286772269,-0.2594606574730313,-0.032759911229807495,0.41058720953308253
There are not many people at work that I am close to.,0.11863895504508967,0.07379685167260919,0.08932149910766889,-0.2820712814957242,0.2274157391530411,0.24816405220524027,0.14708155515276466,0.09314287142034704
There are not many people that I am close to.,-0.07162492931937925,0.04370706402315892,0.13305759367009168,-0.026177140908169323,-0.17097686601731626,0.11292268541529733,-0.283917610858059,0.05060814755233857
There is not much opportunity for me to decide for myself how to do things in my daily life.,-0.0632898824180686,0.30096663603234436,-0.07105249580432729,-0.11202871583288558,0.06351867490106182,0.0967470627903586,0.09810512798024464,-0.07419041218697213
There is not much opportunity for me to decide for myself how to go about my work.,-0.10083714647277583,-0.005216571405506943,0.16426999931417396,-0.09342360408498618,0.32518597827583595,0.21970166243525227,-0.1269090427255958,-0.08673357069506353
"When I am at work, I have to do what I am told.",0.12548802805827722,-0.07763928268141998,0.3104606098122552,-0.023337976937341187,0.024006135048902116,0.18268072456433232,-0.058993589493883905,0.0032389072850151804
"When I am with XXXXXXX, I feel a lot of closeness and intimacy.",0.21037826393946865,-0.06436532507363146,0.20650323045730923,0.13942616857936868,-0.2509275623950457,0.1383837412247777,-0.12567261371700597,0.14820533114711001
"When I am with XXXXXXX, I feel controlled and pressured to be certain ways.",-0.1384342232163882,0.24794571413363967,-0.07032980988366626,0.12335656900986232,0.04399908762320321,0.29321813013145065,-0.05990037045917195,-0.1347118445311675
"When I am with XXXXXXX, I feel free to be who I am.",0.318051442876599,0.18432185116947136,-0.1391153169353787,-0.22258216798477554,-0.03974503097219247,-0.07954094163828276,-0.1664226675237147,0.27508690695615307
"When I am with XXXXXXX, I feel like a competent person.",0.1844444113726399,-0.13066874849491203,0.29970685710220984,0.01737289476476808,0.02088445151481903,-0.07063842615935093,-0.13272750630013705,0.15177558954825995
"When I am with XXXXXXX, I feel loved and cared about.",0.2227102511175207,0.056901024315325836,-0.18356376927106058,-0.029996684988966005,0.011991550917886186,0.08835056228224908,-0.2633357590430637,-0.11213288956010724
"When I am with XXXXXXX, I feel very capable and effective.",0.21605252415036058,0.08550262126337398,-0.18744252239908923,-0.008383926148825459,-0.20347455137097015,-0.03925260570870806,-0.13413237272716047,-0.07504243809433148
"When I am with XXXXXXX, I have a say in what happens, and I can voice my opinion.",0.17379693783442235,0.025629447405869556,-0.16660457466278278,0.019907896812590718,-0.09434125954489546,-0.10532280816838893,-0.20513151337542992,0.07181755272041708
"When I am with XXXXXXX, I often feel a lot of distance in our relationship.",-0.05017834819082526,0.22685030666716255,-0.056044199579126514,0.03595984849109185,0.21406454621427232,-0.22502317123776172,0.17837427161735994,0.15794529275713173
"When I am with XXXXXXX, I often feel inadequate or incompetent.",-0.007203191610147402,0.4187895464560177,0.02646694923050219,-0.16631339862807884,0.15895368907745858,-0.013226092290998366,-0.16038926030709805,-0.18718355097594502
When I am working I often do not feel very capable.,-0.13723416210709105,0.12832839942774682,0.185389008853243,0.18053190653911913,0.03352016257118521,-0.18851829864362535,-0.3166645156160211,-0.19842451965189684
