,F1,F2
I am nervous when partners get too close to me.,0.5652944651123972,0.11874939027650264
I am very comfortable being close to romantic partners.,0.16448090975881488,0.6847458984270862
I do not often worry about being abandoned.,-0.5135325716349171,0.4181085416871782
I don't feel comfortable opening up to romantic partners.,0.11264628187624798,-0.42325177690834603
I feel comfortable depending on romantic partners.,0.22863858751711172,0.5752766340615957
I feel comfortable sharing my private thoughts and feelings with my partner,0.17204328837902733,0.7796534557372434
I find it difficult to allow myself to depend on romantic partners.,0.24772490885619708,-0.4193135027049133
I find it easy to depend on romantic partners.,0.26821121715100854,0.5763815017235109
I find it relatively easy to get close to my partner.,-0.0971543489988819,0.7777423675023044
I find that my partner(s) don't want to get as close as I would like.,0.7824716777752944,0.14141312886344673
I get uncomfortable when a romantic partner wants to be very close.,0.5125486545198349,-0.05996874904667516
I often wish that my partner's feelings for me were as strong as my feelings for him or her.,0.6932211689576819,0.0651598540291109
I often worry that my partner doesn't really love me.,0.6607906322491333,-0.25287322029456377
I often worry that my partner will not want to stay with me.,0.7505045086832923,0.07001929333063345
I prefer not to be too close to romantic partners.,-0.08423593315431159,0.19215853160096638
I prefer not to show a partner how I feel deep down.,0.3186860595796982,0.22625898089688812
I rarely worry about my partner leaving me.,-0.4988779184191322,0.30968439297857353
I talk things over with my partner.,0.009783362376428486,0.5300545073321952
I tell my partner just about everything.,0.2798427512576626,0.3022287914550721
I usually discuss my problems and concerns with my partner.,0.7621372456650313,0.09866454009917258
I worry a lot about my relationships.,0.7155687606637303,-0.1339956001343943
I worry that I won't measure up to other people.,0.6666695260560079,-0.0005719569541150506
I worry that romantic partners won’t care about me as much as I care about them.,0.8608771204938074,-0.04142229297159331
I'm afraid that I will lose my partner's love.,0.7585268717641941,0.12155567429798668
"I'm afraid that once a romantic partner gets to know me, he or she won't like who I really am.",0.6160743354388647,0.10740925266035518
It helps to turn to my romantic partner in times of need.,0.5798558862425971,0.4556984514991247
It makes me mad that I don't get the affection and support I need from my partner.,0.7422127049842032,-0.2878779226535279
It's easy for me to be affectionate with my partner.,-0.09678655914210277,0.712157886593533
It's not difficult for me to get close to my partner.,-0.15092242845405845,0.6011911506305326
My desire to be very close sometimes scares people away.,0.46153927977200443,0.23843677913478648
My partner only seems to notice me when I’m angry.,0.49616822087335566,0.0953196785258778
My partner really understands me and my needs,0.3418178706981862,0.11430873364965162
My romantic partner makes me doubt myself.,0.5185410414310636,0.2660032125529622
Sometimes romantic partners change their feelings about me for no apparent reason.,-0.3134418915096598,0.4261364344729759
"When I show my feelings for romantic partners, I'm afraid they will not feel the same about me.",0.6981737348575855,0.07785045601305604
"When my partner is out of sight, I worry that he or she might become interested in someone else.",0.515938147568829,-0.29598736521024227
