,F1
A good woman should be set on a pedestal by her man.,0.666238435770481
Every man ought to have a woman whom he adores.,0.4661742155386428
Feminists are making entirely reasonable demands of men.,0.10436981025343317
Feminists are not seeking for women to have more power than men.,-0.40039506081981724
"In a disaster, women ought not necessarily to be rescued before men.",-0.2303166816673753
"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality"".",0.5015144300525851
Many women have a quality of purity that few men possess.,0.7950443241729083
Men are complete without women.,-0.16971205967335895
Men should be willing to sacrifice their own well being in order to provide financially for the women in their lives.,0.7310123270738934
Most women fail to appreciate fully all that men do for them.,0.4195151726401843
Most women interpret innocent remarks or acts as being sexist.,0.6021783804482683
"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",0.6802933464472835
"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",0.5936902520852807
People are often truly happy in life without being romantically involved with a member of the other sex.,-0.4875325704025371
There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,0.10286965419587825
"When women lose to men in a fair competition, they typically complain about being discriminated against.",0.651278718370196
Women are too easily offended.,0.7265088923377352
Women exaggerate problems they have at work.,0.7723550846459503
Women seek to gain power by getting control over men.,0.6466864095207454
Women should be cherished and protected by men.,0.6497586016702395
"Women, as compared to men, tend to have a more refined sense of culture and good taste.",0.6611183884350712
"Women, compared to men, tend to have a superior moral sensibility.",0.4423889162617169
