,F1,F2,F3,F4
Chastity is an important and valuable virtue.,-0.1272877078132493,0.5502371092171335,0.33445118212345293,0.19829576183876407
Compassion for those who are suffering is the most crucial virtue,0.626803237451568,0.06494991856255636,-0.10795214197119729,0.3952500836528466
I am proud of my country’s history,0.3814420475405188,0.3064491452919807,0.5269216100275551,0.055543087049801806
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,0.6088775101231556,-0.0043104059246271195,0.21542906402689757,-0.20162728061606436
I would call some acts wrong on the grounds that they are unnatural,-0.050797320804732184,-0.005072227820262012,0.6842782299001008,-0.20526295168994413
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",0.2765912374148574,-0.3603574404700751,0.019307496522254115,-0.5552805309644981
It can never be right to kill a human being,0.13084546972926012,0.4029446683631317,-0.25779334620948274,0.02685610584536567
It is better to do good than to do bad.,0.06409098622333781,-0.47865024205324475,-0.05824127086908986,0.4203029740098108
It is more important to be a team player than to express oneself,0.586549805248561,0.36931732384285576,-0.2626341933237039,0.11172745609890146
Justice is the most important requirement for a society.,0.6463535650204318,-0.13711050771415023,-0.018106587968675654,0.3080444644168583
Men and women each have different roles to play in society.,0.2555212589482819,0.11788635767031172,-0.22685171125631884,-0.2098111993528932
One of the worst things a person could do is hurt a defenseless animal.,0.11706564756525384,0.019690451278914996,0.8448765177688341,-0.00013537069469575757
"People should be loyal to their family members, even when they have done something wrong.",0.5121443969782877,0.11584253160119685,-0.37057716219690323,-0.283347725321127
"People should not do things that are disgusting, even if no one is harmed.",0.6839117490949785,-0.10328634482485254,-0.04060799805783512,-0.11786917590366167
Respect for authority is something all children need to learn.,-0.12405250566279774,-0.11114446633992835,0.7514149687631404,-0.06761336630381039
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",0.27270922929391556,-0.5255676466946062,-0.06840846352896653,-0.27280884338567407
Whether or not an action caused chaos or disorder,0.10987703489267063,0.06371406953162992,0.3519788488941354,0.08134003398048294
Whether or not some people were treated differently than others,0.2566860096909284,-0.5347357086690973,-0.30015596574975467,0.1772886455249518
Whether or not someone acted in a way that God would approve of,0.0470722706684493,0.42678158310021896,0.11138752490891957,-0.2660889473607541
Whether or not someone acted unfairly,0.3496898211198169,-0.2536942085030446,-0.06206158148324152,0.4373719281825892
Whether or not someone cared for someone weak or vulnerable,-0.11048586370981169,-0.6526548461003806,-0.07026796608820582,-0.06371253147553278
Whether or not someone conformed to the traditions of society,0.2513187463339434,0.46284192448262945,-0.07600138002184219,0.27187974976926266
Whether or not someone did something disgusting,0.3590307255729896,-0.20688920974153568,-0.08367132384829076,-0.33502131288563003
Whether or not someone did something to betray his or her group,0.42101867695171225,0.14036462111856002,0.3204893537680702,-0.037221144591558945
Whether or not someone showed a lack of loyalty,0.656918381404906,0.07244706683057599,0.2496649271686944,0.037401974620699996
Whether or not someone showed a lack of respect for authority,0.2532752053369508,0.2550987528203772,-0.19200998319708162,-0.278452556842372
Whether or not someone suffered emotionally,0.06624900790456334,0.044530737359814596,-0.28475094725064953,0.7084089174872813
Whether or not someone violated standards of purity and decency,0.3590600115435587,0.5638152691492138,-0.17614130511546358,-0.05886420886303609
Whether or not someone was cruel,0.04164519805400215,-0.24190003361636653,0.23074088480988353,0.6492301275825285
Whether or not someone was denied his or her rights,0.2756737610920899,0.05691309843323971,-0.12450475439309092,0.5008660822837391
Whether or not someone was good at math,0.07144627314347299,0.6511660976327716,-0.37138781957777384,-0.22506658412529207
Whether or not someone’s action showed love for his or her country,0.3590153353393792,-0.02875738782661058,-0.3493215905300086,-0.25681562748130327
