,F1,F2
A good woman should be set on a pedestal by her man.,0.6582226848921517,-0.1325931975463312
Every man ought to have a woman whom he adores.,0.8023162633436685,0.014981215661511012
Feminists are making entirely reasonable demands of men.,-0.3243446098560861,0.05993994133951531
Feminists are not seeking for women to have more power than men.,-0.04424572671289859,0.6321384597086513
"In a disaster, women ought not necessarily to be rescued before men.",-0.006600630688243129,0.49557368536426366
"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality"".",0.254325786976288,-0.23693395882291104
Many women have a quality of purity that few men possess.,0.6676661400274779,-0.17597818761348571
Men are complete without women.,0.16527660033012123,0.25982430654433786
Men should be willing to sacrifice their own well being in order to provide financially for the women in their lives.,0.5866073150172246,0.2745224402837741
Most women fail to appreciate fully all that men do for them.,0.6800728855190894,0.17170590685305528
Most women interpret innocent remarks or acts as being sexist.,0.4622317154611102,-0.4165281090356694
"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",0.7268432358501434,0.00834169816053728
"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",0.48793425235009785,-0.0963542357841865
People are often truly happy in life without being romantically involved with a member of the other sex.,-0.23879629833056093,0.5194231223667971
There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,0.2732917975783536,0.6255101508507513
"When women lose to men in a fair competition, they typically complain about being discriminated against.",0.6601928659815411,0.05967939241934277
Women are too easily offended.,0.7063200980676669,-0.2807849281567273
Women exaggerate problems they have at work.,0.4700151458935092,-0.34145389306355184
Women seek to gain power by getting control over men.,0.8057498498361476,0.08132484186057315
Women should be cherished and protected by men.,0.48940678831122075,0.24651762289557644
"Women, as compared to men, tend to have a more refined sense of culture and good taste.",0.6557970411517,0.08420288437266892
"Women, compared to men, tend to have a superior moral sensibility.",0.599669389962954,0.06925291014223392
