,F1,F2
I am attentive to my feelings,-0.06436072252106947,0.82441004542759
I am clear about my feelings,-0.182323491480601,0.4503013245062221
I am confused about how I feel,0.6676296613637024,0.23409442048502177
I care about what I am feeling,-0.01293672179134024,0.8831205440566396
I experience my emotions as overwhelming and out of control,0.6464056728638528,0.1325686524988017
I have difficulty making sense out of my feelings,0.48168754163240707,0.011371866316216322
I have no idea how I am feeling,0.25573202477258783,-0.4948426359018048
I know exactly how I am feeling,0.16660747961070385,0.7668865786409256
I pay attention to how I feel,-0.018294638568248346,0.8824404713717652
When I’m upset I take time to figure out what I’m really feeling,0.051153456014647415,0.778613489358995
"When I’m upset, I acknowledge my emotions",0.024434753380593453,0.8526011927178275
"When I’m upset, I become angry with myself for feeling that way",0.5301016512884432,0.2647203759500049
"When I’m upset, I become embarrassed for feeling that way",0.37025386384716186,0.25424591291890486
"When I’m upset, I become irritated with myself for feeling that way",0.5479954113139305,0.27178002559693487
"When I’m upset, I become out of control",0.957022606271174,-0.24739799724074427
"When I’m upset, I believe that I will remain that way for a long time",0.865721595905294,-0.1092944141497721
"When I’m upset, I believe that I’ll end up feeling very depressed",0.5397405920249552,0.2298391768929177
"When I’m upset, I believe that my feelings are valid and important",0.036434499608110495,0.7007803518122
"When I’m upset, I believe that there is nothing I can do to make myself feel better",0.5856923347703651,0.0649185458803525
"When I’m upset, I believe that wallowing in it is all I can do",0.8106486083471337,0.02410493762535189
"When I’m upset, I can still get things done",-0.5494373491865012,0.1381502697596598
"When I’m upset, I feel ashamed with myself for feeling that way",0.3689209248496956,0.3195370379230114
"When I’m upset, I feel guilty for feeling that way",0.6394437715418207,0.2359313515220747
"When I’m upset, I feel like I am weak",0.47948339639779697,0.3021887036258609
"When I’m upset, I feel like I can remain in control of my behaviours",-0.3033336075428742,0.31462447939240523
"When I’m upset, I feel out of control",0.5195255760206527,0.34764801252129
"When I’m upset, I have difficulty concentrating",0.49789551525772296,0.3034097560803522
"When I’m upset, I have difficulty controlling my behaviours",0.5114162730612165,0.3514708533859724
"When I’m upset, I have difficulty focusing on other things",0.505859504633008,0.352068584827373
"When I’m upset, I have difficulty getting work done",0.3931981459875864,0.34782253129597673
"When I’m upset, I have difficulty thinking about anything else",0.24810736938070746,0.6197485953389447
"When I’m upset, I know that I can find a way to eventually feel better",-0.11603584518367238,0.37499609979614285
"When I’m upset, I lose control over my behaviours",0.8522942369277585,-0.211176691190236
"When I’m upset, I start to feel very bad about myself",0.6058957950330123,0.34733644257333035
"When I’m upset, it takes me a long time to feel better",0.5986559097961828,0.09012281845193393
"When I’m upset, my emotions feel overwhelming",0.4833087913542972,0.3894443967234487
