,F1,F2
Even when it might be to my advantage‚ I have difficulty putting up a good front.,0.459933899010987,-0.3051482964182204
I am often able to read people’s true emotions correctly through their eyes.,0.7544594001259002,0.10123913960621801
I can usually tell when I’ve said something inappropriate by reading it in the listener’s eyes.,0.8354410014882331,-0.16087148401423013
I can usually tell when others consider a joke to be in bad taste‚ even though they may laugh convincingly.,0.3709696280757248,0.34060215761048274
I have found that I can adjust my behaviour to meet the requirements of any situation I find myself in.,0.17637157578321552,0.4638660191501519
I have the ability to control the way I come across to people‚ depending on the impression I wish to give them.,0.33722458962498736,0.527186866535857
I have trouble changing my behavior to suit different people and different situations.,0.2621212156745448,-0.6111571493990534
If someone is lying to me‚ I usually know it at once from that person’s manner of expression.,0.5678497347436411,-0.01314249783783184
In conversations‚ I am sensitive to even the slightest change in the facial expression of the person I’m conversing with.,0.8048010508164076,-0.09059112526126212
In social situations‚ I have the ability to alter my behavior if I feel that something else is called for.,-0.08600054785335437,0.39892699288743666
My powers of intuition are quite good when it comes to understanding others’ emotions and motives.,0.5462464294862418,0.3329095054675315
Once I know what the situation calls for‚ it’s easy for me to regulate my actions accordingly.,-0.30304270675967665,0.43903938626240824
When I feel that the image I am portraying isn’t working I can readily change it to something that does.,-0.1263435360245237,0.7568209359125785
