,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
"For me, life has been a continuous process of learning, changing, and growth.",0.021361163188038462,-0.030348013537743534,-0.07503756779890679,-0.14888260144026916,-0.08004934052755468,-0.20072541714189154,-0.08336717256820772,0.12740146644189343,0.21467678387142541,0.05893373493019464,-0.10114067942475696,0.11618643064761192
"I am not afraid to voice my opinions, even when they are in opposition to the opinions of most people.",0.10383916243119974,-0.05461710369026841,0.16743264877751804,-0.018391973165822095,0.409186558999184,0.04166838260099687,-0.11922731241136375,0.16772778551869494,-0.08906576306977,-0.06961649747118284,0.0918745336250548,0.11344588742839434
I am not interested in activities that will expand my horizons.,-0.07818134587715511,0.1480699580500242,0.2651702685451788,-0.01697997765869586,0.2076354632012031,0.3216839315393784,0.19134968864851498,-0.14020964465263341,-0.19315757913127032,0.17077777631917762,0.14102224065331462,-0.005159276982270538
I am quite good at managing the many responsibilities of my daily life.,0.14240877279010103,-0.07887128382637781,0.021915576384911744,-0.07447966552875299,0.12405970214045353,-0.2208343179870703,0.08542945887129608,-0.10173905946949223,-0.1080431044293069,0.1503742062872405,0.02078621897978638,0.021406822109838644
I do not enjoy being in new situations that require me to change my old familiar ways of doing things.,0.06026396143663741,0.10133183585358796,-0.18293118228041222,0.1577546427713932,-0.11725159405856603,0.4534268338866654,0.24931191768698616,-0.29979555263580476,0.0609181187565806,-0.26651701960586055,-0.11224318566297621,0.1371594932697882
I do not fit very well with the people and the community around me.,0.08215530369364163,0.22894772875302985,-0.09658049368455708,0.18733109278039783,0.020375667563211127,-0.04124318057098707,0.23036177667815688,0.204208403857964,0.3621939050141442,0.21607633516558453,0.11875653538607991,0.09764375275037938
I don't have a good sense of what it is I'm trying to accomplish in life.,0.16437475121194114,0.19904589945485496,0.14959029987156214,0.03968323327606815,-0.09770684048914638,-0.03696409231275104,-0.11027497047099384,-0.09263895489615888,0.30493380890588134,-0.19307593282532004,-0.09266914662969408,-0.1820797397688911
I enjoy making plans for the future and working to make them a reality.,0.03173155933986278,-0.04321826936146463,0.017494562318000527,-0.04779967564541235,-0.04140900298666259,-0.05427237261304899,-0.06253705769133232,-0.02269049879840605,0.14080563187519562,0.06379886490969107,-0.06035840716360177,0.13602102180861775
I enjoy personal and mutual conversations with family members or friends.,0.06100840306185025,-0.07519969266730292,-0.03692741392099145,-0.00026750488323636247,0.09553420400638563,-0.05474306083585258,0.025057019216273287,0.09334229644233727,-0.022655015403368402,-0.05365972107742686,-0.10538923142826657,0.053698753481134405
I feel like many of the people I know have gotten more out of life than I have.,0.3126546438154621,0.06271600617672703,0.025679005505536232,-0.0044817222103310005,-0.08315888917983336,0.07202089603245052,-0.03173439336335771,0.2991437431761935,-0.23883799302333025,-0.0791454103367296,-0.0006469120723267005,0.20837414658026837
I gave up trying to make big improvements or changes in my life a long time ago.,-0.20627937688201547,0.1274127646521316,0.32001246396554595,0.1513295981789624,-0.16671609757140496,0.12241019174571184,-0.029472564297721292,0.25336146538072235,0.1625544477186547,-0.17354722664775404,0.06959428891948283,0.223212037786481
I have a sense of direction and purpose in life.,0.06109013510375818,-0.08941578585810031,0.009502287799349573,0.1089523345456655,-0.05685535502520844,-0.1132891467363029,0.08719860638607263,0.2022723352498138,0.013766170331552783,-0.07528422807356752,-0.08869360313366294,0.02179307045878111
I have been able to build a home and a lifestyle for myself that is much to my liking.,0.12166464266991002,-0.17228566641930798,0.18692981406062353,-0.13459459928579123,0.027191260803545773,-0.015162371384690714,0.1813687634672071,-0.030026844148704605,0.20664862993239033,-0.06878547456982288,0.06621800950931779,-0.01663145497231665
"I have confidence in my opinions, even if they are contrary to the general consensus.",0.13839372295385438,-0.24233627920993467,0.15440662439635247,0.3455502688393726,0.07537613632957423,0.1747705928679723,-0.3298164749759052,-0.06023192909802714,-0.052227525769734474,0.18855415683444346,-0.06625842398750038,0.008879871343431482
I have difficulty arranging my life in a way that is satisfying to me.,0.25769606193256395,0.22170000775490856,-0.1872481155298046,0.04069660998140353,-0.09082233572948027,0.09564704718971523,-0.06575977585590978,-0.19696979931841876,0.17816434500809344,0.26039576708169776,-0.09259441024552167,0.03877266001156602
I have not experienced many warm and trusting relationships with others.,-0.008684451719270247,0.194272004408227,-0.12126528385990895,0.2587477161726648,0.18690505651123776,-0.22961041151901204,0.1644533754188464,-0.1157517075065651,-0.010667729102940853,-0.018431683994273657,0.03267305200044597,0.42999825452555046
I have the sense that I have developed a lot as a person over time.,0.13759720652216617,-0.03581274924667611,-0.0947137064088629,-0.08012248100893965,0.1556239408607165,-0.11729450492182854,-0.019593560708651588,0.020608256003332322,0.1355656360118778,-0.0501083177345209,-0.18760306844401303,0.10038349313398531
"I judge myself by what I think is important, not by the values of what others think is important.",0.11337331106164139,-0.26386485073406846,0.19271165219045497,0.20341312205127754,-0.16953310366786717,-0.014454204123389738,-0.08307298005781608,-0.054325797027513306,0.18240997879835505,-0.2563687909243298,0.05012958571427889,-0.001515748173449074
"I know that I can trust my friends, and they know they can trust me.",0.0523604678158156,-0.03696434080947731,0.0021046845344123584,-0.03373509447852715,0.03883239231213746,-0.017125618010709977,0.036516812089926735,0.17374828195394046,0.05430383349271167,-0.045907913885373075,-0.08806543834971962,0.06855108563221153
I like most aspects of my personality.,0.10608957475886284,-0.03704678358861956,-0.05098121066411884,-0.06691409941283749,0.004605079546414744,-0.07590252604554289,0.0553830665623533,0.083632019602542,0.051365537882601835,-0.0331012985796949,-0.030396664963983692,0.15157034614939077
I live life one day at a time and don't really think about the future.,-0.0019948972980899497,0.2475576642084591,0.22469449195893476,0.03522623429566018,-0.21368360098918682,-0.25503239141265943,-0.10309259086581847,0.046347995159255674,-0.21186224360096964,0.07701205772130221,-0.20208978163138583,0.05373967996449699
I often feel lonely because I have few close friends with whom to share my concerns.,-0.017355377869421536,0.16022135206086602,0.48202825675670596,0.003221737469671635,-0.16610583502709633,0.1550190102866255,0.14897641085414662,0.03211617702665924,0.07196398454168869,0.12816450580767094,-0.21439947789069191,-0.026262176513953222
