,PC1
I am really happy for myself,-0.11857745686133662
I feel ashamed of something I’ve done,0.3460991780575338
I need to figure out what I should do or say,-0.27946409084769186
I should have done something differently,-0.27505223527691075
I try to anticipate what someone will say and how I’ll respond to him or her,-0.16112090572374516
I want to analyze something that someone recently said to me,-0.2855564274546644
I want to reinforce myself for doing well,0.2989529187910308
I want to remind myself of what I need to do,-0.23509819571254328
I want to replay something that I’ve said to another person,-0.16031015502824827
I’m giving myself instructions or directions about what I should do or say,-0.2894873959185181
I’m imagining how other people respond to things I’ve said,-0.22420383061140464
I’m mentally exploring a possible course of action,-0.2720709481694457
I’m proud of something I’ve done,0.22770787438441545
I’m really upset with myself,0.37837928500858764
Something bad has happened to me,-0.10571179534393746
Something good has happened to me,-0.14235661878020262
