,F1,F2
I am always looking to find my life’s purpose.,0.7276570429858014,-0.20748460862539933
I am always searching for something that makes my life feel significant.,0.5090864258330269,0.2694908920779974
I am looking for something that makes my life feel meaningful,0.27417029031838186,0.2148116661742864
I am searching for meaning in my life.,0.5608214630145368,0.1683957335052251
I am seeking a purpose or mission for my life.,0.011605964013986251,0.49988250384999006
I have a good sense of what makes my life meaningful.,0.3819564409652267,0.24041865895624126
I have discovered a satisfying life purpose.,0.42169885406404894,0.4432445448702905
I understand my life’s meaning,0.23639935746929772,0.2690027113909233
My life has a clear sense of purpose.,-0.03653059327960462,0.8463616637666631
My life has no clear purpose.,-0.41471145016219657,0.37272907697472973
