,F1,F2
A person's family is the most important thing in life.,0.6375380308901187,-0.16477000404561173
Criticism or scolding hurts me quite a bit.,0.7583976335498923,-0.11793925452379185
"Even if something bad is about to happen to me, I rarely experience fear or nervousness.",-0.7359688634969166,0.09780903491175946
How I dress is important to me.,0.8849403329646757,-0.16859340941324777
I crave excitement and new sensations.,0.7273298397038531,0.08752226021636987
I feel pretty worried or upset when I think or know somebody is angry at me.,0.7831990910581891,0.14541245628696706
I feel worried when I think I have done poorly at something important.,0.8763595446455137,0.05929924097499333
I go out of my way to get things I want.,0.5809418262558325,0.2405683649713594
I have very few fears compared to my friends.,-0.1955399360292327,-0.3283644260653477
I often act on the spur of the moment.,0.8306878264672884,-0.21172827156655624
I often wonder why people act the way they do.,0.018019376604875424,0.5647704987203401
I will often do things for no other reason than that they might be fun.,0.6709056582688765,0.19634551558410113
I worry about making mistakes.,0.6769534182652828,0.27951883376572256
I'm always willing to try something new if I think it will be fun.,0.08957236963363763,0.40498272339053565
If I see a chance to get something I want I move on it right away.,0.7154425166987659,0.02954810738270338
"If I think something unpleasant is going to happen I usually get pretty ""worked up.""",0.852027855108381,-0.11752748924254554
It would excite me to win a contest.,0.5426578167886364,0.30703264862662205
It's hard for me to find the time to do things such as get a haircut.,0.7204449670696258,-0.25027696198023924
"When I get something I want, I feel excited and energized.",0.7036504201443258,0.21826463391705958
"When I go after something I use a ""no holds barred"" approach.",0.5176422005094741,-0.5309080897735441
When I see an opportunity for something I like I get excited right away.,0.6414285022787092,0.20664509135808207
When I want something I usually go all-out to get it.,0.5132557760825728,0.4387047403716985
When I'm doing well at something I love to keep at it.,0.07407526957532767,0.7346554879929179
"When good things happen to me, it affects me strongly.",0.8133281186869319,0.12030588045961815
