,PC1,PC2,PC3,PC4,PC5
	I calm myself down by talking silently to myself,0.051175651786037675,0.3859401613126394,0.1753461871109342,-0.022713670049579013,0.10282733073287217
"I evaluate my behavior using my inner speech. For example I say to myself, “that was good” or “that was stupid”",0.12781280493079272,-0.0742116452950934,0.09018766741375277,-0.11290644925986654,0.027865672637785575
I experience the voices of other people asking me questions in my head.,0.006289646497890404,0.028566844509409915,0.08631655656805733,0.15514514630144358,0.038334142186163024
"I hear other people's actual voices in my head, saying things that they actually once said to me.",0.006302465973329646,0.04975554189062835,0.19573055227786876,0.14266237173981414,0.4616415319291374
"I hear other people's actual voices in my head, saying things that they have never said to me before.",0.008688088476623822,0.011620642086047794,0.01110355563781965,0.04239209877696331,-0.03354923527635247
I hear other people's voices nagging me in my head.,0.08100970170473001,0.2836949324863155,-0.515252141590058,-0.15479759752348365,0.45185465099838884
"I hear the voice of another person in my head. For example, when I have done something foolish I hear my mother's voice criticising me in my mind.",0.04907032467101571,0.21132588580676115,0.5201721002276135,0.12628407419543763,0.3317550201160568
I talk back and forward to myself in my mind about things.,0.3207826185125112,0.025968839899547937,0.11115997118964992,-0.3448687725168178,0.024088218199221238
I talk silently to myself telling myself not to do things.,0.27679489739427793,-0.15164762698960083,-0.020917144681949773,0.5434859634438245,-0.014010892660214377
I talk silently to myself telling myself to do things.,0.3124824874879819,0.12331009756829987,-0.08545627766415594,-0.056323367903229574,0.03898612357941863
I talk to myself silently in an encouraging way.,0.12900599239074087,-0.1570898101643526,-0.10926406303615353,-0.06936944717348419,0.22893426867586333
"I think in inner speech about what I have done, and whether it was right or not.",0.30663402801242895,0.05194588115587999,0.020352369655384218,-0.08000985356849079,0.09691918705489999
I think to myself in words using brief phrases and single words rather than full sentences.,0.26749189315778654,-0.025506178909515252,0.1778896012056425,-0.07509362466639759,-0.06871197932749845
I think to myself in words using full sentences.,0.28081056139823596,0.14402548645948796,-0.06023375301510898,-0.18203546559175676,-0.15864959880757168
"If I were to write down my thoughts on paper, they would read like a normal grammatical sentence.",0.05600156971825877,-0.19233821812362184,-0.18242076820814496,0.0023721859883568575,0.3564114226432734
In my head I talk to myself a critical way.,0.28694506513531337,-0.12776386685936755,-0.1666800427186843,0.22846469682866397,-0.1947801175105038
My inner speech contributes to me feeling down and depressed,0.013893012904997892,0.32353259676964863,0.005067399724169324,-0.17131805735461694,-0.35753571713203613
"My thinking in words is like a speech or a monologue, rather than a conversation",0.1723062497457765,-0.12230199021821313,-0.027577252442588032,-0.14488403154693374,-0.02825606896386987
"My thinking in words is more like a dialog with myself, rather than my own thoughts in a monolog.",0.2636029459236514,-0.09951994479497736,-0.1892378015437426,0.3529113252485262,-0.03680332649791372
"My thinking in words is shortened compared to my normal out-loud speech. For example, rather than saying to myself things like ‘I need to go to the shops’, I will just say ‘shops’ to myself in my head.",0.26451242015381515,0.03275903489295514,0.035088326930086886,-0.08286619461430604,-0.11166160482351034
"My thinking to myself in words is like shorthand notes, rather than full, proper, grammatical English.",0.1186408741361399,-0.12326312196342001,0.12611101769297145,-0.25950677849950504,0.025212663234833465
What I say in my inner speech makes me feel anxious,0.0847156234884742,0.43831383268576984,-0.3410137382662611,0.16737002403149748,-0.04378179377390089
"When I am talking to myself about things in my mind, it is like I am going back and forward asking myself questions and then answering them.",0.11611980284599635,-0.21666006181978728,0.0015697565351018713,-0.1140734902489045,0.22106724273643358
"When I am talking to myself about things in my mind, it is like I am having a conversation with myself.",0.270902093943366,0.0012258229831001955,0.25808311449093496,0.17638312294201988,-0.07183775456106785
"When I think to myself in words about upsetting things, I can easily change topics in my mind and talk to myself about other things",0.2651267291872244,-0.01448033440857275,0.04800938832622263,-0.1125846122626751,0.007718618280743073
"When angry, my inner speech can help calm me down.",0.021407302351043076,0.43696309066101346,0.10701779295328782,0.21684415317263878,0.02552370708073947
