,F1
I sometimes guide my actions using speech when I use unfamiliar equipment,0.7307761303209225
I sometimes guide myself using speech when I'm driving an unfamiliar car,0.4046741515492258
I sometimes guide myself using speech when I'm searching through a newspaper,0.5089848933223249
I sometimes plan my actions out loud when I'm getting organized,0.6878625604129902
I sometimes think out loud to myself when I need to remember a phone number,0.6009724130698452
I sometimes think out loud to myself when I'm doing mental arithmetic,0.6103916085867833
I sometimes think out loud to myself when I'm looking for a number in the phone book,0.49803826644798793
I sometimes think out loud to myself when I'm proofreading something I've written,0.4304861722550782
I sometimes think out loud to myself when I'm searching for something I've misplaced,0.7836030404522865
I sometimes think out loud to myself when I'm trying to clean up a mess in a big hurry,0.7161154512016278
I sometimes think out loud to myself when I'm trying to organize pages of notes,0.6890289622876218
I sometimes think out loud to myself when I'm trying to remember what to buy,0.36087201009796155
I sometimes think out loud to myself when I'm trying to solve a puzzle,0.6243231890656424
I sometimes think out loud to myself when I'm trying to write with a lot of distraction,0.6644351332386131
I sometimes think out loud to myself when I'm working on a crossword puzzle,0.52088861408145
I sometimes verbalize my thoughts when I discover that I've locked my keys inside,0.6068901844529475
I sometimes verbalize my thoughts when I'm deciding whether I've done a good job,0.5641917956484939
I sometimes verbalize my thoughts when I'm feeling angry or upset about something,0.6324222065097312
I sometimes verbalize my thoughts when I'm feeling disappointed about something,0.6914155974362352
I sometimes verbalize my thoughts when I'm learning to use new computer software,0.5704638084598462
I sometimes verbalize my thoughts when I'm memorizing something for an exam,0.6161536661765737
I sometimes verbalize my thoughts when I'm playing a computer game or video game,0.7060675515214819
I sometimes verbalize my thoughts when I'm searching for a book in a library,0.7500570071789517
I sometimes verbalize my thoughts when I'm searching for an unfamiliar room,0.5514069661735177
I sometimes verbalize my thoughts when I'm trying not to get angry,0.7191557641671384
I sometimes verbalize my thoughts when I'm trying to figure out why some machine isn't working,0.6823562463861349
I sometimes verbalize my thoughts when I'm working on a difficult problem,0.35149799629760203
