,F1
Difficulty in breathing,0.7157700656505345
Dizzy or lightheaded,0.8003203152404248
Face flushed,0.6790994358501171
Faint / lightheaded,0.7761424082769328
Fear of dying,0.5136191434563584
Fear of losing control,0.8962540107955266
Fear of worst happening,0.7814018106103223
Feeling hot,0.7980114955672948
Feeling of choking,0.6204388295322849
Handstrembling,0.7790079717638579
Heart pounding/racing,0.8428202370930509
Hot/cold sweats,0.853167381564424
Indigestion,0.7920642333591078
Nervous,0.8268082074750204
Scared,0.8513271754994914
Shaky / unsteady,0.8140409738360566
Terrified or afraid,0.8378820781822591
Unable to relax,0.6276026822380343
Unsteady,0.8162528229298794
Wobbliness in legs,0.7434609397645058
