,F1,F2
Compassion for those who are suffering is the most crucial virtue,0.15533789774733298,0.1556409230104011
"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",0.6379206034912416,-0.3019373117502374
I am proud of my country’s history,-0.16488828996765367,0.6242415167680113
Respect for authority is something all children need to learn.,0.7211533541781483,0.2471234010275325
"People should not do things that are disgusting, even if no one is harmed.",0.20873088395019693,0.6679017123265025
It is better to do good than to do bad.,0.6669504495018934,0.12272108133670212
One of the worst things a person could do is hurt a defenseless animal.,0.7032536614658103,-0.033128371602985755
Justice is the most important requirement for a society.,0.44212652048185097,-0.05316739120731502
"People should be loyal to their family members, even when they have done something wrong.",-0.10405767195568437,0.5054808368907359
Men and women each have different roles to play in society.,0.11592659244104013,0.6271969349784786
I would call some acts wrong on the grounds that they are unnatural,0.015705021060425366,0.7021890418434914
It can never be right to kill a human being,0.163797913794138,0.38114076673804087
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,0.6607236126106251,0.21572133420738782
It is more important to be a team player than to express oneself,0.608887892716694,-0.3755469106912454
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",0.29804211713644524,-0.25793125181911764
Chastity is an important and valuable virtue.,0.3369145972398183,0.21003134931852568
