,PC1,PC2,PC3,PC4,PC5,PC6
"Even after I've made up my mind about something, I am always eager to consider a different opinion.",0.018600344296206252,0.08022991416300845,0.0005826703490995977,0.09167645321545494,0.028183689594846226,-0.11015817270575756
"Even if I get a lot of time to make a decision, I still feel compelled to decide quickly.",0.2328415339875431,-0.3116880499496917,-0.04396633594652902,-0.26048988650110577,0.013771112874169955,-0.11978850265431512
"I almost always feel hurried to reach a decision, even when there is no reason to do so.",0.2510703882892934,0.06676477889342802,0.27614293746577034,-0.008331313111137169,-0.042516065999357956,0.30380130718177145
I always see many possible solutions to problems I face.,0.057295991421906674,0.03346869340967615,-0.004630322669202411,-0.007339914062553786,-0.05703268688534641,0.022128266598942726
I believe that orderliness and organization are among the most important characteristics of a good student.,0.0560339144068274,-0.05982378798546057,-0.13937016999897237,0.040295255866290326,0.07763165628117519,-0.07910288108393376
I dislike it when a person's statement could mean many different things.,0.1952722615464465,0.18648900004889843,0.11232947644958383,0.40572474287324695,-0.09418662258803792,0.03499157377970359
I dislike questions which could be answered in many different ways.,0.18488388958481528,0.16116908658550888,0.28691097138167554,-0.08489549659807386,-0.17534956428612933,-0.2442185979902707
I dislike the routine aspects of my work (studies).,0.2163489911907169,0.09260327392194889,0.04627632673901135,0.17109579412186945,0.28951607449647004,0.25754802381714037
I dislike unpredictable situations.,0.12030420661657161,0.07386874655016704,-0.20442178706757447,0.19015094952388487,0.2294469784866097,-0.1064390146696556
I do not usually consult many different opinions before forming my own view.,0.23298812606482178,-0.01758587416979798,0.291322128273711,-0.05900235863423778,0.019937248975341604,-0.14758615190732333
I don't like situations that are uncertain.,0.13714949666214127,-0.0828882654681445,-0.07893571828160523,0.23944691534484663,-0.10569747118348773,-0.312259122640799
I don't like to be with people who are capable of unexpected actions.,0.08330176037106818,0.08025826350213594,0.13862566608210392,-0.18034231536919104,0.2002650743282361,0.15283605724578517
I don't like to go into a situation without knowing what I can expect from it.,0.2595068361252563,-0.09374100357331319,-0.00931901303549149,0.32466963265821536,-0.20094892622594776,0.22347660107597284
I enjoy having a clear and structured mode of life.,0.0744264038622881,-0.06474337985480096,-0.15801409764402258,-0.009790976521609407,-0.20792744364736762,0.01633816424329937
I enjoy the uncertainty of going into a new situation without knowing what might happen.,0.1556438011659645,-0.08772127164072539,-0.06594062507498001,-0.04680169233719157,-0.10216282593145273,-0.08105862884113862
I feel irritated when one person disagrees with what everyone else in a group believes.,0.00380627040749141,0.0850315252944327,-0.06631150267329894,-0.12232100166006116,0.29048187363615957,-0.09354170879721665
I feel uncomfortable when I don't understand the reason why an event occurred in my life.,0.14347901743539757,-0.1165790198740691,-0.36256411666628185,-0.08690738110530769,-0.12124732379496496,0.08752345590933647
I feel uncomfortable when someone's meaning or intention is unclear to me.,0.16210253918862239,0.039349265001394795,-0.1079798778634053,0.1770443273384252,-0.03446093614391496,-0.012302158847698632
I find that a well ordered life with regular hours suits my temperament.,0.18584514497228635,-0.00476565724031788,-0.1807431113120038,0.09448063313473663,-0.14227528391783353,0.11794371003256796
I find that establishing a consistent routine enables me to enjoy life more.,0.12699944198010663,-0.03526813615723522,-0.23523614751564992,-0.05275440039016658,-0.16196762824874653,0.06462063999126706
I hate to change my plans at the last minute.,0.30285065754054014,-0.23419937156471157,0.1319222299256279,-0.06657927673601739,0.06026545983179364,0.1249847624097675
I like to have a place for everything and everything in its place.,0.15158364476060399,-0.12616823216695752,-0.06965102384273944,-0.06840550185166762,-0.1664695818926014,-0.02440687958289475
I like to have friends who are unpredictable.,0.060615308204124675,0.09361294794579539,-0.08872739890508172,-0.15369388052273023,-0.024779785830710856,0.1838045978984666
I like to know what people are thinking all the time.,0.05137687831059231,0.06510112217878603,-0.024728748905371845,-0.1659170208407557,-0.20470886164221275,0.0904603282582706
I prefer interacting with people whose opinions are very different from my own.,0.0137148352047982,0.019918940215278805,-0.124642654257899,-0.09090249210449167,-0.035821378895096914,0.3960750815383841
I prefer to socialize with familiar friends because I know what to expect from them.,0.08876554316333872,0.3046049497759283,-0.21317629102195146,-0.12756504005162644,-0.028129975670143137,-0.23101088647942433
I think it is fun to change my plans at the last moment.,0.17416529840546108,0.3391272523390529,-0.20762878999888287,0.02704439414379578,0.11065639234372805,-0.1423451867933326
I think that I would learn best in a class that lacks clearly stated objectives and requirements.,0.08115918001455663,-0.017372871588718534,0.04833648133817793,-0.026626073585807077,0.042309267177454854,0.04045064861088364
